cycle_id,status,entry_date,exit_date,quantity,entry_price,exit_price,net_return
CYC-BBDADBA699F45AAD5E95,CLOSED,2021-01-13 10:30:00,2021-01-29,69700,1.434,1.456,0.0143268672497782
CYC-CF0EAF75941A0E08B6AD,CLOSED,2021-03-29 10:00:00,2021-04-13,79100,1.281,1.267,-0.0119175384985101
CYC-DE996E9369A95592A75C,CLOSED,2021-04-19 00:00:00,2021-05-10,77000,1.3,1.295,-0.0048418098642986
CYC-4F144CAA4FA98E6A146F,CLOSED,2021-05-17 00:00:00,2021-06-17,75100,1.326,1.441,0.0856408145851659
CYC-1B5254F1DB7E952944E4,CLOSED,2021-06-18 00:00:00,2021-07-07,71900,1.505,1.557,0.0335174605388337
CYC-22609A59BB50DB293C7F,CLOSED,2021-07-08 00:00:00,2021-07-15,69600,1.602,1.589,-0.0091062458783094
CYC-77996E3679858ADA7E1F,CLOSED,2021-07-30 00:00:00,2021-08-10,67900,1.626,1.604,-0.0145161121776133
CYC-E721CF1844E55D6AB3B2,CLOSED,2021-08-25 00:00:00,2021-08-30,67400,1.618,1.525,-0.0584204189623359
CYC-2E7E233BBD6EF7D3A1F9,CLOSED,2021-10-18 00:00:00,2021-10-28,73500,1.398,1.391,-0.0060016486749472
CYC-AAA1E0141682FF940D11,CLOSED,2021-11-01 10:00:00,2021-11-19,71400,1.431,1.456,0.0164533386695888
CYC-B08604DDE5B6CA48AA91,CLOSED,2021-11-22 00:00:00,2021-12-03,70200,1.48,1.469,-0.0084245039642341
CYC-9EF586CDEB8AE14B1775,CLOSED,2021-12-06 00:00:00,2021-12-16,69400,1.482,1.463,-0.01380719896462
CYC-5EB4458A3A64F1C4262D,CLOSED,2021-12-17 00:00:00,2021-12-24,69300,1.464,1.415,-0.0344359923863204
CYC-619165BDB229AD971F0A,CLOSED,2022-01-04 00:00:00,2022-01-06,68300,1.435,1.371,-0.045554226371135
CYC-056EA59E00E0457514E7,CLOSED,2022-01-14 00:00:00,2022-01-21,70100,1.332,1.343,0.0072505038771903
CYC-7F5B7D497D1B7B485C36,CLOSED,2022-02-24 00:00:00,2022-03-04,74600,1.259,1.239,-0.0168692460759292
