configuration,activation_threshold,giveback_threshold,cagr,total_return,max_drawdown,calmar,win_loss_ratio,closed_trades,return_gate,drawdown_gate,primary_gate,se_replay_audit
BASELINE,,,0.2675354193975168,2.642316735500001,-0.21533380100584498,1.242421849927104,4.5025235129258006,73,PASS,FAIL,FAIL,PASS
A10-G05,0.1,0.05,0.2719403480546503,2.7118676750000006,-0.21533380100584498,1.2628781305321815,4.59250331995563,73,PASS,FAIL,FAIL,PASS
A10-G10,0.1,0.1,0.25959155349465357,2.5195790475000015,-0.21533380100584498,1.205530911924075,4.405494209385116,73,PASS,FAIL,FAIL,PASS
A10-G15,0.1,0.15,0.2529322008963606,2.4193095754999994,-0.23159646781341547,1.0921246048542248,4.328668270525297,73,PASS,FAIL,FAIL,PASS
A20-G05,0.2,0.05,0.28377300692323426,2.904084530000001,-0.21533380100584498,1.3178284393704247,4.702711893832775,73,PASS,FAIL,FAIL,PASS
A20-G10,0.2,0.1,0.25959155349465357,2.5195790475000015,-0.21533380100584498,1.205530911924075,4.405494209385116,73,PASS,FAIL,FAIL,PASS
A20-G15,0.2,0.15,0.2529322008963606,2.4193095754999994,-0.23159646781341547,1.0921246048542248,4.328668270525297,73,PASS,FAIL,FAIL,PASS
A30-G05,0.3,0.05,0.2842697641247067,2.9123284820000017,-0.21533380100584498,1.3201353563484004,4.707611607274233,73,PASS,FAIL,FAIL,PASS
A30-G10,0.3,0.1,0.25547928131476194,2.4573815410000015,-0.21533380100584498,1.1864337141748929,4.3640870150065005,73,PASS,FAIL,FAIL,PASS
A30-G15,0.3,0.15,0.2529322008963606,2.4193095754999994,-0.23159646781341547,1.0921246048542248,4.328668270525297,73,PASS,FAIL,FAIL,PASS
