cycle_id,status,entry_date,exit_date,quantity,entry_price,exit_price,net_return
CYC-AAE60132B5A908745516,CLOSED,2021-01-13 10:30:00,2021-01-29,41800,1.434,1.456,0.014326867249778275
CYC-D786C46CC8A35E2E4C2B,CLOSED,2021-03-29 10:00:00,2021-04-13,47200,1.281,1.267,-0.011917538498510294
CYC-A6103DDD6794CE52F97E,CLOSED,2021-04-19 00:00:00,2021-05-10,46100,1.3,1.295,-0.004841809864298607
CYC-89B748B24DCA0B6B1722,CLOSED,2021-05-17 00:00:00,2021-06-17,45100,1.326,1.441,0.08564081458516593
CYC-1160120EBF97C654548B,CLOSED,2021-06-18 00:00:00,2021-07-07,41800,1.505,1.557,0.033517460538833754
CYC-54553802D562B697B6E3,CLOSED,2021-07-08 00:00:00,2021-07-15,40000,1.602,1.589,-0.009106245878309327
CYC-E2010B208F089ECAD360,CLOSED,2021-07-30 00:00:00,2021-08-10,39100,1.626,1.604,-0.014516112177613505
CYC-2FFDDF1FBC8AA8BB98B4,CLOSED,2021-08-25 00:00:00,2021-08-30,39100,1.618,1.525,-0.05842041896233596
CYC-1278D82DB0638C02FD36,CLOSED,2021-10-18 00:00:00,2021-10-28,43700,1.398,1.391,-0.006001648674947235
CYC-DAD646122FAC51293AD8,CLOSED,2021-11-01 10:00:00,2021-11-19,42500,1.431,1.456,0.01645333866958887
CYC-5B48B2A15219133454C6,CLOSED,2021-11-22 00:00:00,2021-12-03,41500,1.48,1.469,-0.008424503964234109
CYC-22D0569480C28F8716F7,CLOSED,2021-12-06 00:00:00,2021-12-16,41200,1.482,1.463,-0.013807198964620127
CYC-F91AE5555E4EB6854FAA,CLOSED,2021-12-17 00:00:00,2021-12-24,41400,1.464,1.415,-0.034435992386320446
CYC-1F9AB46FF27BB4FC4B65,CLOSED,2022-01-04 00:00:00,2022-01-06,41300,1.435,1.371,-0.04555422637113493
CYC-F68C2087056FEBA894ED,CLOSED,2022-01-14 00:00:00,2022-01-21,43200,1.332,1.343,0.007250503877190395
CYC-B2325766F84E3BA59FB9,CLOSED,2022-02-24 00:00:00,2022-03-04,45900,1.259,1.239,-0.016869246075929434
CYC-C0BD21B5AA62AAB628E3,CLOSED,2022-03-22 00:00:00,2022-03-25,48500,1.178,1.167,-0.010328027836675857
CYC-C7BDBE6433B5D6A06FD6,CLOSED,2022-05-06 00:00:00,2022-06-23,58000,0.955,1.095,0.14545083479202803
CYC-3B3DC61AD1779D1BC190,CLOSED,2022-06-27 10:30:00,2022-07-12,54400,1.137,1.11,-0.024722467262410897
CYC-49BC9E70B46B8F576E29,CLOSED,2022-07-22 10:00:00,2022-08-17,53900,1.13,1.173,0.0370155630149529
CYC-907EA9F6AE25B5AC3BE4,CLOSED,2022-08-18 00:00:00,2022-08-23,53300,1.169,1.14,-0.02578223292117865
CYC-EDEC408A05F769E9DBD8,CLOSED,2022-10-18 10:00:00,2022-11-22,62000,0.99,1.061,0.07064599013624484
