path_id,factor_name,direction,holding_sessions,closed_events,closed_events_per_60_sessions,mean_net_return,median_net_return,win_rate,profit_factor,worst_event,positive_years,observed_years,baseline_conflict_rate,screen_pass
P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3,92,4.0174672489082965,-0.0065476856142505585,-0.009108921650787416,0.41304347826086957,0.5816734226290059,-0.09170159165941316,1,6,0.31521739130434784,False
P002,raw__30m__cxt_bi_status_V230101,CONTINUATION,5,72,3.1441048034934496,-0.01126216965689249,-0.011019096480443857,0.3472222222222222,0.46787864728887124,-0.11843258250590383,0,6,0.4444444444444444,False
P003,raw__30m__cxt_bi_status_V230101,CONTINUATION,10,52,2.2707423580786026,-0.0008522877627639702,-0.0073989978838426285,0.34615384615384615,0.9554480590796143,-0.1160676206399417,2,6,0.6346153846153846,False
P004,raw__30m__cxt_bi_status_V230101,REVERSAL,3,100,4.366812227074236,-0.004422140846873726,-0.006659685915128277,0.4,0.6645329612930336,-0.09465579710144933,1,6,0.37,False
P005,raw__30m__cxt_bi_status_V230101,REVERSAL,5,84,3.668122270742358,-0.009792483177973243,-0.01307280678215883,0.38095238095238093,0.529327644609982,-0.12316524183667532,0,6,0.5,False
P006,raw__30m__cxt_bi_status_V230101,REVERSAL,10,60,2.6200873362445414,-0.0020169627851955823,-0.0048040577638302495,0.4666666666666667,0.9037365421460688,-0.11331316590225593,3,6,0.7,False
P007,raw__30m__cxt_third_buy_V230228__di_1,CONTINUATION,3,1,0.043668122270742356,-0.05671620408423772,-0.05671620408423772,0.0,,-0.05671620408423772,0,1,1.0,False
P008,raw__30m__cxt_third_buy_V230228__di_1,CONTINUATION,5,1,0.043668122270742356,-0.08401738896307553,-0.08401738896307553,0.0,,-0.08401738896307553,0,1,1.0,False
P009,raw__30m__cxt_third_buy_V230228__di_1,CONTINUATION,10,1,0.043668122270742356,-0.0745455493112338,-0.0745455493112338,0.0,,-0.0745455493112338,0,1,1.0,False
P010,raw__30m__cxt_third_buy_V230228__di_1,REVERSAL,3,0,0.0,,,,,,0,0,,False
P011,raw__30m__cxt_third_buy_V230228__di_1,REVERSAL,5,0,0.0,,,,,,0,0,,False
P012,raw__30m__cxt_third_buy_V230228__di_1,REVERSAL,10,0,0.0,,,,,,0,0,,False
P013,raw__daily__cxt_bi_status_V230101,CONTINUATION,3,22,0.9606986899563319,-0.013923956874843995,-0.007638907386895488,0.36363636363636365,0.2613095047191409,-0.08277173050555575,1,6,0.2727272727272727,False
P014,raw__daily__cxt_bi_status_V230101,CONTINUATION,5,22,0.9606986899563319,-0.016631085254927246,-0.012523758379854422,0.3181818181818182,0.35569021455072847,-0.12316524183667532,1,6,0.4090909090909091,False
P015,raw__daily__cxt_bi_status_V230101,CONTINUATION,10,19,0.8296943231441049,-0.021980826872684812,-0.015352955706054994,0.3157894736842105,0.3122081002707305,-0.11331316590225593,1,6,0.5789473684210527,False
P016,raw__daily__cxt_bi_status_V230101,REVERSAL,3,37,1.6157205240174672,-0.0022806559662984505,-0.006443644662682213,0.43243243243243246,0.8276129740564134,-0.059872457877874985,2,6,0.2972972972972973,False
P017,raw__daily__cxt_bi_status_V230101,REVERSAL,5,35,1.5283842794759825,-0.002063221761541047,-0.0072510678327919464,0.45714285714285713,0.8513823844850754,-0.07919014709956274,2,6,0.37142857142857144,False
P018,raw__daily__cxt_bi_status_V230101,REVERSAL,10,33,1.4410480349344978,-0.009492561705524661,-0.010736347225997034,0.3333333333333333,0.6158526663163715,-0.10419610854544015,1,6,0.6666666666666666,False
