hypothesis_id,mechanism,signal_name,state_primary,exit_clock,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar,positive_years,rolling_30d_median_episodes,rolling_30d_p10_episodes,rolling_30d_min_episodes,rolling_30d_max_episodes,density_pass,matched_random_percentile,evidence
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,09:45,361,-0.0024812332274591073,-0.002204110129495729,0.3850415512465374,0.6248811064292228,-0.15325189398934036,-0.6146428328781435,-0.24933487513670144,0,8.0,1.0,0,20,False,0.827,EVIDENCE_RATE_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,09:45,361,-0.004833280043022149,-0.003569851759830267,0.33240997229916897,0.3644890213441111,-0.2704546378501175,-0.834162505889632,-0.32422296128220046,0,8.0,1.0,0,21,False,0.016,EVIDENCE_RATE_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,09:45,369,-0.004072004420084094,-0.0034615697172861726,0.34959349593495936,0.43858747488265654,-0.2385426198589814,-0.7911323547870605,-0.3015204958002091,0,8.0,1.0,0,22,False,0.1485,EVIDENCE_RATE_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,09:45,321,-0.0026122137872431257,-0.003204904366617023,0.3925233644859813,0.6136574686545273,-0.1431540297528826,-0.632596581183563,-0.22629592699512716,0,7.0,1.0,0,18,False,0.8095,EVIDENCE_RATE_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,09:45,357,-0.004487635258222463,-0.0037183238606646185,0.35294117647058826,0.4026849632123416,-0.2516220493424447,-0.8067777391084047,-0.31188521589666085,0,8.0,1.0,0,20,False,0.059,EVIDENCE_RATE_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,09:45,363,-0.0027552565146041624,-0.002474073947462907,0.3939393939393939,0.5676319738457254,-0.1674091446808682,-0.6533337865761365,-0.2562383089939267,0,8.0,1.0,0,19,False,0.731,EVIDENCE_RATE_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,09:45,491,-0.0028527521450586652,-0.0025100425309118046,0.3971486761710794,0.5962417178189849,-0.22834731288128463,-0.7821841851321152,-0.29193547660736135,0,11.0,1.0,0,27,False,0.7745,EVIDENCE_RATE_FAIL
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,11:30,304,-0.0036915786926003057,-0.004072438002500345,0.3618421052631579,0.5919448678775572,-0.18825757242201613,-0.695648998127951,-0.2706214957954843,0,7.0,1.0,0,17,False,0.545,EVIDENCE_RATE_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,11:30,293,-0.005011714753658854,-0.004758798320437685,0.3412969283276451,0.48991822467726037,-0.23661947090986934,-0.781857600264654,-0.30263755296332107,0,6.0,1.0,0,17,False,0.1285,EVIDENCE_RATE_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,11:30,270,-0.005632403753955533,-0.005631983205034996,0.31851851851851853,0.41434010555542017,-0.24218034221236318,-0.7908451310698031,-0.30622979480793866,1,6.0,1.0,0,15,False,0.043,EVIDENCE_RATE_FAIL
