variant_id,metric,point_difference_control_minus_variant,lower_95,upper_95,probability_control_favorable
LOO-F01,cagr,0.07513896908980011,-0.0024287447607085288,0.16405286470661543,0.9685
LOO-F01,max_drawdown,0.04377569610815002,-0.03235025781269151,0.1781241326872652,0.878
LOO-F01,calmar,0.49989233074443873,-0.07325288136871572,1.2852102726808008,0.9585
LOO-F02,cagr,0.035665317093362736,-0.029694522754795914,0.1165679829102819,0.833
LOO-F02,max_drawdown,-0.0019188454691941859,-0.06515172880128599,0.08209439709661985,0.5045
LOO-F02,calmar,0.1559464353007194,-0.32409803614727045,0.8045717570873222,0.7405
LOO-F03,cagr,0.1433782685084497,0.04046344355968624,0.25809320748295805,0.9955
LOO-F03,max_drawdown,0.1973371299600436,-0.0037922499052993938,0.3000242171404179,0.9655
LOO-F03,calmar,0.9415594882422906,0.12312620570634834,1.8784009558408818,0.9935
LOO-F04,cagr,0.10163839457060164,0.03805151267566038,0.1880724169315073,1.0
LOO-F04,max_drawdown,0.072983721112868,-5.962888123323407e-05,0.21614411914178241,0.968
LOO-F04,calmar,0.6670248931004273,0.14506301484593168,1.4807516813946933,1.0
LOO-F05,cagr,0.0759870016112767,0.022815790758197972,0.15662656755699986,0.9985
LOO-F05,max_drawdown,0.030702444987747546,-0.0026927393953318484,0.1770934540732289,0.9375
LOO-F05,calmar,0.46388445592366623,0.08180635904974252,1.233896948239844,0.996
LOO-F06,cagr,0.07001148211273067,-0.01568700964847945,0.1585501499047954,0.9435
LOO-F06,max_drawdown,0.07074864028147043,-0.04907162814537467,0.1837410799266035,0.8275
LOO-F06,calmar,0.5519777373979775,-0.17401112659230217,1.309684095079133,0.9335
LOO-F07,cagr,0.13973904156544537,0.014902720678592765,0.2879913487111663,0.987
LOO-F07,max_drawdown,0.15658452538131984,0.011546703915347551,0.34292301958268157,0.986
LOO-F07,calmar,0.8988077584315515,0.12235281232124745,1.9136933067809787,0.9935
LOO-F08,cagr,0.09232116673059876,0.007770867964196698,0.17819396074035376,0.987
LOO-F08,max_drawdown,0.19219490954948626,-0.025599128800346625,0.23124666364254431,0.9185
LOO-F08,calmar,0.812478515558937,-0.012420669314327115,1.454226114263235,0.973
LOO-F09,cagr,0.12115732420021263,0.04737137451412853,0.19572968043470051,1.0
LOO-F09,max_drawdown,0.20586698428391792,0.007768231263357223,0.26259109456752244,0.9865
LOO-F09,calmar,0.8948961559837634,0.19462695509724748,1.5414590720799461,0.9995
LOO-F10,cagr,0.18088206102088145,0.003873988243396626,0.4759376900732766,0.98
LOO-F10,max_drawdown,0.14223732014954604,-0.050951388571577126,0.30736571531078827,0.8545
LOO-F10,calmar,1.0000830444423663,-0.0277054746391459,2.361823350595971,0.9665
LOO-F11,cagr,0.04497960659586542,-6.558095154606802e-05,0.10877960375354352,0.974
LOO-F11,max_drawdown,0.015300571479671565,-0.013344070152776197,0.13897408354947877,0.848
LOO-F11,calmar,0.2774494115034791,-0.013567667470219818,0.9749936909644292,0.9645
LOO-F12,cagr,0.05618684808372687,-0.0027841496280965102,0.12454879024208937,0.971
LOO-F12,max_drawdown,0.00023972215269640884,-0.03459763834486653,0.1449182821281555,0.79
LOO-F12,calmar,0.2620205083469703,-0.0774119227944064,1.0179653313617343,0.9435
LOO-G-MARKET_STRUCTURE,cagr,0.1764922805323117,0.07683346905805975,0.2916193853843122,1.0
LOO-G-MARKET_STRUCTURE,max_drawdown,0.22580088520803498,0.034095263920586386,0.38526219502280046,0.994
LOO-G-MARKET_STRUCTURE,calmar,1.0360378549467943,0.24837078191658296,2.0781315838201624,0.9995
LOO-G-TREND_MOMENTUM,cagr,0.2384498458676516,0.057706021640034785,0.4634906795530562,0.9965
LOO-G-TREND_MOMENTUM,max_drawdown,0.2994383558190531,0.020737790428866018,0.4160293685215471,0.987
LOO-G-TREND_MOMENTUM,calmar,1.185920010920765,0.20968879332654952,2.367581945391416,0.998
LOO-G-VOLUME_LIQUIDITY,cagr,0.18088206102088145,0.0036337243250954337,0.47558929519750937,0.9785
LOO-G-VOLUME_LIQUIDITY,max_drawdown,0.14223732014954604,-0.05136802207124274,0.30302923300544965,0.8485
LOO-G-VOLUME_LIQUIDITY,calmar,1.0000830444423663,-0.040370208310126394,2.4515928455602394,0.966
LOO-G-POSITION_VALUATION,cagr,0.04497960659586542,-0.0019165161332230227,0.11087568239764578,0.9655
LOO-G-POSITION_VALUATION,max_drawdown,0.015300571479671565,-0.013695405271688365,0.13333721421960393,0.8285
LOO-G-POSITION_VALUATION,calmar,0.2774494115034791,-0.0366589158162097,0.9994436420785693,0.951
