variant_id,variant_kind,subject,target_difference_ratio,delta_cagr,delta_maximum_drawdown,delta_calmar,material_positive_years,material_negative_years,bootstrap_cagr_probability,bootstrap_drawdown_probability,bootstrap_calmar_probability,classification
LOO-F01,leave_one_out,F01,0.11790393013100436,0.07513896908980011,0.04377569610815002,0.49989233074443873,4,2,0.9685,0.878,0.9585,REGIME_DEPENDENT
LOO-F02,leave_one_out,F02,0.05458515283842795,0.035665317093362736,-0.0019188454691941859,0.1559464353007194,3,2,0.833,0.5045,0.7405,REGIME_DEPENDENT
LOO-F03,leave_one_out,F03,0.13027656477438138,0.1433782685084497,0.1973371299600436,0.9415594882422906,5,1,0.9955,0.9655,0.9935,SUPPORTIVE
LOO-F04,leave_one_out,F04,0.043668122270742356,0.10163839457060164,0.072983721112868,0.6670248931004273,6,0,1.0,0.968,1.0,SUPPORTIVE
LOO-F05,leave_one_out,F05,0.04002911208151383,0.0759870016112767,0.030702444987747546,0.46388445592366623,6,0,0.9985,0.9375,0.996,SUPPORTIVE
LOO-F06,leave_one_out,F06,0.07569141193595343,0.07001148211273067,0.07074864028147043,0.5519777373979775,5,1,0.9435,0.8275,0.9335,SUPPORTIVE
LOO-F07,leave_one_out,F07,0.14192139737991266,0.13973904156544537,0.15658452538131984,0.8988077584315515,5,1,0.987,0.986,0.9935,SUPPORTIVE
LOO-F08,leave_one_out,F08,0.08005822416302766,0.09232116673059876,0.19219490954948626,0.812478515558937,5,1,0.987,0.9185,0.973,SUPPORTIVE
LOO-F09,leave_one_out,F09,0.08660844250363901,0.12115732420021263,0.20586698428391792,0.8948961559837634,6,0,1.0,0.9865,0.9995,SUPPORTIVE
LOO-F10,leave_one_out,F10,0.13755458515283842,0.18088206102088145,0.14223732014954604,1.0000830444423663,4,2,0.98,0.8545,0.9665,REGIME_DEPENDENT
LOO-F11,leave_one_out,F11,0.03275109170305677,0.04497960659586542,0.015300571479671565,0.2774494115034791,3,2,0.974,0.848,0.9645,REGIME_DEPENDENT
LOO-F12,leave_one_out,F12,0.049490538573508006,0.05618684808372687,0.00023972215269640884,0.2620205083469703,4,1,0.971,0.79,0.9435,SUPPORTIVE
LOO-G-MARKET_STRUCTURE,leave_family_out,MARKET_STRUCTURE,0.17758369723435224,0.1764922805323117,0.22580088520803498,1.0360378549467943,5,0,1.0,0.994,0.9995,SUPPORTIVE
LOO-G-TREND_MOMENTUM,leave_family_out,TREND_MOMENTUM,0.3056768558951965,0.2384498458676516,0.2994383558190531,1.185920010920765,5,1,0.9965,0.987,0.998,SUPPORTIVE
LOO-G-VOLUME_LIQUIDITY,leave_family_out,VOLUME_LIQUIDITY,0.13755458515283842,0.18088206102088145,0.14223732014954604,1.0000830444423663,4,2,0.9785,0.8485,0.966,REGIME_DEPENDENT
LOO-G-POSITION_VALUATION,leave_family_out,POSITION_VALUATION,0.03275109170305677,0.04497960659586542,0.015300571479671565,0.2774494115034791,3,2,0.9655,0.8285,0.951,REGIME_DEPENDENT
