factor_alias,signal_input,czsc_function,information_family,catalog_status,coverage,distinct_states,negative_state_ratio,neutral_state_ratio,positive_state_ratio,state_switches,positive_episode_count,rolling_60_positive_episode_median,rolling_60_positive_episode_p10,default_weight,trend_weight,range_weight
F01,raw__30m__cxt_bi_status_V230101,cxt_bi_status_V230101,MARKET_STRUCTURE,READY,1.0,3,0.5340909090909091,0.04403409090909091,0.421875,617,309,13.0,11.0,0.05947026720107206,0.08088503201392443,0.1093352024227754
F02,raw__30m__cxt_third_buy_V230228__di_1,cxt_third_buy_V230228,MARKET_STRUCTURE,READY,1.0,2,0.0,0.9161931818181818,0.08380681818181818,156,78,3.0,1.0,0.05961894286907473,0.08108724459395922,0.2658319020145573
F03,raw__daily__cxt_bi_status_V230101,cxt_bi_status_V230101,MARKET_STRUCTURE,READY,1.0,3,0.5177556818181818,0.03196022727272727,0.4502840909090909,151,76,3.0,2.0,0.04757621376085765,0.06470802561113954,0.0712059717055788
F04,raw__daily__cxt_five_bi_V230619__di_1,cxt_five_bi_V230619,MARKET_STRUCTURE,READY,1.0,3,0.026278409090909092,0.8877840909090909,0.0859375,72,26,1.0,0.0,0.05976947698292745,0.08129198483124447,0.0954365365549241
F05,raw__daily__cxt_seven_bi_V230620__di_1,cxt_seven_bi_V230620,MARKET_STRUCTURE,READY,1.0,3,0.041193181818181816,0.8842329545454546,0.07457386363636363,74,27,1.0,0.0,0.04757621376085765,0.06470802561113954,0.0858856323585978
F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,tas_ma_base_V221101,TREND_MOMENTUM,READY,1.0,3,0.4928977272727273,0.02130681818181818,0.48579545454545453,367,183,8.0,5.0,0.08370999965363214,0.08538997284529917,0.0141094893079042
F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,tas_ma_base_V221101,TREND_MOMENTUM,READY,1.0,3,0.5149147727272727,0.02130681818181818,0.4637784090909091,213,106,4.0,3.0,0.07136432064128646,0.07279652881253199,0.073063874588257
F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,tas_ma_base_V221101,TREND_MOMENTUM,READY,1.0,3,0.5291193181818182,0.02130681818181818,0.44957386363636365,143,71,3.0,1.0,0.07136432064128646,0.07279652881253199,0.0204337943772586
F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,tas_macd_base_V221028,TREND_MOMENTUM,READY,1.0,3,0.5248579545454546,0.02130681818181818,0.4538352272727273,88,44,2.0,1.0,0.07136432064128646,0.07279652881253199,0.0160026875626817
F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,vol_window_V230731,VOLUME_LIQUIDITY,READY,1.0,3,0.03125,0.19318181818181818,0.7755681818181818,124,49,2.0,1.0,0.19030485504343062,0.1294160512222791,0.132149132981035
F11,raw__daily__pressure_support_V240406__di_1__w_20,pressure_support_V240406,POSITION_VALUATION,READY,1.0,3,0.07954545454545454,0.8160511363636364,0.10440340909090909,151,34,1.0,0.0,0.19030485504343062,0.1294160512222791,0.0706871683649345
F12,raw__weekly__cxt_bi_status_V230101,cxt_bi_status_V230101,MARKET_STRUCTURE,READY,1.0,3,0.43394886363636365,0.11576704545454546,0.4502840909090909,34,17,1.0,0.0,0.04757621376085765,0.06470802561113954,0.0458586077614954
