variant_id,variant_kind,subject,total_return,cagr,maximum_drawdown,calmar,closed_trades,win_loss_ratio,win_loss_ratio_status,exposure_ratio,target_entry_episodes,rolling_60_entry_median,rolling_60_entry_p10,frequency_gate_applied,return_gate,drawdown_gate,joint_mandate_pass
SOLO-F01,standalone,F01,0.13553780849999475,0.023585937508248556,-0.4093418371109798,0.05761917148442853,217,1.1929681907362102,VALID,0.5917030567685589,217,10.0,8.0,False,False,False,False
SOLO-F02,standalone,F02,0.013446119499999076,0.0024526708057577284,-0.20446696499337702,0.011995438020206218,59,1.180595120964339,VALID,0.1433770014556041,59,2.0,1.0,False,False,False,False
SOLO-F03,standalone,F03,0.42913407950000226,0.06768055135364093,-0.30135219781337474,0.22458953956445013,71,1.6079385813125642,VALID,0.4774381368267831,72,3.0,2.0,False,True,False,False
SOLO-F04,standalone,F04,0.12392992949999959,0.021658814151619188,-0.2093357070659816,0.10346449946445321,24,2.309047749943461,VALID,0.09606986899563319,24,1.0,0.0,False,False,False,False
SOLO-F05,standalone,F05,-0.08489008449999957,-0.016138513022513012,-0.18316753932859509,-0.08810793157821037,24,1.6807858162925526,VALID,0.08442503639010189,24,1.0,0.0,False,False,False,False
SOLO-F06,standalone,F06,0.134787286000003,0.023461824453141933,-0.49360343307718013,0.04753172867311364,156,2.0983158729962326,VALID,0.5669577874818049,156,7.0,5.0,False,False,False,False
SOLO-F07,standalone,F07,0.6989657289999991,0.10209051898232935,-0.3272620947735151,0.3119533872475579,94,2.667949745249016,VALID,0.5101892285298398,94,4.0,3.0,False,True,False,False
SOLO-F08,standalone,F08,0.8407023110000065,0.11840629909786782,-0.28468551688147103,0.41591964492934264,62,4.320093338679928,VALID,0.49344978165938863,62,3.0,1.0,False,True,False,False
SOLO-F09,standalone,F09,1.3013323580000002,0.16516981345289827,-0.32966512352398536,0.5010230129511443,43,3.3512182536693627,VALID,0.47161572052401746,44,2.0,1.0,False,True,False,False
SOLO-F10,standalone,F10,0.44964743299999643,0.07047494868112825,-0.5311315710485137,0.1326883064812034,49,1.834246432511529,VALID,0.7954876273653566,49,2.0,1.0,False,True,False,False
SOLO-F11,standalone,F11,0.0035077900000006768,0.0006424306644647881,-0.25267656944384653,0.002542501925994996,32,0.9426819206611551,VALID,0.1215429403202329,32,1.0,0.0,False,False,False,False
SOLO-F12,standalone,F12,-0.2727979030000004,-0.056750239279710124,-0.4727492992962322,-0.12004298972878968,17,1.3300906629105325,VALID,0.46142649199417757,17,1.0,0.0,False,False,False,False
