variant_id,variant_kind,subject,total_return,cagr,maximum_drawdown,calmar,closed_trades,win_loss_ratio,win_loss_ratio_status,exposure_ratio,target_entry_episodes,rolling_60_entry_median,rolling_60_entry_p10,frequency_gate_applied
CONTROL,control,S001-v2,2.6423167354999912,0.26753541939751635,-0.2153338010058451,1.2424218499271011,73,4.5025235129258006,VALID,0.524745269286754,73,3.0,2.0,False
LOO-F01,leave_one_out,F01,1.6102050764999927,0.19239645030771624,-0.2591094971139951,0.7425295191826624,59,5.298908518682701,VALID,0.549490538573508,59,3.0,1.0,False
LOO-F02,leave_one_out,F02,2.1174135389999935,0.2318701023041536,-0.2134149555366509,1.0864754146263818,87,3.8427783615879845,VALID,0.5385735080058224,87,4.0,2.0,False
LOO-F03,leave_one_out,F03,0.8929028110000006,0.12415715088906665,-0.4126709309658887,0.30086236168481045,110,2.716724608915023,VALID,0.5604075691411936,110,5.0,3.0,False
LOO-F04,leave_one_out,F04,1.3091746030000024,0.1658970248269147,-0.2883175221187131,0.5753969568266738,82,2.944185298159066,VALID,0.5393013100436681,82,4.0,2.0,False
LOO-F05,leave_one_out,F05,1.6000994075000041,0.19154841778623966,-0.24603624599359264,0.7785373940034349,82,3.4039305573129766,VALID,0.5458515283842795,82,4.0,2.0,False
LOO-F06,leave_one_out,F06,1.671992894000001,0.19752393728478568,-0.2860824412873155,0.6904441125291236,74,3.4815505184540405,VALID,0.5334788937409025,74,3.0,2.0,False
LOO-F07,leave_one_out,F07,0.9265560510000008,0.12779637783207098,-0.37191832638716493,0.3436140914955496,90,3.0314660747323057,VALID,0.5895196506550219,90,4.0,2.0,False
LOO-F08,leave_one_out,F08,1.411597732500006,0.1752142526669176,-0.40752871055533135,0.4299433343681641,92,2.833239873298442,VALID,0.5538573508005823,92,4.0,2.0,False
LOO-F09,leave_one_out,F09,1.1060961664999986,0.14637809519730371,-0.421200785289763,0.34752569394333777,90,3.4680178198080425,VALID,0.5691411935953421,90,4.0,2.0,False
LOO-F10,leave_one_out,F10,0.5731930739999929,0.0866533583766349,-0.35757112115539114,0.24233880548473488,85,1.745408542832366,VALID,0.42066957787481807,85,4.0,2.0,False
LOO-F11,leave_one_out,F11,1.9910396474999916,0.22255581280165093,-0.23063437248551666,0.964972438423622,74,3.5565730351462457,VALID,0.5254730713245997,74,3.0,2.0,False
LOO-F12,leave_one_out,F12,1.8445595244999997,0.21134857131378948,-0.2155735231585415,0.9804013415801308,72,4.51082425740397,VALID,0.5291120815138283,72,3.0,2.0,False
LOO-G-MARKET_STRUCTURE,leave_family_out,MARKET_STRUCTURE,0.608157489499995,0.09104313886520465,-0.4411346862138801,0.20638399498030682,66,3.3736892964618677,VALID,0.6761280931586608,67,3.0,1.0,False
LOO-G-TREND_MOMENTUM,leave_family_out,TREND_MOMENTUM,0.16920393099999442,0.02908557352986474,-0.5147721568248982,0.056501839006335985,97,1.8769694112205177,VALID,0.6455604075691412,97,4.0,2.0,False
LOO-G-VOLUME_LIQUIDITY,leave_family_out,VOLUME_LIQUIDITY,0.5731930739999929,0.0866533583766349,-0.35757112115539114,0.24233880548473488,85,1.745408542832366,VALID,0.42066957787481807,85,4.0,2.0,False
LOO-G-POSITION_VALUATION,leave_family_out,POSITION_VALUATION,1.9910396474999916,0.22255581280165093,-0.23063437248551666,0.964972438423622,74,3.5565730351462457,VALID,0.5254730713245997,74,3.0,2.0,False
SOLO-F01,standalone,F01,0.13553780849999475,0.023585937508248556,-0.4093418371109798,0.05761917148442853,217,1.1929681907362102,VALID,0.5917030567685589,217,10.0,8.0,False
SOLO-F02,standalone,F02,0.013446119499999076,0.0024526708057577284,-0.20446696499337702,0.011995438020206218,59,1.180595120964339,VALID,0.1433770014556041,59,2.0,1.0,False
SOLO-F03,standalone,F03,0.42913407950000226,0.06768055135364093,-0.30135219781337474,0.22458953956445013,71,1.6079385813125642,VALID,0.4774381368267831,72,3.0,2.0,False
SOLO-F04,standalone,F04,0.12392992949999959,0.021658814151619188,-0.2093357070659816,0.10346449946445321,24,2.309047749943461,VALID,0.09606986899563319,24,1.0,0.0,False
SOLO-F05,standalone,F05,-0.08489008449999957,-0.016138513022513012,-0.18316753932859509,-0.08810793157821037,24,1.6807858162925526,VALID,0.08442503639010189,24,1.0,0.0,False
SOLO-F06,standalone,F06,0.134787286000003,0.023461824453141933,-0.49360343307718013,0.04753172867311364,156,2.0983158729962326,VALID,0.5669577874818049,156,7.0,5.0,False
SOLO-F07,standalone,F07,0.6989657289999991,0.10209051898232935,-0.3272620947735151,0.3119533872475579,94,2.667949745249016,VALID,0.5101892285298398,94,4.0,3.0,False
SOLO-F08,standalone,F08,0.8407023110000065,0.11840629909786782,-0.28468551688147103,0.41591964492934264,62,4.320093338679928,VALID,0.49344978165938863,62,3.0,1.0,False
SOLO-F09,standalone,F09,1.3013323580000002,0.16516981345289827,-0.32966512352398536,0.5010230129511443,43,3.3512182536693627,VALID,0.47161572052401746,44,2.0,1.0,False
SOLO-F10,standalone,F10,0.44964743299999643,0.07047494868112825,-0.5311315710485137,0.1326883064812034,49,1.834246432511529,VALID,0.7954876273653566,49,2.0,1.0,False
SOLO-F11,standalone,F11,0.0035077900000006768,0.0006424306644647881,-0.25267656944384653,0.002542501925994996,32,0.9426819206611551,VALID,0.1215429403202329,32,1.0,0.0,False
SOLO-F12,standalone,F12,-0.2727979030000004,-0.056750239279710124,-0.4727492992962322,-0.12004298972878968,17,1.3300906629105325,VALID,0.46142649199417757,17,1.0,0.0,False
