variant_id,factor_alias,signal_input,default_weight,trend_weight,range_weight
CONTROL,F01,raw__30m__cxt_bi_status_V230101,0.05947026720107206,0.08088503201392443,0.1093352024227754
CONTROL,F02,raw__30m__cxt_third_buy_V230228__di_1,0.05961894286907473,0.08108724459395922,0.2658319020145573
CONTROL,F03,raw__daily__cxt_bi_status_V230101,0.04757621376085765,0.06470802561113954,0.0712059717055788
CONTROL,F04,raw__daily__cxt_five_bi_V230619__di_1,0.05976947698292745,0.08129198483124447,0.0954365365549241
CONTROL,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.04757621376085765,0.06470802561113954,0.0858856323585978
CONTROL,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.08370999965363214,0.08538997284529917,0.0141094893079042
CONTROL,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07136432064128646,0.07279652881253199,0.073063874588257
CONTROL,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07136432064128646,0.07279652881253199,0.0204337943772586
CONTROL,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07136432064128646,0.07279652881253199,0.0160026875626817
CONTROL,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.19030485504343062,0.1294160512222791,0.132149132981035
CONTROL,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.19030485504343062,0.1294160512222791,0.0706871683649345
CONTROL,F12,raw__weekly__cxt_bi_status_V230101,0.04757621376085765,0.06470802561113954,0.0458586077614954
LOO-F01,F01,raw__30m__cxt_bi_status_V230101,0.0,0.0,0.0
LOO-F01,F02,raw__30m__cxt_third_buy_V230228__di_1,0.06338868489745068,0.08822317927389872,0.2984645881791556
LOO-F01,F03,raw__daily__cxt_bi_status_V230101,0.050584486701207534,0.07040253707642792,0.07994699229078371
LOO-F01,F04,raw__daily__cxt_five_bi_V230619__di_1,0.06354873737490373,0.08844593730136711,0.10715202488582617
LOO-F01,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.050584486701207534,0.07040253707642792,0.09642868180287673
LOO-F01,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.0890030338589287,0.09290456125679461,0.01584152573031365
LOO-F01,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.0758767300518113,0.07920285421098142,0.0820329654736602
LOO-F01,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.0758767300518113,0.07920285421098142,0.022942182550430148
LOO-F01,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.0758767300518113,0.07920285421098142,0.017967127033887514
LOO-F01,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.20233794680483017,0.14080507415285584,0.14837134390009066
LOO-F01,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.20233794680483017,0.14080507415285584,0.07936450228774829
LOO-F01,F12,raw__weekly__cxt_bi_status_V230101,0.050584486701207534,0.07040253707642792,0.05148806586522721
LOO-F02,F01,raw__30m__cxt_bi_status_V230101,0.06324060523136663,0.08802253700154992,0.14892393543493818
LOO-F02,F02,raw__30m__cxt_third_buy_V230228__di_1,0.0,0.0,0.0
LOO-F02,F03,raw__daily__cxt_bi_status_V230101,0.050592484185093295,0.07041802960123995,0.09698864865004078
LOO-F02,F04,raw__daily__cxt_five_bi_V230619__di_1,0.06355878452643693,0.08846540039083897,0.129992758901949
LOO-F02,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.050592484185093295,0.07041802960123995,0.11698360715246005
LOO-F02,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.08901710537325036,0.0929250054947467,0.019218336163912112
LOO-F02,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07588872627763993,0.07922028330139494,0.09951927193342273
LOO-F02,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07588872627763993,0.07922028330139494,0.027832582801307956
LOO-F02,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07588872627763993,0.07922028330139494,0.02179703477526888
LOO-F02,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.2023699367403732,0.1408360592024799,0.17999846812147283
LOO-F02,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.2023699367403732,0.1408360592024799,0.0962819939451198
LOO-F02,F12,raw__weekly__cxt_bi_status_V230101,0.050592484185093295,0.07041802960123995,0.06246336212010769
LOO-F03,F01,raw__30m__cxt_bi_status_V230101,0.062440972243987806,0.0864810500130469,0.11771738307098258
LOO-F03,F02,raw__30m__cxt_third_buy_V230228__di_1,0.06259707467459776,0.0866972526380795,0.28621189835028793
LOO-F03,F03,raw__daily__cxt_bi_status_V230101,0.0,0.0,0.0
