mechanical_rank,state_id,frequency,name,namespace,state_primary,forward_bias,minimum_event_count,coverage_years,minimum_year_sign_consistency,median_absolute_standardized_effect,net_return_h3,net_return_h5,net_return_h10,mfe_h5,mae_h5,exact_duplicate_group
1,STATE-006164C95263FE18,daily,asi_up_dw_line_V230603,asi,看空,NEGATIVE,10,3,1.0,1.1500463831073364,-0.0145131335460152,-0.0218782535082351,-0.0231232180837681,0.0072050937934092,-0.030810742813852,0
2,STATE-5964AD1E99CEB0AB,daily,cxt_decision_V240614,cxt,开多,POSITIVE,10,6,0.8333333333333334,1.0712708570122889,0.0226463117794947,0.0263845749723098,0.0319547807187801,0.0424878467434436,-0.0081920754214054,0
3,STATE-41B5117DC0550F6D,daily,amv_up_dw_line_V230603,amv,看空,POSITIVE,10,6,0.8333333333333334,0.5724525671492335,0.0121295592546,0.0137428719875262,0.0223195462708023,0.0274455800137296,-0.0134712162425473,0
4,STATE-21C8004E8C61A084,daily,tas_dif_zero_V240612,tas,买点,NEGATIVE,11,6,0.8333333333333334,0.5322361940499537,-0.0258923427356902,-0.0184884905611956,-0.0083315982624207,0.0143375177516081,-0.0422205569773042,0
5,STATE-985B1BA19C009D83,daily,bar_trend_V240209,bar,多头,NEGATIVE,19,6,0.8333333333333334,0.4474389246542005,-0.0184786545825202,-0.0215605175006073,-0.0224475223225266,0.0163044624200799,-0.0402096313400192,0
6,STATE-1C2537BE1CB45590,weekly,vol_window_V230731,vol,高量N9,POSITIVE,17,6,0.8333333333333334,0.3700235598650138,0.0090667652649082,0.0106697461360216,0.0157295503281237,0.0323727045568618,-0.0230191320259267,0
7,STATE-2B7F352F5379E074,weekly,bar_window_std_V230731,bar,高波N7,POSITIVE,11,6,0.8333333333333334,0.3666255401325586,0.0157950755069735,0.0147075791988509,0.0216115098631697,0.037872335898232,-0.0191628264382467,0
8,STATE-25B722E7D5716B00,daily,bar_triple_V230506,bar,三连跌,POSITIVE,25,6,0.8333333333333334,0.3500643291618134,0.0064946411110663,0.0132565437380466,0.0123139620994,0.0244028979889592,-0.0122447569672957,0
9,STATE-61095EABC56E27D9,30m,tas_cross_status_V230624,tas,0轴上金叉第3次,POSITIVE,25,6,0.8333333333333334,0.3351134219550656,0.0143512445307916,0.012394667971262,0.011978622807335,0.0323910079214862,-0.01617481467651,0
10,STATE-628B83DBF0077BD2,weekly,bar_plr_V240427,bar,不满足,POSITIVE,17,6,0.8333333333333334,0.3298287040336231,0.0082523683657564,0.0106555916822077,0.0070369647877582,0.032875968537859,-0.0157547161162711,0
11,STATE-0D5CA2C52F0EA4EC,30m,cxt_overlap_V240612,cxt,压力,NEGATIVE,42,6,0.8333333333333334,0.321094796041812,-0.0049401206979038,-0.0112177979730918,-0.01825533087365,0.0171658543692247,-0.0282262052711478,0
12,STATE-F727E0CE3A78CA42,daily,tas_slope_V231019,tas,看空,POSITIVE,30,6,0.8333333333333334,0.3190669323178776,0.006970286717641,0.0107267147197807,0.0202377145108819,0.0311141821863111,-0.0197050409094061,0
13,STATE-1E67C446F2BC9AE8,daily,jcc_szx_V221111,jcc,蜻蜓十字线,NEGATIVE,36,6,0.8333333333333334,0.2849395941323105,-0.0070333712669196,-0.0058064672056298,-0.0100910277298283,0.0153932733417233,-0.0238265322221841,0
14,STATE-74738CEF7D310B8F,daily,tas_macd_dist_V230408,tas,第9层,POSITIVE,31,6,0.8333333333333334,0.2805085164840954,0.0056089926665398,0.007690256429939,0.0099550422260513,0.0236061630391026,-0.0158180121034782,0
15,STATE-2320F9BD9E71D097,30m,cxt_bi_end_V230320,cxt,看空,POSITIVE,57,6,0.8333333333333334,0.2545561445834932,0.0062292477709607,0.0118458647333481,0.0098515622722296,0.0305864771333868,-0.016973717588262,0
