window,metric,effect,value
2021,max_drawdown,top_divergence_main,0.0
2021,max_drawdown,structure_pressure_main,-6.198347107444491e-05
2021,max_drawdown,interaction,0.0
2021,calmar,top_divergence_main,0.0
2021,calmar,structure_pressure_main,-1.0347066162950398
2021,calmar,interaction,0.0
2021,win_loss_ratio,top_divergence_main,
2021,win_loss_ratio,structure_pressure_main,
2021,win_loss_ratio,interaction,
2021,return,top_divergence_main,0.0
2021,return,structure_pressure_main,-0.006089352920079172
2021,return,interaction,0.0
2021,sharpe,top_divergence_main,0.0
2021,sharpe,structure_pressure_main,-0.16809515262502384
2021,sharpe,interaction,0.0
2021,closed_trades,top_divergence_main,0.0
2021,closed_trades,structure_pressure_main,0.0
2021,closed_trades,interaction,0.0
2021,exposure,top_divergence_main,0.0
2021,exposure,structure_pressure_main,-0.012345679012345678
2021,exposure,interaction,0.0
2022,max_drawdown,top_divergence_main,0.0
2022,max_drawdown,structure_pressure_main,0.0
2022,max_drawdown,interaction,0.0
2022,calmar,top_divergence_main,0.0
2022,calmar,structure_pressure_main,0.0
2022,calmar,interaction,0.0
2022,win_loss_ratio,top_divergence_main,0.0
2022,win_loss_ratio,structure_pressure_main,0.0
2022,win_loss_ratio,interaction,0.0
2022,return,top_divergence_main,0.0
2022,return,structure_pressure_main,0.0
2022,return,interaction,0.0
2022,sharpe,top_divergence_main,0.0
2022,sharpe,structure_pressure_main,0.0
2022,sharpe,interaction,0.0
2022,closed_trades,top_divergence_main,0.0
2022,closed_trades,structure_pressure_main,0.0
2022,closed_trades,interaction,0.0
2022,exposure,top_divergence_main,0.0
2022,exposure,structure_pressure_main,0.0
2022,exposure,interaction,0.0
2023,max_drawdown,top_divergence_main,0.0
2023,max_drawdown,structure_pressure_main,-0.00042960645299894296
2023,max_drawdown,interaction,0.0
2023,calmar,top_divergence_main,0.0
2023,calmar,structure_pressure_main,0.6629295398235617
2023,calmar,interaction,2.7755575615628914e-17
2023,win_loss_ratio,top_divergence_main,0.0
2023,win_loss_ratio,structure_pressure_main,0.2811722914535575
2023,win_loss_ratio,interaction,0.0
2023,return,top_divergence_main,0.0
2023,return,structure_pressure_main,0.023338030697581003
2023,return,interaction,0.0
2023,sharpe,top_divergence_main,0.0
2023,sharpe,structure_pressure_main,0.46041843288743994
2023,sharpe,interaction,1.3877787807814457e-17
2023,closed_trades,top_divergence_main,0.0
2023,closed_trades,structure_pressure_main,-2.0
2023,closed_trades,interaction,0.0
2023,exposure,top_divergence_main,0.0
2023,exposure,structure_pressure_main,-0.04132231404958678
2023,exposure,interaction,0.0
2024,max_drawdown,top_divergence_main,0.0
2024,max_drawdown,structure_pressure_main,0.0
2024,max_drawdown,interaction,0.0
2024,calmar,top_divergence_main,0.0
2024,calmar,structure_pressure_main,0.0
2024,calmar,interaction,0.0
2024,win_loss_ratio,top_divergence_main,0.0
2024,win_loss_ratio,structure_pressure_main,0.0
2024,win_loss_ratio,interaction,0.0
2024,return,top_divergence_main,0.0
2024,return,structure_pressure_main,0.0
2024,return,interaction,0.0
2024,sharpe,top_divergence_main,0.0
2024,sharpe,structure_pressure_main,0.0
2024,sharpe,interaction,0.0
2024,closed_trades,top_divergence_main,0.0
2024,closed_trades,structure_pressure_main,0.0
2024,closed_trades,interaction,0.0
2024,exposure,top_divergence_main,0.0
2024,exposure,structure_pressure_main,0.0
2024,exposure,interaction,0.0
2025,max_drawdown,top_divergence_main,0.0
2025,max_drawdown,structure_pressure_main,0.0
2025,max_drawdown,interaction,0.0
2025,calmar,top_divergence_main,-0.11145642338789896
2025,calmar,structure_pressure_main,0.0
2025,calmar,interaction,0.0
2025,win_loss_ratio,top_divergence_main,-0.5438797667097179
2025,win_loss_ratio,structure_pressure_main,0.0
2025,win_loss_ratio,interaction,0.0
2025,return,top_divergence_main,-0.002711337939932168
2025,return,structure_pressure_main,0.0
2025,return,interaction,0.0
2025,sharpe,top_divergence_main,-0.043669581655983336
2025,sharpe,structure_pressure_main,0.0
2025,sharpe,interaction,0.0
2025,closed_trades,top_divergence_main,0.0
2025,closed_trades,structure_pressure_main,0.0
2025,closed_trades,interaction,0.0
2025,exposure,top_divergence_main,-0.004115226337448555
2025,exposure,structure_pressure_main,0.0
2025,exposure,interaction,0.0
2026YTD,max_drawdown,top_divergence_main,0.0
2026YTD,max_drawdown,structure_pressure_main,0.0
2026YTD,max_drawdown,interaction,0.0
2026YTD,calmar,top_divergence_main,0.0
2026YTD,calmar,structure_pressure_main,0.0
2026YTD,calmar,interaction,0.0
2026YTD,win_loss_ratio,top_divergence_main,
2026YTD,win_loss_ratio,structure_pressure_main,
2026YTD,win_loss_ratio,interaction,
2026YTD,return,top_divergence_main,0.0
2026YTD,return,structure_pressure_main,0.0
2026YTD,return,interaction,0.0
2026YTD,sharpe,top_divergence_main,0.0
2026YTD,sharpe,structure_pressure_main,0.0
2026YTD,sharpe,interaction,0.0
2026YTD,closed_trades,top_divergence_main,0.0
2026YTD,closed_trades,structure_pressure_main,0.0
2026YTD,closed_trades,interaction,0.0
2026YTD,exposure,top_divergence_main,0.0
2026YTD,exposure,structure_pressure_main,0.0
2026YTD,exposure,interaction,0.0
2021_2026YTD,max_drawdown,top_divergence_main,0.0
2021_2026YTD,max_drawdown,structure_pressure_main,-0.000429606452999165
2021_2026YTD,max_drawdown,interaction,0.0
2021_2026YTD,calmar,top_divergence_main,-0.013494982309105952
2021_2026YTD,calmar,structure_pressure_main,0.07379699905961745
2021_2026YTD,calmar,interaction,0.00011551533192921681
2021_2026YTD,win_loss_ratio,top_divergence_main,-0.05971361369579564
2021_2026YTD,win_loss_ratio,structure_pressure_main,0.42125162799043214
2021_2026YTD,win_loss_ratio,interaction,-0.02593555826838001
2021_2026YTD,return,top_divergence_main,-0.003452792610739386
2021_2026YTD,return,structure_pressure_main,0.023532453113643714
2021_2026YTD,return,interaction,-6.0118674394482596e-05
2021_2026YTD,sharpe,top_divergence_main,-0.007668035230083359
2021_2026YTD,sharpe,structure_pressure_main,0.08531223253389159
2021_2026YTD,sharpe,interaction,-0.00010500354405795775
2021_2026YTD,closed_trades,top_divergence_main,0.0
2021_2026YTD,closed_trades,structure_pressure_main,-2.0
2021_2026YTD,closed_trades,interaction,0.0
2021_2026YTD,exposure,top_divergence_main,-0.0007256894049346846
2021_2026YTD,exposure,structure_pressure_main,-0.009433962264150941
2021_2026YTD,exposure,interaction,0.0
