entry_signal_date,year,volatility_bucket,matched_candidate_count
2021-03-10,2021,HIGH,2
2021-05-21,2021,LOW,30
2022-08-04,2022,MEDIUM,30
2022-10-25,2022,MEDIUM,30
2022-12-02,2022,LOW,18
2023-02-17,2023,LOW,29
2023-03-06,2023,LOW,29
2023-03-20,2023,LOW,29
2023-03-29,2023,LOW,29
2023-05-11,2023,LOW,29
2023-07-10,2023,LOW,29
2023-07-18,2023,LOW,29
2023-09-15,2023,MEDIUM,4
2023-10-11,2023,LOW,29
2023-11-02,2023,MEDIUM,4
2023-12-15,2023,LOW,29
2024-03-14,2024,MEDIUM,30
2024-06-03,2024,LOW,10
2024-11-26,2024,HIGH,30
2025-01-23,2025,HIGH,18
2025-03-25,2025,MEDIUM,17
2025-04-24,2025,HIGH,18
2025-11-20,2025,MEDIUM,17
2026-04-02,2026,HIGH,30
2026-08-03,2026,HIGH,30
