control,metric,actual,null_p05,null_median,null_p95,actual_percentile
CALENDAR_MATCHED,mean_return_4,0.009173293323812181,-0.009498567737071053,-0.0011116354060782463,0.00786073393720404,0.9662
CALENDAR_MATCHED,mean_return_5,0.01231828912407762,-0.010347934392314052,-0.0012192222280055986,0.009045030337692843,0.978
CALENDAR_MATCHED,mean_return_6,0.011745430724891665,-0.011058787943009313,-0.001190817136183817,0.00982443677890333,0.9676
CALENDAR_MATCHED,mean_band_return,0.011079004390927153,-0.00987131716214753,-0.0011651799752348709,0.00867839422156857,0.9751
CALENDAR_MATCHED,win_rate_5,0.64,0.32,0.48,0.64,0.9617
CALENDAR_MATCHED,compound_return_5,0.34870277666505056,-0.23769382623707375,-0.03879958257978028,0.22904042878575592,0.9832
PULLBACK_VOL_MATCHED,mean_return_4,0.009173293323812181,-0.01313573617674781,-0.004360619585408352,0.0037306948183330694,0.9975
PULLBACK_VOL_MATCHED,mean_return_5,0.01231828912407762,-0.013753082879792468,-0.00398397350286253,0.0052167784448964,0.9985
PULLBACK_VOL_MATCHED,mean_return_6,0.011745430724891665,-0.013045619729064173,-0.00266447097272863,0.007319180019053104,0.9908
PULLBACK_VOL_MATCHED,mean_band_return,0.011079004390927153,-0.012916220041076815,-0.003712236583779756,0.005019969260484756,0.9976
PULLBACK_VOL_MATCHED,win_rate_5,0.64,0.32,0.44,0.6,0.9929
PULLBACK_VOL_MATCHED,compound_return_5,0.34870277666505056,-0.3057262468928123,-0.10472916477528321,0.12622516086557428,0.9986
