trial_id,source,selector,behavior_id,behavior_hash
EX05-A,EX05,P-A-MEAN-REVERSION,BOTH-FILTER-H5,7d4ec2ee37169d24899809a66bdb5a4fb1f03363b2a53532576d74d0dc26f348
EX05-B,EX05,P-B-TREND-CONTINUATION,TREND-CROSS-H5,e969664481eed04ee12316040087d012a1d6ea5101b119a77ad66d9b13e6c85b
EX06-A00,EX06,P-A00-NO-FILTER,CORE-H5,3017caf7dd1103c49d3f0dda1e0804500323c91cb95875a1da9cbeb19e55d9bd
EX06-A10,EX06,P-A10-TOP-DIVERGENCE,TOP-FILTER-H5,2a64f068f58d9ac9149ffadb878a618058296c19786ba60f3e20588a6c07457f
EX06-A01,EX06,P-A01-STRUCTURE-PRESSURE,PRESSURE-FILTER-H5,8cd505e85368639d8e44000103d1babc199a01f835456733bf9c061884f34ebf
EX06-A11,EX06,P-A11-BOTH-FILTERS,BOTH-FILTER-H5,7d4ec2ee37169d24899809a66bdb5a4fb1f03363b2a53532576d74d0dc26f348
EX07-H3,EX07,3,CORE-H3,89dcb90816c37ce24c295cd418051a8ffb0e0d00afead8cb9a1b779b8e5f5f65
EX07-H4,EX07,4,CORE-H4,4ddcf7d85c38edd202b8eb44abe3f46756ce36cd5ec0c30e10910d1e3680ecf1
EX07-H5,EX07,5,CORE-H5,3017caf7dd1103c49d3f0dda1e0804500323c91cb95875a1da9cbeb19e55d9bd
EX07-H6,EX07,6,CORE-H6,8bd4b4abfd6f214ee36df26c088a63e459e205d9e76ff151e0a686429d7b414c
EX07-H7,EX07,7,CORE-H7,73b4b3047417a373e8b636a8e3b0891e21d41b822663cbb43bb75ea074d69ea2
