dt,symbol,open,close,high,low,vol,amount
2019-01-02,512100.SH,0.53,0.528,0.54,0.526,5017500.0,2652318.0
2019-01-03,512100.SH,0.528,0.524,0.531,0.523,2208900.0,1162861.0
2019-01-04,512100.SH,0.522,0.539,0.539,0.517,6546800.0,3459213.0
2019-01-07,512100.SH,0.54,0.55,0.551,0.54,5227700.0,2856522.0
2019-01-08,512100.SH,0.548,0.548,0.55,0.546,6921800.0,3793863.0
2019-01-09,512100.SH,0.551,0.549,0.557,0.547,5148400.0,2848618.0
2019-01-10,512100.SH,0.548,0.547,0.553,0.546,4177000.0,2302330.0
2019-01-11,512100.SH,0.549,0.552,0.553,0.547,4473800.0,2458795.0
2019-01-14,512100.SH,0.55,0.549,0.553,0.547,4565800.0,2513748.0
2019-01-15,512100.SH,0.549,0.555,0.556,0.546,6393700.0,3525254.0
2019-01-16,512100.SH,0.558,0.556,0.559,0.554,5524300.0,3075153.0
2019-01-17,512100.SH,0.555,0.549,0.556,0.549,2299800.0,1267648.0
2019-01-18,512100.SH,0.549,0.554,0.554,0.548,5304900.0,2922828.0
2019-01-21,512100.SH,0.556,0.557,0.559,0.553,4639600.0,2583185.0
2019-01-22,512100.SH,0.556,0.551,0.557,0.549,5349200.0,2953890.0
2019-01-23,512100.SH,0.55,0.551,0.552,0.548,3138700.0,1725301.0
2019-01-24,512100.SH,0.551,0.555,0.557,0.55,4617600.0,2555174.0
2019-01-25,512100.SH,0.556,0.552,0.557,0.551,7032700.0,3899954.0
2019-01-28,512100.SH,0.553,0.547,0.556,0.546,4814500.0,2653423.0
2019-01-29,512100.SH,0.543,0.537,0.544,0.529,10341300.0,5545986.0
2019-01-30,512100.SH,0.536,0.53,0.538,0.529,7118400.0,3807512.0
2019-01-31,512100.SH,0.528,0.522,0.532,0.519,12536900.0,6623407.0
2019-02-01,512100.SH,0.524,0.537,0.537,0.524,7103800.0,3788412.0
2019-02-11,512100.SH,0.538,0.553,0.553,0.535,12752400.0,6944735.0
2019-02-12,512100.SH,0.553,0.56,0.562,0.551,20106500.0,11204320.0
2019-02-13,512100.SH,0.563,0.57,0.572,0.559,16694500.0,9454154.0
2019-02-14,512100.SH,0.571,0.572,0.575,0.565,15342500.0,8765753.0
2019-02-15,512100.SH,0.57,0.57,0.576,0.56,18852400.0,10800125.0
2019-02-18,512100.SH,0.574,0.592,0.593,0.574,17712500.0,10378777.0
2019-02-19,512100.SH,0.59,0.595,0.598,0.586,25680100.0,15263632.0
2019-02-20,512100.SH,0.594,0.594,0.595,0.587,17432500.0,10318316.0
2019-02-21,512100.SH,0.592,0.593,0.606,0.591,17179300.0,10270890.0
2019-02-22,512100.SH,0.591,0.606,0.606,0.589,14463400.0,8633531.0
2019-02-25,512100.SH,0.619,0.641,0.641,0.613,22252800.0,13941283.0
2019-02-26,512100.SH,0.645,0.64,0.655,0.631,34043300.0,21836082.0
2019-02-27,512100.SH,0.635,0.635,0.646,0.628,19649000.0,12531967.0
2019-02-28,512100.SH,0.635,0.638,0.644,0.633,10655400.0,6801286.0
2019-03-01,512100.SH,0.638,0.643,0.645,0.633,21661500.0,13808971.0
2019-03-04,512100.SH,0.646,0.657,0.668,0.646,29730600.0,19585847.0
2019-03-05,512100.SH,0.655,0.679,0.679,0.652,14686100.0,9791047.0
2019-03-06,512100.SH,0.682,0.694,0.7,0.673,52977100.0,36245221.0
2019-03-07,512100.SH,0.693,0.708,0.713,0.689,45650700.0,31959448.0
2019-03-08,512100.SH,0.699,0.683,0.711,0.676,53053800.0,36649522.0
2019-03-11,512100.SH,0.674,0.707,0.708,0.674,38649500.0,26652645.0
2019-03-12,512100.SH,0.711,0.723,0.727,0.708,44321200.0,31745918.0
2019-03-13,512100.SH,0.719,0.703,0.726,0.697,30862500.0,21960583.0
2019-03-14,512100.SH,0.693,0.682,0.703,0.673,27439600.0,18834160.0
2019-03-15,512100.SH,0.684,0.692,0.698,0.684,25965700.0,17936029.0
2019-03-18,512100.SH,0.692,0.709,0.71,0.687,20955100.0,14640453.0
2019-03-19,512100.SH,0.712,0.71,0.715,0.705,25487600.0,18081347.0
2019-03-20,512100.SH,0.709,0.708,0.712,0.694,24556000.0,17288407.0
2019-03-21,512100.SH,0.707,0.719,0.724,0.707,33679536.0,24122131.0
2019-03-22,512100.SH,0.718,0.721,0.722,0.705,18325500.0,13114496.0
2019-03-25,512100.SH,0.71,0.715,0.724,0.705,14708900.0,10565569.0
2019-03-26,512100.SH,0.716,0.694,0.72,0.691,30579100.0,21572986.0
2019-03-27,512100.SH,0.696,0.699,0.701,0.683,33312264.0,23052760.0
2019-03-28,512100.SH,0.698,0.689,0.704,0.688,25847900.0,17983217.0
2019-03-29,512100.SH,0.689,0.71,0.711,0.683,29030600.0,20231802.0
2019-04-01,512100.SH,0.714,0.739,0.739,0.713,36586500.0,26735217.0
2019-04-02,512100.SH,0.739,0.743,0.75,0.736,30330900.0,22553436.0
2019-04-03,512100.SH,0.742,0.749,0.749,0.731,22928400.0,17030135.0
