year,volatility_bucket,trades,mean_return_5,win_rate_5,mean_band_return,summed_return_5
2021,HIGH,1,0.0262378494900346,1.0,0.0227649633665489,0.0262378494900346
2021,LOW,1,0.0228157245615858,1.0,0.0248806284469726,0.0228157245615858
2022,LOW,1,-0.0043745019382199,0.0,-0.0053923595902605,-0.0043745019382199
2022,MEDIUM,2,0.02784157876463275,1.0,0.0214945595992313,0.0556831575292655
2023,LOW,9,-0.0026721177797415555,0.5555555555555556,-0.002583840595767455,-0.024049060017673998
2023,MEDIUM,2,0.009322607339636649,0.5,0.00633262652425905,0.018645214679273298
2024,HIGH,1,0.040121585696256,1.0,0.0379906610743976,0.040121585696256
2024,LOW,1,-0.009310338213385,0.0,-0.0083029639147777,-0.009310338213385
2024,MEDIUM,1,0.014361298208666,1.0,0.0114963873850493,0.014361298208666
2025,HIGH,2,0.04031542425438035,1.0,0.0321996850756075,0.0806308485087607
2025,MEDIUM,2,-0.00906436771634695,0.0,-0.007601137585181749,-0.0181287354326939
2026,HIGH,2,0.05266209251503555,1.0,0.05597044556966165,0.1053241850300711
