order_id,decision_id,cycle_id,signal_date,execution_date,side,quantity,limit_price,status
ORD-7A351D55F3A5B2F2CC96,DEC-992454C3850A25D156C5,CYC-B92A024CFC89A0EEF795,2021-03-10,2021-03-11,BUY,14800,6.712,FILLED
ORD-E778D48D1B57B44684F9,DEC-CA9E7441250CD28838FD,CYC-B92A024CFC89A0EEF795,2021-03-17,2021-03-18,SELL,14800,6.206,FILLED
ORD-38BE335A189F0A776ACB,DEC-52822E0CC3442254E6E6,CYC-293E5B0BCF6D1514FFA1,2021-05-21,2021-05-24,BUY,14100,7.259,FILLED
ORD-F777EFBE2578D5E6EDB4,DEC-3F8C4B452E3E4F09B0E6,CYC-293E5B0BCF6D1514FFA1,2021-05-28,2021-05-31,SELL,14100,6.684,FILLED
ORD-CE0E5C54001FE8B5E15A,DEC-848E03788793F2DBE1DC,CYC-1667145C6D44D7C478DC,2022-08-04,2022-08-05,BUY,14800,7.04,UNFILLED
ORD-64E75B582DF22EDD6194,DEC-9317FE2CE477C5D92476,CYC-1667145C6D44D7C478DC,2022-08-05,2022-08-08,BUY,14500,7.186,FILLED
ORD-34209FA368236F66ED1A,DEC-1555DD239911539721ED,CYC-1667145C6D44D7C478DC,2022-08-11,2022-08-12,SELL,14500,6.638,FILLED
ORD-112D19C25460278BF850,DEC-39E38D519049393CCBD5,CYC-7C075C76D6C8A215E482,2022-10-25,2022-10-26,BUY,18300,5.866,UNFILLED
ORD-0E4368FE1383C737EC0C,DEC-48191183468253A4FDB9,CYC-7C075C76D6C8A215E482,2022-10-26,2022-10-27,BUY,17900,5.987,FILLED
ORD-918E20314C04BE7DB015,DEC-37FDEA922F9DF64218C7,CYC-7C075C76D6C8A215E482,2022-11-01,2022-11-02,SELL,17900,5.363,FILLED
ORD-60D8FBFEC0745F012E1F,DEC-50EB59A3583C54D5AEDE,CYC-B336B11CD16A159639E8,2022-12-02,2022-12-05,BUY,17300,6.175,UNFILLED
ORD-EB2CFB5EE3F7C235527F,DEC-E0453FA9AF58B1BD5FCE,CYC-B336B11CD16A159639E8,2022-12-05,2022-12-06,BUY,17100,6.218,FILLED
ORD-40CD4CCBCDFF178A7EBA,DEC-9F2F952F4CA5912F601D,CYC-B336B11CD16A159639E8,2022-12-09,2022-12-12,SELL,17100,5.585,FILLED
ORD-D2F90143197C0A81741C,DEC-3CD37FFA98E237CA7579,CYC-0D3558A6368A0D28592B,2023-02-17,2023-02-20,BUY,17000,6.26,FILLED
ORD-5EB464035350D4806485,DEC-1345F73E8AB1E0A654E9,CYC-0D3558A6368A0D28592B,2023-02-24,2023-02-27,SELL,17000,5.728,FILLED
ORD-E9ADACD9F6AD21808D0F,DEC-3756820F3276FE0BBD6C,CYC-326765D14EC7B3239482,2023-03-06,2023-03-07,BUY,16800,6.403,FILLED
ORD-F0DFE801B410E4BCE208,DEC-E0CA0696595D5386C991,CYC-326765D14EC7B3239482,2023-03-13,2023-03-14,SELL,16800,5.635,FILLED
ORD-3CDD9D1BCE6ACA49EC54,DEC-780F79F834E7A8BD9E9C,CYC-E733BD018B5C412A73D9,2023-03-20,2023-03-21,BUY,16900,6.182,UNFILLED
ORD-D3A961723BD1B490C5A1,DEC-A29F9008C5C3A69A57EB,CYC-E733BD018B5C412A73D9,2023-03-21,2023-03-22,BUY,16800,6.247,UNFILLED
ORD-CC8F19C051DC08A019C2,DEC-297A4ED6F506324667F2,CYC-E733BD018B5C412A73D9,2023-03-22,2023-03-23,BUY,16700,6.281,FILLED
ORD-94BEBFFB2F6DF313B32F,DEC-9962822CC3C6E7797D12,CYC-E733BD018B5C412A73D9,2023-03-27,2023-03-28,SELL,16700,5.689,FILLED
ORD-B81D0ACE6B199DCD7160,DEC-DFCE27D423AA09148077,CYC-5F88499873EA1315354D,2023-03-29,2023-03-30,BUY,16800,6.279,FILLED
ORD-399F2A6DD714D549A75A,DEC-8516631DB39D1F27A2BF,CYC-5F88499873EA1315354D,2023-04-06,2023-04-07,SELL,16800,5.783,FILLED
ORD-067C15D805C30A142AD5,DEC-DD051F3C31E1DD92D37E,CYC-4C10346DE656EEC99EC3,2023-05-11,2023-05-12,BUY,17400,6.174,FILLED
ORD-FA9B096BF4A0D388739F,DEC-A9243857F7789B95A565,CYC-4C10346DE656EEC99EC3,2023-05-18,2023-05-19,SELL,17400,5.538,FILLED
ORD-3FD54E1B934BDDA51911,DEC-939927902DCB1DE536FB,CYC-7F3261D0BAF40CBD630E,2023-07-10,2023-07-11,BUY,17600,6.077,FILLED
ORD-79AC39BACF7D7CB270B5,DEC-A25CE8791C4DA196618B,CYC-7F3261D0BAF40CBD630E,2023-07-17,2023-07-18,SELL,17600,5.5,FILLED
ORD-4E41DBC8F8C36B2208CF,DEC-387E16ACD301C4F37BC4,CYC-E7B9301C7F2D529EA024,2023-07-18,2023-07-19,BUY,17700,6.102,FILLED
ORD-AF946F72331DB832775E,DEC-35B3C27550C8B015F525,CYC-E7B9301C7F2D529EA024,2023-07-25,2023-07-26,SELL,17700,5.506,FILLED
ORD-158D1AAFD3997F891F7F,DEC-8DE6FD51FF407F4526AA,CYC-72C19620981E0E304295,2023-09-15,2023-09-18,BUY,18600,5.813,FILLED
ORD-C718E8AE49D940FE34E0,DEC-0312AFAA99C993EBCE28,CYC-72C19620981E0E304295,2023-09-22,2023-09-25,SELL,18600,5.23,FILLED
ORD-3095791ED050D89C40EA,DEC-69E2C859FEECF63411C5,CYC-560027832971CE70E731,2023-10-11,2023-10-12,BUY,18800,5.727,UNFILLED
ORD-35826D4BD59128F33281,DEC-8425D564FEECE1DB584F,CYC-560027832971CE70E731,2023-10-12,2023-10-13,BUY,18700,5.77,FILLED
ORD-BFEBC71DB8C40A785D39,DEC-B644FFC2FFF2E7A575E9,CYC-560027832971CE70E731,2023-10-18,2023-10-19,SELL,18700,5.063,FILLED
ORD-9828027CA3301F8E5403,DEC-327323FF999DA1D63036,CYC-5F5E71F0CB14EC412AD6,2023-11-02,2023-11-03,BUY,18900,5.564,UNFILLED
ORD-3BACF3E4F734622AC799,DEC-7C14A30ED2E046BCD99E,CYC-5F5E71F0CB14EC412AD6,2023-11-03,2023-11-06,BUY,18800,5.605,UNFILLED
ORD-DA23695C181A57B7563F,DEC-649C101C499AA72EBD82,CYC-5F5E71F0CB14EC412AD6,2023-11-06,2023-11-07,BUY,18500,5.7,FILLED
ORD-C386B017DE138060C216,DEC-5D217E76746B6CF50460,CYC-5F5E71F0CB14EC412AD6,2023-11-09,2023-11-10,SELL,18500,5.124,FILLED
ORD-305A67C733519C577381,DEC-1EBDC41713B7CE249ED5,CYC-E0ABAC8D544120A75DC9,2023-12-15,2023-12-18,BUY,18900,5.544,FILLED
ORD-D6AA5F037A57FAD8AF53,DEC-484E2743B43A56852DA2,CYC-E0ABAC8D544120A75DC9,2023-12-22,2023-12-25,SELL,18900,4.869,FILLED
ORD-89553818CCF264B76D70,DEC-7820C4960296130D5376,CYC-EBEAA3F81C5E5DF274BF,2024-03-14,2024-03-15,BUY,18800,5.474,FILLED
ORD-9704476E56B041095970,DEC-DCD24410776C980166C1,CYC-EBEAA3F81C5E5DF274BF,2024-03-21,2024-03-22,SELL,18800,4.993,FILLED
ORD-A96F63DC1E05814007DF,DEC-433FC38DF5B4E8DBC9DF,CYC-68EC35347E41EA118217,2024-06-03,2024-06-04,BUY,19700,5.294,FILLED
ORD-4DF2906B153FAF11D127,DEC-AF38C7FE59A984F2D044,CYC-68EC35347E41EA118217,2024-06-11,2024-06-12,SELL,19700,4.73,FILLED
ORD-44F69517D1A893E80FB7,DEC-7AE94FE0A0E9641F3169,CYC-40716767EFCEF956AF26,2024-11-26,2024-11-27,BUY,17800,5.785,FILLED
ORD-5DF38503752343D04786,DEC-0DE684FA2313207C6CE9,CYC-40716767EFCEF956AF26,2024-12-03,2024-12-04,SELL,17800,5.423,FILLED
ORD-1EB27D78FDE51345842A,DEC-C1514D436667611E6E56,CYC-1D36BDF2EFEA4B268FD0,2025-01-23,2025-01-24,BUY,19200,5.584,FILLED
ORD-428345701481BD8AFAB0,DEC-E017D275A445F42736B7,CYC-1D36BDF2EFEA4B268FD0,2025-02-07,2025-02-10,SELL,19200,5.248,FILLED
ORD-10516436A2ABF7843709,DEC-4CBEEB9412EA2F0CDA7F,CYC-892ABDB5DA81FA5B3AB2,2025-03-25,2025-03-26,BUY,18900,5.941,FILLED
ORD-3F0F9614B519393B237B,DEC-F0346127F5C45DC26A3D,CYC-892ABDB5DA81FA5B3AB2,2025-04-01,2025-04-02,SELL,18900,5.297,FILLED
ORD-C141C865EEE088C4506B,DEC-2EF51A65FD65AB95D066,CYC-F675E7743E2581EC2BE1,2025-04-24,2025-04-25,BUY,19900,5.605,FILLED
ORD-07AC999BA83D50CF09D3,DEC-B4F54D6DF3EA393E447A,CYC-F675E7743E2581EC2BE1,2025-05-06,2025-05-07,SELL,19900,5.16,FILLED
ORD-6ADE9767933E1987F278,DEC-6677C46903B28E112B46,CYC-110F41EA396C495605BD,2025-11-20,2025-11-21,BUY,16000,7.17,FILLED
ORD-C3CCA8A119FFA1ED702D,DEC-1F290B3DE2ABCD5FBCDD,CYC-110F41EA396C495605BD,2025-11-27,2025-11-28,SELL,16000,6.345,FILLED
ORD-1C5FBB3EA277CF74BD31,DEC-090BB83BA30A71BC6698,CYC-02D90A92DEA7DE53ADB8,2026-04-02,2026-04-03,BUY,14900,7.672,FILLED
