year,regime,sessions,year_share
2021,range,148,0.6090534979423868
2021,trend_down,2,0.00823045267489712
2021,trend_up,93,0.38271604938271603
2022,range,108,0.4462809917355372
2022,trend_down,102,0.4214876033057851
2022,trend_up,32,0.1322314049586777
2023,range,96,0.39669421487603307
2023,trend_down,99,0.4090909090909091
2023,trend_up,47,0.19421487603305784
2024,range,74,0.30578512396694213
2024,trend_down,93,0.384297520661157
2024,trend_up,75,0.30991735537190085
2025,range,139,0.5720164609053497
2025,trend_down,12,0.04938271604938271
2025,trend_up,92,0.3786008230452675
2026,range,98,0.5903614457831325
2026,trend_down,5,0.030120481927710843
2026,trend_up,63,0.3795180722891566
