split_id,training_blocks,validation_blocks,selected_candidate,training_sharpe,validation_sharpe,validation_rank,validation_candidate_count,validation_percentile,logit
0,"(0, 1, 2, 3, 4)","(5, 6, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.3320364715131856,0.4112701952155966,2,6,0.8,1.3862943611198908
1,"(0, 1, 2, 3, 5)","(4, 6, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,1.3266772107277827,-0.304864923439897,4,6,0.4,-0.4054651081081643
2,"(0, 1, 2, 3, 6)","(4, 5, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.203581412538549,0.3778010707484721,2,6,0.8,1.3862943611198908
3,"(0, 1, 2, 3, 7)","(4, 5, 6, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.378263660255662,0.3777890564260279,2,6,0.8,1.3862943611198908
4,"(0, 1, 2, 3, 8)","(4, 5, 6, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.2222327959877795,0.43266032001266425,2,6,0.8,1.3862943611198908
5,"(0, 1, 2, 3, 9)","(4, 5, 6, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9135320307470253,0.15169635426336234,3,6,0.6,0.4054651081081642
6,"(0, 1, 2, 4, 5)","(3, 6, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,1.3294660947809431,-0.28955672005116573,3,6,0.6,0.4054651081081642
7,"(0, 1, 2, 4, 6)","(3, 5, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.9592715258179992,0.6147934038654541,2,6,0.8,1.3862943611198908
8,"(0, 1, 2, 4, 7)","(3, 5, 6, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.0904395718907491,0.5885456096828211,2,6,0.8,1.3862943611198908
9,"(0, 1, 2, 4, 8)","(3, 5, 6, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.9547332254772048,0.6529465050459009,2,6,0.8,1.3862943611198908
10,"(0, 1, 2, 4, 9)","(3, 5, 6, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9122319781714643,0.1615555393370099,3,6,0.6,0.4054651081081642
