dt,symbol,open,high,low,close,vol,amount
2019-10-08,510500.SH,5.342,5.398,5.334,5.337,165871787.0,889927802.0
2019-10-09,510500.SH,5.327,5.391,5.3,5.384,180234269.0,963839709.0
2019-10-10,510500.SH,5.381,5.455,5.37,5.443,191568081.0,1036889861.0
2019-10-11,510500.SH,5.452,5.486,5.407,5.471,229142730.0,1246829687.0
2019-10-14,510500.SH,5.496,5.569,5.495,5.533,213599007.0,1181865948.0
2019-10-15,510500.SH,5.515,5.517,5.458,5.466,125132283.0,685564021.0
2019-10-16,510500.SH,5.475,5.5,5.432,5.434,132125116.0,722122401.0
2019-10-17,510500.SH,5.432,5.458,5.422,5.435,109710288.0,596888896.0
2019-10-18,510500.SH,5.436,5.465,5.347,5.36,168493813.0,911632389.0
2019-10-21,510500.SH,5.356,5.356,5.3,5.35,158439671.0,844145271.0
2019-10-22,510500.SH,5.356,5.418,5.349,5.4,176435459.0,947909682.0
2019-10-23,510500.SH,5.406,5.411,5.347,5.368,119101079.0,640605599.0
2019-10-24,510500.SH,5.365,5.373,5.322,5.358,178278126.0,953977625.0
2019-10-25,510500.SH,5.359,5.409,5.309,5.403,211373031.0,1133281870.0
2019-10-28,510500.SH,5.452,5.479,5.425,5.477,316163387.0,1725801647.0
2019-10-29,510500.SH,5.478,5.478,5.406,5.41,168480788.0,915676260.0
2019-10-30,510500.SH,5.392,5.394,5.337,5.343,188791734.0,1010958138.0
2019-10-31,510500.SH,5.347,5.364,5.307,5.315,140070068.0,747889564.0
2019-11-01,510500.SH,5.308,5.372,5.29,5.366,201120229.0,1074554482.0
2019-11-04,510500.SH,5.363,5.414,5.362,5.381,204197790.0,1100799812.0
2019-11-05,510500.SH,5.383,5.454,5.366,5.421,234251652.0,1267801939.0
2019-11-06,510500.SH,5.415,5.429,5.346,5.374,208792712.0,1124883562.0
2019-11-07,510500.SH,5.365,5.43,5.36,5.409,181696321.0,981280261.0
2019-11-08,510500.SH,5.445,5.464,5.385,5.389,222267652.0,1207253780.0
2019-11-11,510500.SH,5.36,5.361,5.26,5.265,246202004.0,1307602209.0
2019-11-12,510500.SH,5.268,5.283,5.21,5.268,207023828.0,1086820856.0
2019-11-13,510500.SH,5.267,5.274,5.237,5.268,139473952.0,733008256.0
2019-11-14,510500.SH,5.259,5.313,5.258,5.299,160482608.0,848681144.0
2019-11-15,510500.SH,5.299,5.335,5.262,5.267,142394247.0,753253686.0
2019-11-18,510500.SH,5.26,5.303,5.248,5.286,134863692.0,711802944.0
2019-11-19,510500.SH,5.286,5.376,5.28,5.371,211123239.0,1127611157.0
2019-11-20,510500.SH,5.373,5.388,5.334,5.337,235109667.0,1261321822.0
2019-11-21,510500.SH,5.325,5.368,5.31,5.345,124276379.0,663265604.0
2019-11-22,510500.SH,5.345,5.427,5.267,5.29,262720558.0,1405360165.0
2019-11-25,510500.SH,5.287,5.31,5.245,5.294,177313510.0,935840178.0
2019-11-26,510500.SH,5.3,5.319,5.266,5.276,185333761.0,979829869.0
2019-11-27,510500.SH,5.262,5.338,5.26,5.3,179507782.0,951970321.0
2019-11-28,510500.SH,5.294,5.317,5.273,5.29,144138426.0,762966163.0
2019-11-29,510500.SH,5.288,5.311,5.238,5.29,254598930.0,1344784027.0
2019-12-02,510500.SH,5.301,5.334,5.28,5.307,172702354.0,916465312.0
2019-12-03,510500.SH,5.28,5.331,5.262,5.33,193068434.0,1021347831.0
2019-12-04,510500.SH,5.303,5.333,5.295,5.319,146774814.0,779764104.0
2019-12-05,510500.SH,5.331,5.386,5.323,5.369,218991793.00000003,1173089812.0
2019-12-06,510500.SH,5.37,5.423,5.355,5.421,188782140.0,1016823710.0
