dt,symbol,open,high,low,close,vol,amount
2019-10-08,512100.SH,0.664,0.671,0.664,0.665,10766900.0,7188923.0
2019-10-09,512100.SH,0.665,0.672,0.66,0.671,14223100.0,9455618.0
2019-10-10,512100.SH,0.671,0.682,0.668,0.681,20058800.0,13537065.0
2019-10-11,512100.SH,0.684,0.685,0.676,0.682,15364600.0,10457156.0
2019-10-14,512100.SH,0.688,0.694,0.686,0.692,15837400.0,10936846.0
2019-10-15,512100.SH,0.69,0.69,0.681,0.683,21738600.0,14861358.0
2019-10-16,512100.SH,0.684,0.686,0.678,0.678,19380700.0,13230111.0
2019-10-17,512100.SH,0.679,0.681,0.676,0.678,14728900.0,10010711.0
2019-10-18,512100.SH,0.68,0.685,0.667,0.67,18744600.0,12643099.0
2019-10-21,512100.SH,0.672,0.675,0.66,0.666,22124700.0,14703485.0
2019-10-22,512100.SH,0.666,0.675,0.666,0.674,29876700.0,20014725.0
2019-10-23,512100.SH,0.675,0.675,0.667,0.669,15036800.0,10094044.0
2019-10-24,512100.SH,0.669,0.67,0.663,0.668,14012400.0,9342157.0
2019-10-25,512100.SH,0.668,0.675,0.663,0.673,24419100.0,16313133.0
2019-10-28,512100.SH,0.68,0.691,0.68,0.691,32714100.0,22432328.0
2019-10-29,512100.SH,0.695,0.695,0.682,0.683,34003400.0,23374784.0
2019-10-30,512100.SH,0.681,0.681,0.674,0.677,31653100.0,21438182.0
2019-10-31,512100.SH,0.677,0.677,0.668,0.669,17634500.0,11870309.0
2019-11-01,512100.SH,0.668,0.676,0.665,0.675,10178100.0,6806328.0
2019-11-04,512100.SH,0.675,0.683,0.675,0.679,23146000.0,15737815.0
2019-11-05,512100.SH,0.679,0.683,0.675,0.682,11371100.0,7737471.0
2019-11-06,512100.SH,0.682,0.682,0.672,0.675,16524700.0,11204582.0
2019-11-07,512100.SH,0.675,0.681,0.673,0.679,13754500.0,9335718.0
2019-11-08,512100.SH,0.684,0.685,0.677,0.679,42035400.0,28704590.0
2019-11-11,512100.SH,0.678,0.678,0.659,0.661,22680500.0,15106755.0
2019-11-12,512100.SH,0.664,0.664,0.653,0.662,19038900.0,12519621.0
2019-11-13,512100.SH,0.667,0.667,0.657,0.66,9187100.0,6058978.0
2019-11-14,512100.SH,0.66,0.666,0.659,0.663,14215400.0,9425865.0
2019-11-15,512100.SH,0.664,0.665,0.656,0.657,28028700.0,18493122.0
2019-11-18,512100.SH,0.655,0.662,0.653,0.661,24152300.0,15919487.0
2019-11-19,512100.SH,0.662,0.676,0.662,0.675,25630700.0,17136886.0
2019-11-20,512100.SH,0.675,0.676,0.669,0.669,24519400.0,16525579.000000002
2019-11-21,512100.SH,0.669,0.674,0.665,0.67,21479800.0,14384712.0
2019-11-22,512100.SH,0.668,0.677,0.658,0.662,21722400.0,14551184.0
2019-11-25,512100.SH,0.661,0.661,0.652,0.657,20956400.0,13747644.0
2019-11-26,512100.SH,0.656,0.661,0.655,0.657,13421400.0,8820670.0
2019-11-27,512100.SH,0.657,0.66,0.653,0.658,20607800.0,13524155.0
2019-11-28,512100.SH,0.658,0.66,0.655,0.656,17861600.0,11740811.0
2019-11-29,512100.SH,0.656,0.657,0.65,0.655,22122500.0,14448945.0
2019-12-02,512100.SH,0.656,0.66,0.655,0.657,13226900.0,8697916.0
2019-12-03,512100.SH,0.656,0.661,0.651,0.661,14746300.0,9624257.0
2019-12-04,512100.SH,0.66,0.663,0.656,0.662,18391500.0,12148980.0
2019-12-05,512100.SH,0.664,0.671,0.662,0.668,21466300.0,14299094.0
2019-12-06,512100.SH,0.669,0.674,0.668,0.674,14868600.0,9960962.0
2019-12-09,512100.SH,0.675,0.677,0.673,0.674,28753600.0,19399671.0
2019-12-10,512100.SH,0.674,0.68,0.671,0.678,20970500.0,14143712.0
2019-12-11,512100.SH,0.68,0.68,0.676,0.676,25428600.0,17226647.0
2019-12-12,512100.SH,0.677,0.681,0.676,0.676,30149500.0,20436033.0
2019-12-13,512100.SH,0.681,0.687,0.68,0.687,21426800.0,14636048.0
2019-12-16,512100.SH,0.689,0.7,0.687,0.699,29675600.0,20574663.0
2019-12-17,512100.SH,0.701,0.71,0.699,0.707,24102200.0,17005462.0
2019-12-18,512100.SH,0.706,0.713,0.704,0.707,22065700.0,15660519.0
2019-12-19,512100.SH,0.708,0.713,0.707,0.713,23498500.0,16666141.0
2019-12-20,512100.SH,0.711,0.713,0.703,0.703,20241500.0,14344263.0
2019-12-23,512100.SH,0.703,0.703,0.686,0.686,27095900.0,18794216.0
2019-12-24,512100.SH,0.687,0.7,0.687,0.7,34697300.0,24116074.0
2019-12-25,512100.SH,0.697,0.705,0.697,0.705,21848500.0,15359116.0
2019-12-26,512100.SH,0.705,0.711,0.703,0.711,24610300.0,17368197.0
2019-12-27,512100.SH,0.71,0.714,0.703,0.705,22518800.0,15987106.0
2019-12-30,512100.SH,0.705,0.71,0.693,0.71,24847700.0,17497989.0
2019-12-31,512100.SH,0.709,0.715,0.705,0.714,9925500.0,7070823.0
2020-01-02,512100.SH,0.721,0.729,0.716,0.728,31463200.0,22730467.0
2020-01-03,512100.SH,0.73,0.732,0.726,0.731,12126300.0,8850369.0
2020-01-06,512100.SH,0.728,0.744,0.725,0.738,19979200.0,14717455.0
2020-01-07,512100.SH,0.736,0.75,0.736,0.75,15032100.0,11189727.0
2020-01-08,512100.SH,0.745,0.752,0.737,0.741,16564200.0,12348370.0
2020-01-09,512100.SH,0.746,0.752,0.745,0.751,22762800.0,17030897.0
2020-01-10,512100.SH,0.752,0.754,0.746,0.75,19954800.0,14970348.0
2020-01-13,512100.SH,0.75,0.76,0.745,0.76,16350300.0,12293158.0
2020-01-14,512100.SH,0.762,0.763,0.757,0.758,17012400.0,12939916.0
2020-01-15,512100.SH,0.758,0.76,0.744,0.757,16642500.0,12561583.0
2020-01-16,512100.SH,0.759,0.761,0.756,0.758,20825200.0,15798676.0
2020-01-17,512100.SH,0.758,0.761,0.753,0.754,29162400.0,22082874.0
2020-01-20,512100.SH,0.754,0.765,0.753,0.765,17305500.0,13127979.0
2020-01-21,512100.SH,0.765,0.765,0.757,0.757,28296700.0,21525734.0
2020-01-22,512100.SH,0.754,0.764,0.743,0.762,23193800.0,17490708.0
2020-01-23,512100.SH,0.759,0.759,0.726,0.735,34990600.0,26152462.0
2020-02-03,512100.SH,0.668,0.685,0.662,0.662,17787500.0,11969791.0
2020-02-04,512100.SH,0.658,0.695,0.658,0.671,17813500.0,11888241.0
2020-02-05,512100.SH,0.67,0.7,0.67,0.694,28667100.0,19750745.0
2020-02-06,512100.SH,0.695,0.716,0.687,0.713,20693600.0,14552585.0
2020-02-07,512100.SH,0.708,0.722,0.708,0.72,22011000.0,15735465.0
2020-02-10,512100.SH,0.714,0.732,0.714,0.73,19613600.0,14225602.0
2020-02-11,512100.SH,0.73,0.731,0.722,0.728,18719100.0,13620337.0
2020-02-12,512100.SH,0.727,0.745,0.724,0.745,15398400.0,11347255.0
2020-02-13,512100.SH,0.741,0.748,0.738,0.741,19890700.0,14767704.0
