mechanism,year,event_count
RELATIVE_STRENGTH_CONTINUATION,2021,68
RELATIVE_STRENGTH_CONTINUATION,2022,56
RELATIVE_STRENGTH_CONTINUATION,2023,71
RELATIVE_STRENGTH_CONTINUATION,2024,60
RELATIVE_STRENGTH_CONTINUATION,2025,79
RELATIVE_STRENGTH_CONTINUATION,2026,41
RELATIVE_RESIDUAL_REVERSION,2021,60
RELATIVE_RESIDUAL_REVERSION,2022,58
RELATIVE_RESIDUAL_REVERSION,2023,55
RELATIVE_RESIDUAL_REVERSION,2024,66
RELATIVE_RESIDUAL_REVERSION,2025,62
RELATIVE_RESIDUAL_REVERSION,2026,49
OPENING_GAP_REVERSION,2021,67
OPENING_GAP_REVERSION,2022,62
OPENING_GAP_REVERSION,2023,56
OPENING_GAP_REVERSION,2024,59
OPENING_GAP_REVERSION,2025,63
OPENING_GAP_REVERSION,2026,42
