trial_id,experiment_id,group_keys,episode_rows,active_days,included,exclusion_reason
20260910_S003_EX05:M01:09:45,20260910_S003_EX05,"hypothesis_id,exit_clock",844,844,True,
20260910_S003_EX05:M01:10:30,20260910_S003_EX05,"hypothesis_id,exit_clock",729,729,True,
20260910_S003_EX05:M01:11:30,20260910_S003_EX05,"hypothesis_id,exit_clock",668,668,True,
20260910_S003_EX05:M01:15:00,20260910_S003_EX05,"hypothesis_id,exit_clock",561,561,True,
20260910_S003_EX05:M02:09:45,20260910_S003_EX05,"hypothesis_id,exit_clock",837,837,True,
20260910_S003_EX05:M02:10:30,20260910_S003_EX05,"hypothesis_id,exit_clock",732,732,True,
20260910_S003_EX05:M02:11:30,20260910_S003_EX05,"hypothesis_id,exit_clock",664,664,True,
20260910_S003_EX05:M02:15:00,20260910_S003_EX05,"hypothesis_id,exit_clock",551,551,True,
20260910_S003_EX05:M03:09:45,20260910_S003_EX05,"hypothesis_id,exit_clock",920,920,True,
20260910_S003_EX05:M03:10:30,20260910_S003_EX05,"hypothesis_id,exit_clock",763,763,True,
20260910_S003_EX05:M03:11:30,20260910_S003_EX05,"hypothesis_id,exit_clock",643,643,True,
20260910_S003_EX05:M03:15:00,20260910_S003_EX05,"hypothesis_id,exit_clock",555,555,True,
20260910_S003_EX05:M04:09:45,20260910_S003_EX05,"hypothesis_id,exit_clock",721,721,True,
20260910_S003_EX05:M04:10:30,20260910_S003_EX05,"hypothesis_id,exit_clock",687,687,True,
20260910_S003_EX05:M04:11:30,20260910_S003_EX05,"hypothesis_id,exit_clock",626,626,True,
20260910_S003_EX05:M04:15:00,20260910_S003_EX05,"hypothesis_id,exit_clock",560,560,True,
20260910_S003_EX05:M05:09:45,20260910_S003_EX05,"hypothesis_id,exit_clock",721,721,True,
20260910_S003_EX05:M05:10:30,20260910_S003_EX05,"hypothesis_id,exit_clock",644,644,True,
20260910_S003_EX05:M05:11:30,20260910_S003_EX05,"hypothesis_id,exit_clock",585,585,True,
20260910_S003_EX05:M05:15:00,20260910_S003_EX05,"hypothesis_id,exit_clock",501,501,True,
20260910_S003_EX05:M06:09:45,20260910_S003_EX05,"hypothesis_id,exit_clock",875,875,True,
20260910_S003_EX05:M06:10:30,20260910_S003_EX05,"hypothesis_id,exit_clock",755,755,True,
20260910_S003_EX05:M06:11:30,20260910_S003_EX05,"hypothesis_id,exit_clock",680,680,True,
20260910_S003_EX05:M06:15:00,20260910_S003_EX05,"hypothesis_id,exit_clock",569,569,True,
20260910_S003_EX05:M07:09:45,20260910_S003_EX05,"hypothesis_id,exit_clock",1084,1084,True,
20260910_S003_EX05:M07:10:30,20260910_S003_EX05,"hypothesis_id,exit_clock",840,840,True,
20260910_S003_EX05:M07:11:30,20260910_S003_EX05,"hypothesis_id,exit_clock",697,697,True,
20260910_S003_EX05:M07:15:00,20260910_S003_EX05,"hypothesis_id,exit_clock",619,619,True,
20260910_S003_EX06:M01:3,20260910_S003_EX06,"hypothesis_id,exit_bars",934,934,True,
