datetime,open,high,low,close,volume,amount
2021-01-04 00:00:00,0.94,0.959,0.938,0.956,112152000.0,106470265.0
2021-01-05 00:00:00,0.954,0.961,0.947,0.958,68144800.0,65130285.0
2021-01-06 00:00:00,0.953,0.96,0.941,0.948,52201100.0,49483597.0
2021-01-07 00:00:00,0.948,0.948,0.924,0.933,61505000.0,57483255.0
2021-01-08 00:00:00,0.932,0.94,0.921,0.928,48041000.0,44772629.0
2021-01-11 00:00:00,0.922,0.929,0.908,0.912,52583200.0,48343135.0
2021-01-12 00:00:00,0.912,0.931,0.906,0.93,52862875.0,48674430.0
2021-01-13 00:00:00,0.93,0.931,0.914,0.919,41738025.0,38404494.0
2021-01-14 00:00:00,0.919,0.928,0.908,0.918,98221100.0,90443539.0
2021-01-15 00:00:00,0.918,0.925,0.908,0.923,66218600.0,60746587.0
2021-01-18 00:00:00,0.92,0.945,0.919,0.943,63856200.0,59621178.0
2021-01-19 00:00:00,0.947,0.948,0.931,0.934,61420500.0,57628859.0
2021-01-20 00:00:00,0.938,0.941,0.93,0.939,55605000.0,52022104.0
2021-01-21 00:00:00,0.936,0.955,0.936,0.95,57680500.0,54667433.0
2021-01-22 00:00:00,0.951,0.951,0.94,0.948,56417600.0,53328928.0
2021-01-25 00:00:00,0.95,0.95,0.937,0.938,45488600.0,42911819.0
2021-01-26 00:00:00,0.935,0.939,0.923,0.925,41450800.0,38498445.0
2021-01-27 00:00:00,0.925,0.926,0.912,0.924,45719500.0,42046071.0
2021-01-28 00:00:00,0.916,0.927,0.906,0.906,73051100.0,66906566.00000001
2021-01-29 00:00:00,0.912,0.914,0.881,0.893,64475400.0,57831708.0
2021-02-01 00:00:00,0.893,0.9,0.889,0.899,32510700.0,29081660.0
2021-02-02 00:00:00,0.901,0.907,0.892,0.907,49600400.0,44665501.0
2021-02-03 00:00:00,0.907,0.908,0.892,0.893,38925700.0,35020739.0
2021-02-04 00:00:00,0.888,0.89,0.861,0.874,68098100.0,59468763.0
2021-02-05 00:00:00,0.873,0.879,0.857,0.858,59388455.00000001,51631003.0
2021-02-08 00:00:00,0.86,0.868,0.8,0.862,61163744.99999999,52471378.0
2021-02-09 00:00:00,0.862,0.89,0.861,0.889,84550400.0,74347853.0
2021-02-10 00:00:00,0.89,0.895,0.883,0.894,73997300.0,65766132.0
2021-02-18 00:00:00,0.908,0.915,0.901,0.913,92454600.0,84093353.0
2021-02-19 00:00:00,0.912,0.93,0.904,0.929,91303400.0,83692314.0
2021-02-22 00:00:00,0.936,0.947,0.925,0.93,216618000.0,203273556.0
2021-02-23 00:00:00,0.916,0.929,0.912,0.92,129466445.0,118958562.0
2021-02-24 00:00:00,0.915,0.928,0.904,0.914,145579200.0,133550681.00000001
2021-02-25 00:00:00,0.922,0.923,0.905,0.91,88858000.0,80881443.0
2021-02-26 00:00:00,0.899,0.905,0.891,0.896,88954200.0,79887135.0
2021-03-01 00:00:00,0.897,0.921,0.897,0.92,117446400.0,107524105.0
2021-03-02 00:00:00,0.925,0.926,0.91,0.92,136784800.0,125636886.0
2021-03-03 00:00:00,0.919,0.931,0.914,0.931,100741200.0,92853113.0
2021-03-04 00:00:00,0.921,0.928,0.91,0.916,188474700.0,172949532.0
2021-03-05 00:00:00,0.906,0.92,0.902,0.917,109825244.0,100003346.0
2021-03-08 00:00:00,0.924,0.925,0.893,0.894,106500700.0,97082023.0
2021-03-09 00:00:00,0.89,0.895,0.854,0.869,116847900.0,102076362.0
2021-03-10 00:00:00,0.873,0.878,0.859,0.859,83166500.0,71949499.0
2021-03-11 00:00:00,0.86,0.884,0.857,0.883,96979900.0,84650446.0
2021-03-12 00:00:00,0.885,0.886,0.872,0.885,82832900.0,72722460.0
2021-03-15 00:00:00,0.88,0.885,0.868,0.876,107775600.0,94554336.0
2021-03-16 00:00:00,0.877,0.886,0.87,0.886,105827144.0,93005645.0
2021-03-17 00:00:00,0.884,0.891,0.875,0.889,95267500.0,84292860.0
2021-03-18 00:00:00,0.884,0.896,0.884,0.89,105445000.0,93977498.0
2021-03-19 00:00:00,0.882,0.894,0.879,0.888,118641600.0,105314272.0
2021-03-22 00:00:00,0.885,0.904,0.885,0.903,118009700.0,105845486.0
2021-03-23 00:00:00,0.903,0.906,0.888,0.895,123421100.0,110622481.0
2021-03-24 00:00:00,0.887,0.891,0.875,0.876,102848000.0,90729533.0
2021-03-25 00:00:00,0.875,0.885,0.869,0.878,145956162.0,128038040.0
