dt,observed_members,expected_members,observed_weight,total_weight,member_coverage_ratio,observed_weight_ratio
2021-01-04,998,1000,99.858,100.002,0.998,0.9985600287994241
2021-01-05,998,1000,99.858,100.002,0.998,0.9985600287994241
2021-01-06,999,1000,99.917,100.002,0.999,0.9991500169996601
2021-01-07,999,1000,99.917,100.002,0.999,0.9991500169996601
2021-01-08,999,1000,99.917,100.002,0.999,0.9991500169996601
2021-01-11,998,1000,99.859,100.002,0.998,0.998570028599428
2021-01-12,997,1000,99.813,100.002,0.997,0.9981100377992441
2021-01-13,997,1000,99.813,100.002,0.997,0.9981100377992441
2021-01-14,997,1000,99.813,100.002,0.997,0.9981100377992441
2021-01-15,997,1000,99.813,100.002,0.997,0.9981100377992441
2021-01-18,997,1000,99.813,100.002,0.997,0.9981100377992441
2021-01-19,998,1000,99.859,100.002,0.998,0.998570028599428
2021-01-20,997,1000,99.828,100.002,0.997,0.9982600347993041
2021-01-21,997,1000,99.828,100.002,0.997,0.9982600347993041
2021-01-22,997,1000,99.828,100.002,0.997,0.9982600347993041
2021-01-25,997,1000,99.818,100.002,0.997,0.998160036799264
2021-01-26,998,1000,99.886,100.002,0.998,0.998840023199536
2021-01-27,998,1000,99.886,100.002,0.998,0.998840023199536
2021-01-28,998,1000,99.886,100.002,0.998,0.998840023199536
2021-01-29,998,1000,99.886,100.002,0.998,0.998840023199536
2021-02-01,998,1000,99.831,100.003,0.998,0.9982800515984521
2021-02-02,997,1000,99.77,100.003,0.997,0.997670069897903
2021-02-03,997,1000,99.762,100.003,0.997,0.997590072297831
2021-02-04,997,1000,99.762,100.003,0.997,0.997590072297831
2021-02-05,997,1000,99.762,100.003,0.997,0.997590072297831
2021-02-08,996,1000,99.357,100.003,0.996,0.9935401937941861
2021-02-09,997,1000,99.505,100.003,0.997,0.9950201493955181
2021-02-10,999,1000,99.925,100.003,0.999,0.9992200233992979
2021-02-18,998,1000,99.813,100.003,0.998,0.9981000569982901
2021-02-19,998,1000,99.813,100.003,0.998,0.9981000569982901
2021-02-22,998,1000,99.813,100.003,0.998,0.9981000569982901
2021-02-23,998,1000,99.813,100.003,0.998,0.9981000569982901
