fill_id,order_id,decision_id,cycle_id,signal_date,fill_time,side,quantity,price,fees,trigger
FIL-A79EBB23D4DFDCA5A9FF,ORD-4E01F38A3D68EC56B3BC,DEC-9A6418FB64B2B2E11BFD,CYC-AA58B6E47CCD7D3087F5,2021-04-14,2021-04-15 09:30:00,BUY,7100,6.946000000000001,5.917992000000001,OPEN
FIL-64534B279AC1F52719DB,ORD-1D67E8322ACC8C1E10E8,DEC-9A6418FB64B2B2E11BFD,CYC-AA58B6E47CCD7D3087F5,2021-04-14,2021-04-15 11:30:00,SELL,7100,6.9,5.8788,11:30_CLOSE
FIL-58924EB640FF3B67977F,ORD-D116E032DFA90D77A41A,DEC-1CC6BF294F3D2A73942E,CYC-6BAB8F80C0EFDE0EEB11,2021-04-16,2021-04-19 09:30:00,BUY,7100,7.039,5.997228000000001,OPEN
FIL-7C5FBBFD86D7425B673D,ORD-1582C3A06F8FFEAA9E18,DEC-1CC6BF294F3D2A73942E,CYC-6BAB8F80C0EFDE0EEB11,2021-04-16,2021-04-19 11:30:00,SELL,7100,7.123,6.068796000000001,11:30_CLOSE
FIL-B5CF2E3C6CCA05F3ED68,ORD-27DCEB8AFBC867DB6675,DEC-0EDBE9FFE96F995E22C7,CYC-C8F5278A41AF7BF7F4F5,2021-04-19,2021-04-20 09:30:00,BUY,7100,7.109,6.056868000000001,OPEN
FIL-1BBA3F7A1C0A5C2C4955,ORD-2DA9F4E19F26D584C3E5,DEC-0EDBE9FFE96F995E22C7,CYC-C8F5278A41AF7BF7F4F5,2021-04-19,2021-04-20 11:30:00,SELL,7100,7.1610000000000005,6.101172000000001,11:30_CLOSE
FIL-A0541193465B9C532C62,ORD-03456993C114CB2DEA1E,DEC-B529BC23EB375358D5E8,CYC-42853EDAEE68CC0433F0,2021-05-14,2021-05-17 09:30:00,BUY,7000,7.268999999999999,6.10596,OPEN
FIL-BDA8A83AA8CE3049D3F8,ORD-6F2CAF6DBAA156F0849E,DEC-B529BC23EB375358D5E8,CYC-42853EDAEE68CC0433F0,2021-05-14,2021-05-17 11:30:00,SELL,7000,7.338000000000001,6.163920000000001,11:30_CLOSE
FIL-5A678B209379398853F8,ORD-AA9DC1819DA5E8DFAE2A,DEC-8FFA1D3A3E71CE266932,CYC-8FD3D7BA8057223529BB,2021-05-25,2021-05-26 09:30:00,BUY,7000,7.363,6.18492,OPEN
FIL-52D74E234871F32E5BFC,ORD-D8C14CC42DC0FA8B29EE,DEC-8FFA1D3A3E71CE266932,CYC-8FD3D7BA8057223529BB,2021-05-25,2021-05-26 11:30:00,SELL,7000,7.35,6.174,11:30_CLOSE
FIL-8C55DA5FA31F7D92F110,ORD-FF4173B062B242D7F8A6,DEC-386372A856C07712E8F6,CYC-542A49704EDEC448F773,2021-06-10,2021-06-11 09:30:00,BUY,6800,7.543000000000003,6.155088000000002,OPEN
FIL-9DBBD85C5A90D8F8FA04,ORD-369D548DA8D6F447D556,DEC-386372A856C07712E8F6,CYC-542A49704EDEC448F773,2021-06-10,2021-06-11 11:30:00,SELL,6800,7.521000000000002,6.137136000000002,11:30_CLOSE
FIL-9737D1BF8BD99C9EE4E3,ORD-7D6CD3FDF790F220C5D4,DEC-D91FF24A0CCCF15FA84C,CYC-2681659B8E403DB87F1D,2021-06-18,2021-06-21 09:30:00,BUY,6900,7.428999999999999,6.151212,OPEN
FIL-9F6446EEA330EA8071BB,ORD-A221E7B602575824775B,DEC-D91FF24A0CCCF15FA84C,CYC-2681659B8E403DB87F1D,2021-06-18,2021-06-21 11:30:00,SELL,6900,7.464999999999999,6.181019999999999,11:30_CLOSE
FIL-ABA8AE1D5DA44717711E,ORD-ED478658C8BED057CD14,DEC-27E253E50F364DA482E3,CYC-32B74889908440CDED42,2021-06-21,2021-06-22 09:30:00,BUY,6800,7.498000000000001,6.118368000000001,OPEN
FIL-FBDC8D08008487D48505,ORD-57119B0B55C689BFC3BD,DEC-27E253E50F364DA482E3,CYC-32B74889908440CDED42,2021-06-21,2021-06-22 11:30:00,SELL,6800,7.518,6.134688000000001,11:30_CLOSE
FIL-A0BC1E557D85F243FAC5,ORD-5FEB68274C6B8959A6E2,DEC-283CDE5651883E35D4B8,CYC-10BA93FD62AE3BC3EBFF,2021-06-25,2021-06-28 09:30:00,BUY,6700,7.613999999999999,6.121656,OPEN
FIL-4F1A9CF8B2F9C910D4A5,ORD-220C54A38B3A3491BF29,DEC-283CDE5651883E35D4B8,CYC-10BA93FD62AE3BC3EBFF,2021-06-25,2021-06-28 11:30:00,SELL,6700,7.617999999999999,6.124872,11:30_CLOSE
FIL-8873451A25A6631ED13E,ORD-9026C77A7EC9B1D37D14,DEC-E13D44FF7A8F551D2D7B,CYC-ABF53ECB1DA0DE8FDA1B,2021-07-07,2021-07-08 09:30:00,BUY,6800,7.569,6.176304,OPEN
FIL-059C27072091DC64308D,ORD-EFA3D9BD9D8624372D3C,DEC-E13D44FF7A8F551D2D7B,CYC-ABF53ECB1DA0DE8FDA1B,2021-07-07,2021-07-08 11:30:00,SELL,6800,7.56,6.16896,11:30_CLOSE
FIL-E36AE779B0B6AED22586,ORD-9C52788B42B0297CA341,DEC-12475825EB89D6C31B88,CYC-24627BDF3E8410E0E3EC,2021-07-09,2021-07-12 09:30:00,BUY,6700,7.6530000000000005,6.153012000000001,OPEN
FIL-01C4F0AFA9F0AB9A5748,ORD-70EA15832BF22CA6451E,DEC-12475825EB89D6C31B88,CYC-24627BDF3E8410E0E3EC,2021-07-09,2021-07-12 11:30:00,SELL,6700,7.738,6.221352,11:30_CLOSE
FIL-D1DAFFA1C7D7CA0FA142,ORD-6E5DF6251A1FDBD3E9A0,DEC-72EB4F2D8A37115F2F8E,CYC-8A282C1F68C99C4FFD22,2021-07-13,2021-07-14 09:30:00,BUY,6700,7.792,6.264768,OPEN
FIL-97415869E40E7F88C9AC,ORD-F032224401E3CD01980B,DEC-72EB4F2D8A37115F2F8E,CYC-8A282C1F68C99C4FFD22,2021-07-13,2021-07-14 11:30:00,SELL,6700,7.769,6.246276000000001,11:30_CLOSE
FIL-4F8478A748382F21D3D1,ORD-03AAFEBDC9A8BE2189D0,DEC-403187638E6DB270682F,CYC-C6D92543D9FEFB5EFD64,2021-07-22,2021-07-23 09:30:00,BUY,6600,7.883,6.243336,OPEN
FIL-336DE68D73F203E1C070,ORD-0DBAC65C40FBCA4E474C,DEC-403187638E6DB270682F,CYC-C6D92543D9FEFB5EFD64,2021-07-22,2021-07-23 11:30:00,SELL,6600,7.841,6.210072,11:30_CLOSE
FIL-D0E1CCAE98580EA10998,ORD-614FED26C285D6C78A62,DEC-C16092AF08E63E5305B5,CYC-13745E5378F7CBC34A10,2021-07-28,2021-07-29 09:30:00,BUY,6800,7.55,6.1608,OPEN
FIL-A717890FD39AB850D6CE,ORD-FC3CF3A8F0757B72E6B0,DEC-C16092AF08E63E5305B5,CYC-13745E5378F7CBC34A10,2021-07-28,2021-07-29 11:30:00,SELL,6800,7.552,6.162432,11:30_CLOSE
FIL-B40CFD0923D3C71FA4B3,ORD-7CEA277D51D7C48D23FF,DEC-6D263B3FA0C24083E618,CYC-C9E69730B39332DE5656,2021-08-04,2021-08-05 09:30:00,BUY,6600,7.747,6.135624,OPEN
FIL-C7F32029E9ADF7F21539,ORD-8E5588B6FB08325213BB,DEC-6D263B3FA0C24083E618,CYC-C9E69730B39332DE5656,2021-08-04,2021-08-05 11:30:00,SELL,6600,7.775,6.1578,11:30_CLOSE
FIL-D51E05D8E38BFA035F6E,ORD-5843E78FC60B3593491C,DEC-69903505B33FBA80FB1E,CYC-390B0CB9A8BCDBD3E604,2021-08-09,2021-08-10 09:30:00,BUY,6600,7.812,6.187104000000001,OPEN
FIL-996A5DAA827451D25CDD,ORD-6EBE55B777AA9EF72475,DEC-69903505B33FBA80FB1E,CYC-390B0CB9A8BCDBD3E604,2021-08-09,2021-08-10 11:30:00,SELL,6600,7.841,6.210072,11:30_CLOSE
FIL-A326900A75709B6B972C,ORD-7F1520BF21788BC45E9A,DEC-BED1B5AF60C6F5424545,CYC-6915A3DFCCF6A40923E8,2021-08-11,2021-08-12 09:30:00,BUY,6500,7.921,6.17838,OPEN
FIL-18EB4A108F91E4D11A85,ORD-FE7C9C0E3CFCEB055F15,DEC-BED1B5AF60C6F5424545,CYC-6915A3DFCCF6A40923E8,2021-08-11,2021-08-12 11:30:00,SELL,6500,7.961,6.20958,11:30_CLOSE
FIL-63FE4732411A287CB05C,ORD-6E93522C1F9346705302,DEC-C71BF64607B22560739B,CYC-6C84BA6774E3CDDB3140,2021-08-18,2021-08-19 09:30:00,BUY,6700,7.772,6.2486880000000005,OPEN
FIL-F4C80D9558D01E25F019,ORD-92E70BA2AF2830EC2CDE,DEC-C71BF64607B22560739B,CYC-6C84BA6774E3CDDB3140,2021-08-18,2021-08-19 11:30:00,SELL,6700,7.775,6.2511,11:30_CLOSE
FIL-54A07C145F762230C1B5,ORD-D436458EC0E0BBDEC35F,DEC-C94F43E60C1724444EDF,CYC-7C9FAFE920B55AA0EF27,2021-08-23,2021-08-24 09:30:00,BUY,6600,7.909999999999999,6.26472,OPEN
FIL-742E79E052E395FBEBA7,ORD-04B178C9695F37A5662A,DEC-C94F43E60C1724444EDF,CYC-7C9FAFE920B55AA0EF27,2021-08-23,2021-08-24 11:30:00,SELL,6600,7.954,6.299568000000001,11:30_CLOSE
FIL-4FD79981973DA737E798,ORD-3FF87AC4A734415961D0,DEC-0D1B134C272BFBD5CA79,CYC-4380E751BD2AF47A2984,2021-08-25,2021-08-26 09:30:00,BUY,6500,8.024000000000001,6.258720000000001,OPEN
FIL-1AB9D9B80AE9D1168C60,ORD-8A4173BE0B3CAEBF517D,DEC-0D1B134C272BFBD5CA79,CYC-4380E751BD2AF47A2984,2021-08-25,2021-08-26 11:30:00,SELL,6500,8.036,6.26808,11:30_CLOSE
FIL-08472B87032D69568CC4,ORD-A733B0090A0F262ECEC6,DEC-DABF57CF8C6081D179E1,CYC-527473C143CC03F89464,2021-08-27,2021-08-30 09:30:00,BUY,6500,8.07,6.2946,OPEN
FIL-A25455ED58F604D846D4,ORD-1926B5E4073393397D6D,DEC-DABF57CF8C6081D179E1,CYC-527473C143CC03F89464,2021-08-27,2021-08-30 11:30:00,SELL,6500,8.119,6.33282,11:30_CLOSE
FIL-9E7BB2284AA7B32F44F5,ORD-EEDBBCE93E0141C8E288,DEC-56DFD054B1EAF82D33F0,CYC-1A61C9F139E6F84E588A,2021-08-31,2021-09-01 09:30:00,BUY,6500,8.15,6.357,OPEN
FIL-124FC42319C82BAFB9DB,ORD-F89BFF090B46A4FC308D,DEC-56DFD054B1EAF82D33F0,CYC-1A61C9F139E6F84E588A,2021-08-31,2021-09-01 11:30:00,SELL,6500,8.076,6.29928,11:30_CLOSE
FIL-99127B9514D7639359F0,ORD-9FC8CAEC29F5A4960ED6,DEC-5C6C3D9296D139D969EE,CYC-402B8CE549D528AAC86D,2021-09-02,2021-09-03 09:30:00,BUY,6300,8.249999999999998,6.236999999999998,OPEN
FIL-011EC0208789A1692D65,ORD-B6979E90B4B30043C9DA,DEC-5C6C3D9296D139D969EE,CYC-402B8CE549D528AAC86D,2021-09-02,2021-09-03 11:30:00,SELL,6300,8.189999999999998,6.191639999999999,11:30_CLOSE
