order_id,decision_id,cycle_id,signal_date,execution_date,side,quantity,order_type,limit_price,status,checkpoint
ORD-4E01F38A3D68EC56B3BC,DEC-9A6418FB64B2B2E11BFD,CYC-AA58B6E47CCD7D3087F5,2021-04-14,2021-04-15,BUY,7100,MARKETABLE_LIMIT,6.946000000000001,FILLED,OPEN
ORD-1D67E8322ACC8C1E10E8,DEC-9A6418FB64B2B2E11BFD,CYC-AA58B6E47CCD7D3087F5,2021-04-14,2021-04-15,SELL,7100,MARKETABLE_LIMIT,6.9,FILLED,11:30_CLOSE
ORD-D116E032DFA90D77A41A,DEC-1CC6BF294F3D2A73942E,CYC-6BAB8F80C0EFDE0EEB11,2021-04-16,2021-04-19,BUY,7100,MARKETABLE_LIMIT,7.039,FILLED,OPEN
ORD-1582C3A06F8FFEAA9E18,DEC-1CC6BF294F3D2A73942E,CYC-6BAB8F80C0EFDE0EEB11,2021-04-16,2021-04-19,SELL,7100,MARKETABLE_LIMIT,7.123,FILLED,11:30_CLOSE
ORD-27DCEB8AFBC867DB6675,DEC-0EDBE9FFE96F995E22C7,CYC-C8F5278A41AF7BF7F4F5,2021-04-19,2021-04-20,BUY,7100,MARKETABLE_LIMIT,7.109,FILLED,OPEN
ORD-2DA9F4E19F26D584C3E5,DEC-0EDBE9FFE96F995E22C7,CYC-C8F5278A41AF7BF7F4F5,2021-04-19,2021-04-20,SELL,7100,MARKETABLE_LIMIT,7.1610000000000005,FILLED,11:30_CLOSE
ORD-03456993C114CB2DEA1E,DEC-B529BC23EB375358D5E8,CYC-42853EDAEE68CC0433F0,2021-05-14,2021-05-17,BUY,7000,MARKETABLE_LIMIT,7.268999999999999,FILLED,OPEN
ORD-6F2CAF6DBAA156F0849E,DEC-B529BC23EB375358D5E8,CYC-42853EDAEE68CC0433F0,2021-05-14,2021-05-17,SELL,7000,MARKETABLE_LIMIT,7.338000000000001,FILLED,11:30_CLOSE
ORD-AA9DC1819DA5E8DFAE2A,DEC-8FFA1D3A3E71CE266932,CYC-8FD3D7BA8057223529BB,2021-05-25,2021-05-26,BUY,7000,MARKETABLE_LIMIT,7.363,FILLED,OPEN
ORD-D8C14CC42DC0FA8B29EE,DEC-8FFA1D3A3E71CE266932,CYC-8FD3D7BA8057223529BB,2021-05-25,2021-05-26,SELL,7000,MARKETABLE_LIMIT,7.35,FILLED,11:30_CLOSE
ORD-FF4173B062B242D7F8A6,DEC-386372A856C07712E8F6,CYC-542A49704EDEC448F773,2021-06-10,2021-06-11,BUY,6800,MARKETABLE_LIMIT,7.543000000000003,FILLED,OPEN
ORD-369D548DA8D6F447D556,DEC-386372A856C07712E8F6,CYC-542A49704EDEC448F773,2021-06-10,2021-06-11,SELL,6800,MARKETABLE_LIMIT,7.521000000000002,FILLED,11:30_CLOSE
ORD-7D6CD3FDF790F220C5D4,DEC-D91FF24A0CCCF15FA84C,CYC-2681659B8E403DB87F1D,2021-06-18,2021-06-21,BUY,6900,MARKETABLE_LIMIT,7.428999999999999,FILLED,OPEN
ORD-A221E7B602575824775B,DEC-D91FF24A0CCCF15FA84C,CYC-2681659B8E403DB87F1D,2021-06-18,2021-06-21,SELL,6900,MARKETABLE_LIMIT,7.464999999999999,FILLED,11:30_CLOSE
ORD-ED478658C8BED057CD14,DEC-27E253E50F364DA482E3,CYC-32B74889908440CDED42,2021-06-21,2021-06-22,BUY,6800,MARKETABLE_LIMIT,7.498000000000001,FILLED,OPEN
ORD-57119B0B55C689BFC3BD,DEC-27E253E50F364DA482E3,CYC-32B74889908440CDED42,2021-06-21,2021-06-22,SELL,6800,MARKETABLE_LIMIT,7.518,FILLED,11:30_CLOSE
ORD-5FEB68274C6B8959A6E2,DEC-283CDE5651883E35D4B8,CYC-10BA93FD62AE3BC3EBFF,2021-06-25,2021-06-28,BUY,6700,MARKETABLE_LIMIT,7.613999999999999,FILLED,OPEN
ORD-220C54A38B3A3491BF29,DEC-283CDE5651883E35D4B8,CYC-10BA93FD62AE3BC3EBFF,2021-06-25,2021-06-28,SELL,6700,MARKETABLE_LIMIT,7.617999999999999,FILLED,11:30_CLOSE
ORD-9026C77A7EC9B1D37D14,DEC-E13D44FF7A8F551D2D7B,CYC-ABF53ECB1DA0DE8FDA1B,2021-07-07,2021-07-08,BUY,6800,MARKETABLE_LIMIT,7.569,FILLED,OPEN
ORD-EFA3D9BD9D8624372D3C,DEC-E13D44FF7A8F551D2D7B,CYC-ABF53ECB1DA0DE8FDA1B,2021-07-07,2021-07-08,SELL,6800,MARKETABLE_LIMIT,7.56,FILLED,11:30_CLOSE
ORD-9C52788B42B0297CA341,DEC-12475825EB89D6C31B88,CYC-24627BDF3E8410E0E3EC,2021-07-09,2021-07-12,BUY,6700,MARKETABLE_LIMIT,7.6530000000000005,FILLED,OPEN
ORD-70EA15832BF22CA6451E,DEC-12475825EB89D6C31B88,CYC-24627BDF3E8410E0E3EC,2021-07-09,2021-07-12,SELL,6700,MARKETABLE_LIMIT,7.738,FILLED,11:30_CLOSE
ORD-6E5DF6251A1FDBD3E9A0,DEC-72EB4F2D8A37115F2F8E,CYC-8A282C1F68C99C4FFD22,2021-07-13,2021-07-14,BUY,6700,MARKETABLE_LIMIT,7.792,FILLED,OPEN
ORD-F032224401E3CD01980B,DEC-72EB4F2D8A37115F2F8E,CYC-8A282C1F68C99C4FFD22,2021-07-13,2021-07-14,SELL,6700,MARKETABLE_LIMIT,7.769,FILLED,11:30_CLOSE
ORD-03AAFEBDC9A8BE2189D0,DEC-403187638E6DB270682F,CYC-C6D92543D9FEFB5EFD64,2021-07-22,2021-07-23,BUY,6600,MARKETABLE_LIMIT,7.883,FILLED,OPEN
ORD-0DBAC65C40FBCA4E474C,DEC-403187638E6DB270682F,CYC-C6D92543D9FEFB5EFD64,2021-07-22,2021-07-23,SELL,6600,MARKETABLE_LIMIT,7.841,FILLED,11:30_CLOSE
ORD-614FED26C285D6C78A62,DEC-C16092AF08E63E5305B5,CYC-13745E5378F7CBC34A10,2021-07-28,2021-07-29,BUY,6800,MARKETABLE_LIMIT,7.55,FILLED,OPEN
ORD-FC3CF3A8F0757B72E6B0,DEC-C16092AF08E63E5305B5,CYC-13745E5378F7CBC34A10,2021-07-28,2021-07-29,SELL,6800,MARKETABLE_LIMIT,7.552,FILLED,11:30_CLOSE
ORD-7CEA277D51D7C48D23FF,DEC-6D263B3FA0C24083E618,CYC-C9E69730B39332DE5656,2021-08-04,2021-08-05,BUY,6600,MARKETABLE_LIMIT,7.747,FILLED,OPEN
ORD-8E5588B6FB08325213BB,DEC-6D263B3FA0C24083E618,CYC-C9E69730B39332DE5656,2021-08-04,2021-08-05,SELL,6600,MARKETABLE_LIMIT,7.775,FILLED,11:30_CLOSE
ORD-5843E78FC60B3593491C,DEC-69903505B33FBA80FB1E,CYC-390B0CB9A8BCDBD3E604,2021-08-09,2021-08-10,BUY,6600,MARKETABLE_LIMIT,7.812,FILLED,OPEN
ORD-6EBE55B777AA9EF72475,DEC-69903505B33FBA80FB1E,CYC-390B0CB9A8BCDBD3E604,2021-08-09,2021-08-10,SELL,6600,MARKETABLE_LIMIT,7.841,FILLED,11:30_CLOSE
ORD-7F1520BF21788BC45E9A,DEC-BED1B5AF60C6F5424545,CYC-6915A3DFCCF6A40923E8,2021-08-11,2021-08-12,BUY,6500,MARKETABLE_LIMIT,7.921,FILLED,OPEN
ORD-FE7C9C0E3CFCEB055F15,DEC-BED1B5AF60C6F5424545,CYC-6915A3DFCCF6A40923E8,2021-08-11,2021-08-12,SELL,6500,MARKETABLE_LIMIT,7.961,FILLED,11:30_CLOSE
ORD-6E93522C1F9346705302,DEC-C71BF64607B22560739B,CYC-6C84BA6774E3CDDB3140,2021-08-18,2021-08-19,BUY,6700,MARKETABLE_LIMIT,7.772,FILLED,OPEN
ORD-92E70BA2AF2830EC2CDE,DEC-C71BF64607B22560739B,CYC-6C84BA6774E3CDDB3140,2021-08-18,2021-08-19,SELL,6700,MARKETABLE_LIMIT,7.775,FILLED,11:30_CLOSE
ORD-D436458EC0E0BBDEC35F,DEC-C94F43E60C1724444EDF,CYC-7C9FAFE920B55AA0EF27,2021-08-23,2021-08-24,BUY,6600,MARKETABLE_LIMIT,7.909999999999999,FILLED,OPEN
ORD-04B178C9695F37A5662A,DEC-C94F43E60C1724444EDF,CYC-7C9FAFE920B55AA0EF27,2021-08-23,2021-08-24,SELL,6600,MARKETABLE_LIMIT,7.954,FILLED,11:30_CLOSE
ORD-3FF87AC4A734415961D0,DEC-0D1B134C272BFBD5CA79,CYC-4380E751BD2AF47A2984,2021-08-25,2021-08-26,BUY,6500,MARKETABLE_LIMIT,8.024000000000001,FILLED,OPEN
