trade_date,opening_return,opening_efficiency,late_return,late_efficiency,opening_signal_time,late_signal_time,OPENING_SELLOFF_REVERSAL_score,OPENING_BREAKOUT_CONTINUATION_score,LATE_SELLOFF_REVERSAL_score,LATE_BREAKOUT_CONTINUATION_score,OPENING_SELLOFF_REVERSAL_threshold,OPENING_SELLOFF_REVERSAL_raw_event,OPENING_BREAKOUT_CONTINUATION_threshold,OPENING_BREAKOUT_CONTINUATION_raw_event,LATE_SELLOFF_REVERSAL_threshold,LATE_SELLOFF_REVERSAL_raw_event,LATE_BREAKOUT_CONTINUATION_threshold,LATE_BREAKOUT_CONTINUATION_raw_event
2020-11-16,-0.03576158940397356,0.48018927231607916,-0.004807692307692291,0.24078979108019646,2020-11-16 10:30:00,2020-11-16 15:00:00,0.03576158940397356,0.0,0.004807692307692291,0.0,,False,,False,,False,,False
2020-11-17,-0.010351966873706098,0.2524118790013305,0.00419580419580412,0.1581153213279182,2020-11-17 10:30:00,2020-11-17 15:00:00,0.010351966873706098,0.0,0.0,0.0006634209286485959,,False,,False,,False,,False
2020-11-18,-0.0013956734124215275,0.04009016496995679,-0.0007012622720896644,0.034429378146776525,2020-11-18 10:30:00,2020-11-18 15:00:00,0.0013956734124215275,0.0,0.0007012622720896644,0.0,,False,,False,,False,,False
2020-11-19,0.004222378606615118,0.1112454691103367,0.0006958942240777866,0.039974350906897826,2020-11-19 10:30:00,2020-11-19 15:00:00,0.0,0.0004697204888543486,0.0,2.7817919907368827e-05,,False,,False,,False,,False
2020-11-20,-0.002087682672233915,0.05456386963231209,0.0,0.0,2020-11-20 10:30:00,2020-11-20 15:00:00,0.002087682672233915,0.0,-0.0,0.0,,False,,False,,False,,False
2020-11-23,-0.009071877180739762,0.24351063662185396,0.0,0.0,2020-11-23 10:30:00,2020-11-23 15:00:00,0.009071877180739762,0.0,-0.0,0.0,,False,,False,,False,,False
2020-11-24,0.0007052186177716191,0.020388741134465357,0.0,0.0,2020-11-24 10:30:00,2020-11-24 15:00:00,0.0,1.4378519840951012e-05,-0.0,0.0,,False,,False,,False,,False
2020-11-25,-0.011988716502115637,0.3757245644909895,-0.0007163323782234388,0.03028655348711658,2020-11-25 10:30:00,2020-11-25 15:00:00,0.011988716502115637,0.0,0.0007163323782234388,0.0,,False,,False,,False,,False
2020-11-26,-0.003589375448671994,0.08212968641444035,-0.0007183908045975684,0.03220422041803762,2020-11-26 10:30:00,2020-11-26 15:00:00,0.003589375448671994,0.0,0.0007183908045975684,0.0,,False,,False,,False,,False
2020-11-27,0.006484149855907839,0.17715468507223145,0.005043227665706196,0.24176852966176524,2020-11-27 10:30:00,2020-11-27 15:00:00,0.0,0.0011486975256845082,0.0,0.0012192937374873234,,False,,False,,False,,False
2020-11-30,0.0014326647564470996,0.03443314399071071,-0.0042949176807444145,0.1760911288903966,2020-11-30 10:30:00,2020-11-30 15:00:00,0.0,4.9331151849159466e-05,0.0042949176807444145,0.0,,False,,False,,False,,False
2020-12-01,0.008626887131560013,0.21518587859530391,0.001421464108031234,0.0667377180059638,2020-12-01 10:30:00,2020-12-01 15:00:00,0.0,0.0018563842869472626,0.0,9.486527079738736e-05,,False,,False,,False,,False
2020-12-02,0.0,0.0,-0.0007067137809187996,0.04347156423696864,2020-12-02 10:30:00,2020-12-02 15:00:00,-0.0,0.0,0.0007067137809187996,0.0,,False,,False,,False,,False
2020-12-03,-0.0014144271570014633,0.03688397905345337,0.0021246458923513956,0.09690898939329816,2020-12-03 10:30:00,2020-12-03 15:00:00,0.0014144271570014633,0.0,0.0,0.0002058972862463959,,False,,False,,False,,False
2020-12-04,-0.004950495049504844,0.13163624264008772,-0.0007092198581559739,0.030264584120261555,2020-12-04 10:30:00,2020-12-04 15:00:00,0.004950495049504844,0.0,0.0007092198581559739,0.0,,False,,False,,False,,False
2020-12-07,0.004964539007092261,0.14950215152411153,-0.0035360678925034916,0.14257682461000348,2020-12-07 10:30:00,2020-12-07 15:00:00,0.0,0.0007422092628856695,0.0035360678925034916,0.0,,False,,False,,False,,False
2020-12-08,-0.0021246458923511735,0.06956158724594932,-0.002132196162046962,0.1033441783536754,2020-12-08 10:30:00,2020-12-08 15:00:00,0.0021246458923511735,0.0,0.002132196162046962,0.0,,False,,False,,False,,False
2020-12-09,-0.007834757834757733,0.2238902931024877,-0.00435097897026826,0.16654520573157855,2020-12-09 10:30:00,2020-12-09 15:00:00,0.007834757834757733,0.0,0.00435097897026826,0.0,,False,,False,,False,,False
2020-12-10,-0.0007283321194463399,0.01490485498964413,-0.0007304601899196239,0.034464488473860015,2020-12-10 10:30:00,2020-12-10 15:00:00,0.0007283321194463399,0.0,0.0007304601899196239,0.0,,False,,False,,False,,False
