cell_id,late_window_minutes,lookback_sessions,quantile,raw_events,independent_events,rolling_60_median,rolling_60_p10,stress_mean_return,stress_profit_factor,positive_years,recent_episodes,recent_stress_mean_return,checks,evidence
W030_L060_Q70,30,60,0.7,418,317,15.0,11.0,0.0007417246173571185,1.104707060607043,3,58,0.002301643659025094,"{""density_median"": true, ""density_p10"": true, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W030_L060_Q75,30,60,0.75,353,279,13.0,10.0,0.00157736428929265,1.2263140363866025,4,54,0.0026966187202482218,"{""density_median"": true, ""density_p10"": true, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",VIABLE
W030_L060_Q80,30,60,0.8,281,231,11.0,7.0,0.001203257029278646,1.1702256453200832,5,44,0.0012780556653789416,"{""density_median"": false, ""density_p10"": false, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W030_L120_Q70,30,120,0.7,404,315,15.0,11.0,0.0006474383318203853,1.0878322605765678,3,60,2.347243406909209e-05,"{""density_median"": true, ""density_p10"": true, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W030_L120_Q75,30,120,0.75,341,275,13.0,9.0,0.0012618950399275932,1.1774406417944157,4,55,0.0016159673471162468,"{""density_median"": true, ""density_p10"": true, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",VIABLE
W030_L120_Q80,30,120,0.8,267,222,11.0,6.0,0.0011680971127275247,1.165004673550177,3,47,0.0029090276801359265,"{""density_median"": false, ""density_p10"": false, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W030_L240_Q70,30,240,0.7,368,285,15.0,7.0,0.0005348304217853576,1.0686256700318788,4,61,0.00024672645719368586,"{""density_median"": true, ""density_p10"": false, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W030_L240_Q75,30,240,0.75,312,256,13.0,6.0,0.0014477077846298439,1.2011473169585223,4,59,0.0017293347646741878,"{""density_median"": true, ""density_p10"": false, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W030_L240_Q80,30,240,0.8,256,215,11.0,3.0,0.0012164277002443974,1.1648083803007003,4,48,0.001279103385894963,"{""density_median"": false, ""density_p10"": false, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W060_L060_Q70,60,60,0.7,397,312,15.0,12.0,0.0006550405509328746,1.0921819288284924,3,60,0.00022966343395873593,"{""density_median"": true, ""density_p10"": true, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W060_L060_Q75,60,60,0.75,339,272,13.0,9.0,0.0015189746768914597,1.2117366043851465,4,54,0.002816286853735312,"{""density_median"": true, ""density_p10"": true, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",VIABLE
W060_L060_Q80,60,60,0.8,277,227,11.0,7.0,0.002204425879811404,1.3067580994157124,4,48,0.005218743017254589,"{""density_median"": false, ""density_p10"": false, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W060_L120_Q70,60,120,0.7,405,314,15.0,11.0,0.0006815341970731424,1.0948311127780912,3,66,0.00014890707333964695,"{""density_median"": true, ""density_p10"": true, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W060_L120_Q75,60,120,0.75,327,263,12.0,8.0,0.0021427693448045214,1.3065876684339253,5,61,0.00375198049708096,"{""density_median"": true, ""density_p10"": true, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",VIABLE
W060_L120_Q80,60,120,0.8,268,222,10.0,6.0,0.002081659296458371,1.2747322665442131,4,52,0.005390321140206039,"{""density_median"": false, ""density_p10"": false, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W060_L240_Q70,60,240,0.7,385,295,15.0,7.0,0.0005793295552233245,1.0769074527259166,3,70,8.390180140705868e-05,"{""density_median"": true, ""density_p10"": false, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W060_L240_Q75,60,240,0.75,310,248,13.0,5.0,0.001739543069880017,1.2358326229358356,5,59,0.0038246812634881128,"{""density_median"": true, ""density_p10"": false, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W060_L240_Q80,60,240,0.8,255,209,11.0,3.0,0.0016190439653251004,1.208819996888971,4,53,0.004463129601720725,"{""density_median"": false, ""density_p10"": false, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W090_L060_Q70,90,60,0.7,393,308,14.0,12.0,-0.0008436084747676585,0.893579407230849,3,63,-0.0045408903080854145,"{""density_median"": true, ""density_p10"": true, ""positive_years"": false, ""profit_factor"": false, ""recent_mean"": false, ""stress_mean"": false}",CELL_FAIL
W090_L060_Q75,90,60,0.75,334,268,13.0,9.0,0.0004890228928514891,1.066657493850089,3,54,-0.0015668427531995073,"{""density_median"": true, ""density_p10"": true, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": false, ""stress_mean"": true}",CELL_FAIL
W090_L060_Q80,90,60,0.8,269,223,11.0,6.0,0.000507257357423619,1.0651859532716166,3,50,-0.0005386222713188671,"{""density_median"": false, ""density_p10"": false, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": false, ""stress_mean"": true}",CELL_FAIL
W090_L120_Q70,90,120,0.7,388,302,15.0,10.0,-0.00016374422054196426,0.9793928303090585,3,68,-0.0024114802815230797,"{""density_median"": true, ""density_p10"": true, ""positive_years"": false, ""profit_factor"": false, ""recent_mean"": false, ""stress_mean"": false}",CELL_FAIL
W090_L120_Q75,90,120,0.75,332,265,13.0,8.0,-0.0002318479729663093,0.9710694713971018,2,61,-0.0023280708288599032,"{""density_median"": true, ""density_p10"": true, ""positive_years"": false, ""profit_factor"": false, ""recent_mean"": false, ""stress_mean"": false}",CELL_FAIL
W090_L120_Q80,90,120,0.8,283,230,11.0,6.0,0.00014707235567271908,1.0174236323742394,3,58,-0.0008200962390170686,"{""density_median"": false, ""density_p10"": false, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": false, ""stress_mean"": true}",CELL_FAIL
W090_L240_Q70,90,240,0.7,377,290,15.0,7.0,-8.63839459125862e-06,0.998919199374923,3,68,-0.0011432960642360948,"{""density_median"": true, ""density_p10"": false, ""positive_years"": false, ""profit_factor"": false, ""recent_mean"": false, ""stress_mean"": false}",CELL_FAIL
W090_L240_Q75,90,240,0.75,310,248,13.0,5.0,0.0007569308781818353,1.097541254042596,4,59,0.00018802682180035684,"{""density_median"": true, ""density_p10"": false, ""positive_years"": true, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
W090_L240_Q80,90,240,0.8,259,213,11.0,3.0,0.0007654008583268036,1.0943496291787684,3,56,0.00044534103777860157,"{""density_median"": false, ""density_p10"": false, ""positive_years"": false, ""profit_factor"": true, ""recent_mean"": true, ""stress_mean"": true}",CELL_FAIL
