mechanism_id,entry_year,size,mean
LATE_PATH_SELLING,2021,26,0.0026767179686898158
LATE_PATH_SELLING,2022,51,-0.00014534796872566223
LATE_PATH_SELLING,2023,45,-0.003228942768180892
LATE_PATH_SELLING,2024,57,0.00608003299413629
LATE_PATH_SELLING,2025,44,0.0011475494348912015
LATE_PATH_SELLING,2026,39,0.005310834548489616
CLOSE_VWAP_DISLOCATION,2021,30,-0.0015116798153652449
CLOSE_VWAP_DISLOCATION,2022,55,-0.002193236358836241
CLOSE_VWAP_DISLOCATION,2023,49,0.0016069684366212958
CLOSE_VWAP_DISLOCATION,2024,54,0.0048669875825674384
CLOSE_VWAP_DISLOCATION,2025,47,0.0030229128039041815
CLOSE_VWAP_DISLOCATION,2026,37,9.091303281031329e-05
LATE_VOLUME_PRESSURE,2021,27,0.0017340626557663128
LATE_VOLUME_PRESSURE,2022,55,0.0011895735914549772
LATE_VOLUME_PRESSURE,2023,47,-0.0014020698586365897
LATE_VOLUME_PRESSURE,2024,56,0.004661978337641121
LATE_VOLUME_PRESSURE,2025,44,0.0019648445508261784
LATE_VOLUME_PRESSURE,2026,37,0.0022161654856861653
LATE_ACCELERATION,2021,29,-0.00036228950908065536
LATE_ACCELERATION,2022,50,-0.00041768731000639157
LATE_ACCELERATION,2023,48,-0.003098026356286932
LATE_ACCELERATION,2024,52,0.0043496842865341865
LATE_ACCELERATION,2025,46,-3.492030807656293e-05
LATE_ACCELERATION,2026,34,-0.0029765980777816474
