mechanism_id,excluded_year,remaining_episodes,mean_return
LATE_PATH_SELLING,2021,236,0.0019172879884635531
LATE_PATH_SELLING,2022,211,0.0025612063750395948
LATE_PATH_SELLING,2023,217,0.003240794589747717
LATE_PATH_SELLING,2024,205,0.0014565550480281871
LATE_PATH_SELLING,2025,218,0.0016357267003375437
LATE_PATH_SELLING,2026,223,0.0014164409215812548
LATE_VOLUME_PRESSURE,2021,239,0.0021744788718445866
LATE_VOLUME_PRESSURE,2022,211,0.0021743170576513523
LATE_VOLUME_PRESSURE,2023,219,0.0030497667103457377
LATE_VOLUME_PRESSURE,2024,210,0.0018690007604570719
LATE_VOLUME_PRESSURE,2025,222,0.00144431127945201
LATE_VOLUME_PRESSURE,2026,229,0.0021553774959304035
CLOSE_VWAP_DISLOCATION,2021,242,0.0012081214124909816
CLOSE_VWAP_DISLOCATION,2022,217,0.0020654372063756924
CLOSE_VWAP_DISLOCATION,2023,223,0.001120953044943053
CLOSE_VWAP_DISLOCATION,2024,218,0.0004695380653591658
CLOSE_VWAP_DISLOCATION,2025,225,0.00028919894026738804
CLOSE_VWAP_DISLOCATION,2026,235,0.0011586235333195406
