trial_id,source,episodes
EX04:LATE_BREAKOUT_CONTINUATION,experiments/S004/20260912_S004_EX04/artifacts/episodes.csv.gz,264
EX04:LATE_SELLOFF_REVERSAL,experiments/S004/20260912_S004_EX04/artifacts/episodes.csv.gz,262
EX04:OPENING_BREAKOUT_CONTINUATION,experiments/S004/20260912_S004_EX04/artifacts/episodes.csv.gz,254
EX04:OPENING_SELLOFF_REVERSAL,experiments/S004/20260912_S004_EX04/artifacts/episodes.csv.gz,264
EX07:W030_L060_Q70,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,316
EX07:W030_L060_Q75,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,278
EX07:W030_L060_Q80,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,231
EX07:W030_L120_Q70,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,314
EX07:W030_L120_Q75,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,274
EX07:W030_L120_Q80,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,222
EX07:W030_L240_Q70,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,284
EX07:W030_L240_Q75,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,255
EX07:W030_L240_Q80,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,214
EX07:W060_L060_Q70,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,311
EX07:W060_L060_Q75,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,271
EX07:W060_L060_Q80,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,226
EX07:W060_L120_Q70,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,313
EX07:W060_L120_Q75,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,262
EX07:W060_L120_Q80,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,221
EX07:W060_L240_Q70,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,294
EX07:W060_L240_Q75,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,247
EX07:W060_L240_Q80,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,208
EX07:W090_L060_Q70,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,308
EX07:W090_L060_Q75,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,268
EX07:W090_L060_Q80,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,223
EX07:W090_L120_Q70,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,302
EX07:W090_L120_Q75,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,265
EX07:W090_L120_Q80,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,230
EX07:W090_L240_Q70,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,289
EX07:W090_L240_Q75,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,248
EX07:W090_L240_Q80,experiments/S004/20260912_S004_EX07/artifacts/platform_episodes.csv.gz,213
EX09:CLOSE_VWAP_DISLOCATION,experiments/S004/20260912_S004_EX09/artifacts/proxy_episodes.csv.gz,272
EX09:LATE_ACCELERATION,experiments/S004/20260912_S004_EX09/artifacts/proxy_episodes.csv.gz,259
EX09:LATE_PATH_SELLING,experiments/S004/20260912_S004_EX09/artifacts/proxy_episodes.csv.gz,262
EX09:LATE_VOLUME_PRESSURE,experiments/S004/20260912_S004_EX09/artifacts/proxy_episodes.csv.gz,266
S004-C001,experiments/S004/20260912_S004_EX12/artifacts/candidate_episodes.csv.gz,262
