symbol,dimension,bucket,events,mean_stress_return
510500.SH,trend_state,UP,123,0.0008685121652514974
510500.SH,trend_state,DOWN,134,-0.00017124999516470124
588080.SH,trend_state,UP,117,0.003843130603964945
588080.SH,trend_state,DOWN,145,0.0008803853841814288
510500.SH,volatility_state,HIGH,155,0.0013118914584931615
510500.SH,volatility_state,LOW,102,-0.0011712125401232925
588080.SH,volatility_state,HIGH,160,0.004510475267508694
588080.SH,volatility_state,LOW,100,-0.001640630089376327
510500.SH,vote_count_label,THREE,156,0.0014341224045593503
510500.SH,vote_count_label,TWO,101,-0.001384590080568262
588080.SH,vote_count_label,THREE,175,8.140816516777783e-05
588080.SH,vote_count_label,TWO,87,0.006471904970871778
