ts_code,trade_date,close,pre_close,pct_chg,vol,amount
688001.SH,2026-09-02,49.66,51.6,-3.7597,54685.96,273261.662
688001.SH,2026-09-01,51.6,54.89,-5.9938,70973.64,368675.443
688001.SH,2026-08-31,54.89,52.33,4.892,88024.13,469976.696
688001.SH,2026-08-28,52.33,55.03,-4.9064,66716.88,358151.73
688001.SH,2026-08-27,55.03,50.68,8.5833,89582.44,480989.154
688001.SH,2026-08-26,50.68,51.29,-1.1893,54104.62,275087.018
688001.SH,2026-08-25,51.29,51.28,0.0195,62764.65,317165.757
688001.SH,2026-08-24,51.28,52.99,-3.227,70824.92,363847.271
688001.SH,2026-08-21,52.99,53.32,-0.6189,72280.1,386751.01
688001.SH,2026-08-20,53.32,52.05,2.44,103593.66,553261.353
688001.SH,2026-08-19,52.05,59.45,-12.4474,127013.66,689121.54
688001.SH,2026-08-18,59.45,56.08,6.0093,175509.91,1024413.68
688001.SH,2026-08-17,56.08,50.39,11.2919,131606.91,715435.932
688001.SH,2026-08-14,50.39,49.0,2.8367,59701.31,298030.477
688001.SH,2026-08-13,49.0,50.36,-2.7006,84860.81,432033.025
688001.SH,2026-08-12,50.36,49.26,2.233,66681.9,335153.199
688001.SH,2026-08-11,49.26,49.36,-0.2026,61745.62,304416.852
688001.SH,2026-08-10,49.36,51.39,-3.9502,108394.11,528251.501
688001.SH,2026-08-07,51.39,49.12,4.6213,99468.99,503698.902
688001.SH,2026-08-06,49.12,48.14,2.0357,85936.72,418832.183
688001.SH,2026-08-05,48.14,45.29,6.2928,93892.74,440568.979
688001.SH,2026-08-04,45.29,42.0,7.8333,77037.73,341462.231
688001.SH,2026-08-03,42.0,43.18,-2.7327,103572.42,435428.075
688001.SH,2026-07-31,43.18,42.0,2.8095,98711.64,449807.451
688001.SH,2026-07-30,42.0,46.16,-9.0121,107011.63,459892.905
688001.SH,2026-07-29,46.16,47.0,-1.7872,107004.52,482548.554
688001.SH,2026-07-28,47.0,51.5,-8.7379,74994.67,366236.491
688001.SH,2026-07-27,51.5,49.77,3.476,69812.86,351700.034
688001.SH,2026-07-24,49.77,50.32,-1.093,90037.76,450882.274
688001.SH,2026-07-23,50.32,52.81,-4.715,95978.87,496518.896
688001.SH,2026-07-22,52.81,57.36,-7.9324,137464.65,759601.607
688001.SH,2026-07-21,57.36,47.8,20.0,190924.75,982788.644
688001.SH,2026-07-20,47.8,54.36,-12.0677,142346.71,703159.881
688001.SH,2026-07-17,54.36,60.82,-10.6215,122097.14,687371.187
688001.SH,2026-07-16,60.82,62.99,-3.445,106332.27,659404.323
688001.SH,2026-07-15,62.99,62.06,1.4985,83729.31,530162.673
688001.SH,2026-07-14,62.06,58.9,5.365,93924.37,572191.215
688001.SH,2026-07-13,58.9,64.38,-8.512,97541.37,591448.845
688001.SH,2026-07-10,64.38,68.11,-5.4764,89069.8,600309.898
688001.SH,2026-07-09,68.11,65.11,4.6076,78230.82,517839.589
688001.SH,2026-07-08,65.16,66.67,-2.2649,67419.77,446668.075
688001.SH,2026-07-07,66.67,68.0,-1.9559,69842.13,466665.091
688001.SH,2026-07-06,68.0,72.58,-6.3103,100328.35,699162.594
688001.SH,2026-07-03,72.58,73.3,-0.9823,89136.97,658445.063
688001.SH,2026-07-02,73.3,79.2,-7.4495,104149.53,795008.957
688001.SH,2026-07-01,79.2,85.7,-7.5846,121386.77,988077.983
688001.SH,2026-06-30,85.7,82.0,4.5122,83473.2,707162.432
688001.SH,2026-06-29,82.0,87.66,-6.4568,129069.6,1088570.281
688001.SH,2026-06-26,87.66,92.54,-5.2734,101033.31,915053.038
688001.SH,2026-06-25,92.54,89.99,2.8336,133012.98,1200413.109
688001.SH,2026-06-24,89.99,81.98,9.7707,160118.54,1363051.993
688001.SH,2026-06-23,81.98,79.5,3.1195,163602.31,1348515.056
688001.SH,2026-06-22,79.5,81.09,-1.9608,170012.96,1341060.568
688001.SH,2026-06-18,81.09,73.69,10.0421,187303.11,1454825.934
688001.SH,2026-06-17,73.69,70.64,4.3177,160272.76,1153124.739
688001.SH,2026-06-16,70.64,61.95,14.0274,170325.82,1147350.67
688001.SH,2026-06-15,61.95,58.74,5.4648,102420.11,626538.075
688001.SH,2026-06-12,58.74,60.0,-2.1,86343.58,518480.684
