symbol,year,trades,stress_mean
588080.SH,2021,28,0.0014271957543671196
588080.SH,2022,46,-0.0006331192481472587
588080.SH,2023,49,-8.90198942306092e-05
588080.SH,2024,53,-0.0023101066190937556
588080.SH,2025,50,-0.0006959481406065868
588080.SH,2026,40,0.0030978562263848665
510500.SH,2021,39,-0.00073380838328726
510500.SH,2022,58,-0.0014218512087967256
510500.SH,2023,63,-0.0009890198828390205
510500.SH,2024,53,-0.002381948431472065
510500.SH,2025,61,0.0011685342521735376
510500.SH,2026,29,0.0027056143250576417
