path_id,year,events
POS_Q60,2020,0
POS_Q60,2021,62
POS_Q60,2022,98
POS_Q60,2023,90
POS_Q60,2024,90
POS_Q60,2025,98
POS_Q60,2026,77
NEG_Q60,2020,0
NEG_Q60,2021,56
NEG_Q60,2022,96
NEG_Q60,2023,91
NEG_Q60,2024,94
NEG_Q60,2025,80
NEG_Q60,2026,57
POS_Q70,2020,0
POS_Q70,2021,49
POS_Q70,2022,68
POS_Q70,2023,65
POS_Q70,2024,69
POS_Q70,2025,75
POS_Q70,2026,55
NEG_Q70,2020,0
NEG_Q70,2021,37
NEG_Q70,2022,74
NEG_Q70,2023,64
NEG_Q70,2024,74
NEG_Q70,2025,62
NEG_Q70,2026,54
POS_Q80,2020,0
POS_Q80,2021,33
POS_Q80,2022,48
POS_Q80,2023,45
POS_Q80,2024,47
POS_Q80,2025,50
POS_Q80,2026,41
NEG_Q80,2020,0
NEG_Q80,2021,25
NEG_Q80,2022,49
NEG_Q80,2023,46
NEG_Q80,2024,56
NEG_Q80,2025,42
NEG_Q80,2026,42
