path_id,family,quantile,eligible_sessions,events,rolling60_median,rolling60_p10,rolling60_minimum,rolling60_maximum,density_eligible
ACCUM_Q55,ACCUM,0.55,1247,370,18.0,11.0,6,29,True
CHASE_Q55,CHASE,0.55,1247,175,8.0,5.0,3,17,False
DELEV_Q55,DELEV,0.55,1247,195,9.0,5.0,3,20,False
ACCUM_Q60,ACCUM,0.6,1247,335,16.0,10.0,6,28,True
CHASE_Q60,CHASE,0.6,1247,156,7.0,3.0,2,16,False
DELEV_Q60,DELEV,0.6,1247,169,8.0,4.0,1,18,False
ACCUM_Q65,ACCUM,0.65,1247,297,14.0,8.0,4,26,True
CHASE_Q65,CHASE,0.65,1247,139,6.0,3.0,0,16,False
DELEV_Q65,DELEV,0.65,1247,141,6.0,3.0,1,17,False
ACCUM_Q70,ACCUM,0.7,1247,261,13.0,7.0,4,21,False
CHASE_Q70,CHASE,0.7,1247,118,6.0,2.0,0,14,False
DELEV_Q70,DELEV,0.7,1247,116,5.0,2.0,1,15,False
