event_date,entry_date,exit_date,entry_price,exit_price,net_return
2021-06-03,2021-06-04,2021-06-07,1.441,1.466,0.017104928671570985
2021-06-11,2021-06-15,2021-06-16,1.469,1.476,0.004524031656705008
2021-06-23,2021-06-24,2021-06-25,1.554,1.537,-0.011176856975361305
2021-07-01,2021-07-02,2021-07-05,1.604,1.57,-0.0214318920133576
2021-07-14,2021-07-15,2021-07-16,1.589,1.607,0.011085189601036438
2021-07-16,2021-07-19,2021-07-20,1.546,1.547,0.00040670410624454867
2021-07-21,2021-07-22,2021-07-23,1.6,1.6210000000000002,0.012881879174499122
2021-07-27,2021-07-28,2021-07-29,1.568,1.588,0.012512069980173957
2021-08-03,2021-08-04,2021-08-05,1.598,1.641,0.026662207293572937
2021-08-11,2021-08-12,2021-08-13,1.615,1.6140000000000003,-0.0008590176609144518
2021-08-17,2021-08-18,2021-08-19,1.552,1.556,0.0023367299016900933
2021-09-06,2021-09-07,2021-09-08,1.466,1.473,0.004533780639365714
2021-09-14,2021-09-15,2021-09-16,1.435,1.42,-0.010690424466137216
2021-09-23,2021-09-24,2021-09-27,1.399,1.42,0.014767148599780455
2021-09-28,2021-09-29,2021-09-30,1.384,1.39,0.0040942485745640855
2021-10-11,2021-10-12,2021-10-13,1.386,1.358,-0.020437143502375354
2021-10-14,2021-10-15,2021-10-18,1.387,1.398,0.00768891150509643
2021-11-05,2021-11-08,2021-11-09,1.431,1.436,0.003253250420571341
2021-11-16,2021-11-17,2021-11-18,1.456,1.47,0.009373105996511422
2021-11-18,2021-11-19,2021-11-22,1.456,1.48,0.016239589710773217
2021-11-24,2021-11-25,2021-11-26,1.507,1.501,-0.004220435817111512
2021-12-06,2021-12-07,2021-12-08,1.449,1.438,-0.00782959184994425
2021-12-13,2021-12-14,2021-12-15,1.471,1.477,0.0038379079078829648
2021-12-15,2021-12-16,2021-12-17,1.463,1.464,0.0004433917690642719
2021-12-22,2021-12-23,2021-12-24,1.414,1.415,0.0004670726641515799
2022-01-17,2022-01-18,2022-01-19,1.372,1.379,0.0048608452699958615
2022-02-11,2022-02-14,2022-02-15,1.2,1.206,0.004758828940527149
2022-02-16,2022-02-17,2022-02-18,1.231,1.236,0.0038207925203319615
2022-03-17,2022-03-18,2022-03-21,1.169,1.175,0.004891389081214559
2022-03-22,2022-03-23,2022-03-24,1.172,1.17,-0.001946046337920504
2022-03-25,2022-03-28,2022-03-29,1.13,1.126,-0.0037789447567174728
2022-04-13,2022-04-14,2022-04-15,1.001,0.996,-0.00523377754110077
2022-04-20,2022-04-21,2022-04-22,0.998,0.983,-0.015266424542080936
2022-05-05,2022-05-06,2022-05-09,0.955,0.9659999999999999,0.011275589337656378
2022-05-11,2022-05-12,2022-05-13,1.021,1.047,0.025219148041118356
2022-06-22,2022-06-23,2022-06-24,1.095,1.117,0.019846531658210154
2022-06-27,2022-06-28,2022-06-29,1.136,1.144,0.0068005923796186085
2022-06-29,2022-06-30,2022-07-01,1.125,1.137,0.010424135770374265
2022-07-12,2022-07-13,2022-07-14,1.085,1.082,-0.003004284647132649
2022-07-15,2022-07-18,2022-07-19,1.106,1.101,-0.004759682002716703
2022-08-10,2022-08-11,2022-08-12,1.197,1.21,0.010617907137693283
2022-08-19,2022-08-22,2022-08-23,1.137,1.14,0.0023979180545825596
2022-08-26,2022-08-29,2022-08-30,1.069,1.088,0.017529383845313884
2022-09-26,2022-09-27,2022-09-28,0.993,1.0,0.0068076825745664316
2022-09-28,2022-09-29,2022-09-30,0.988,0.988,-0.0002399712034556467
2022-10-11,2022-10-12,2022-10-13,0.919,0.95,0.03348425174833203
2022-10-13,2022-10-14,2022-10-17,0.967,0.97,0.0028616628052202664
2022-10-19,2022-10-20,2022-10-21,0.9709999999999999,0.993,0.022411646338793778
2022-10-27,2022-10-28,2022-10-31,1.026,1.025,-0.0012143961827896232
2022-11-02,2022-11-03,2022-11-04,1.061,1.079,0.016721084892998395
2022-11-11,2022-11-14,2022-11-15,1.048,1.054,0.005483845755303252
2022-11-18,2022-11-21,2022-11-22,1.05,1.061,0.010233705288698713
2022-12-19,2022-12-20,2022-12-21,0.979,0.9779999999999999,-0.001261176544412379
2023-01-30,2023-01-31,2023-02-01,1.053,1.042,-0.010683808161443986
2023-02-06,2023-02-07,2023-02-08,1.047,1.045,-0.0021497324810039187
2023-02-16,2023-02-17,2023-02-20,1.028,1.01,-0.017745496999504007
2023-03-02,2023-03-03,2023-03-06,1.018,1.024,0.005652524054677199
2023-03-06,2023-03-07,2023-03-08,1.03,1.012,-0.01771150568727864
2023-03-10,2023-03-13,2023-03-14,1.016,1.019,0.0027120761256680392
2023-03-27,2023-03-28,2023-03-29,1.076,1.06,-0.015106291334259225
2023-03-29,2023-03-30,2023-03-31,1.085,1.087,0.0016029044256624658
2023-04-13,2023-04-14,2023-04-17,1.132,1.159,0.023605895207769567
2023-04-19,2023-04-20,2023-04-21,1.156,1.188,0.02743504689471865
2023-05-23,2023-05-24,2023-05-25,1.038,1.035,-0.0031294510554688015
2023-06-01,2023-06-02,2023-06-05,1.08,1.084,0.0034628437180133087
2023-07-14,2023-07-17,2023-07-18,1.015,1.01,-0.005164897453684869
2023-08-11,2023-08-14,2023-08-15,0.952,0.954,0.0018603649914950005
2023-08-18,2023-08-21,2023-08-22,0.9240000000000002,0.9189999999999999,-0.0056499280692379195
2023-09-11,2023-09-12,2023-09-13,0.927,0.921,-0.00671090990116785
2023-09-20,2023-09-21,2023-09-22,0.885,0.88,-0.005888332948068786
2023-09-26,2023-09-27,2023-09-28,0.896,0.903,0.0075706540215174645
2023-10-10,2023-10-11,2023-10-12,0.905,0.92,0.01633063700864179
2023-10-25,2023-10-26,2023-10-27,0.864,0.866,0.0020742881224624643
2023-11-02,2023-11-03,2023-11-06,0.883,0.903,0.022404650060339426
2023-11-21,2023-11-22,2023-11-23,0.905,0.892,-0.014601164987273263
2023-11-29,2023-11-30,2023-12-01,0.8839999999999999,0.886,0.002021929314183879
2023-12-13,2023-12-14,2023-12-15,0.888,0.88,-0.009246818309730842
