trade_date,exchange_rows,target_rows
2023-06-05,496,72
2023-06-06,496,72
2023-06-07,512,80
2023-06-08,512,80
2023-06-09,512,80
2023-06-12,512,80
2023-06-13,512,80
2023-06-14,512,80
2023-06-15,512,80
2023-06-16,512,80
2023-06-19,516,80
2023-06-20,516,80
2023-06-21,516,80
2023-06-26,516,80
2023-06-27,516,80
2023-06-28,516,80
2023-06-29,426,78
2023-06-30,426,78
2023-07-03,426,78
2023-07-04,428,78
2023-07-05,430,78
2023-07-06,430,78
2023-07-07,430,78
2023-07-10,438,86
2023-07-11,438,86
2023-07-12,438,86
2023-07-13,438,86
2023-07-14,440,86
2023-07-17,440,86
2023-07-18,440,86
2023-07-19,440,86
2023-07-20,448,86
2023-07-21,448,86
2023-07-24,448,86
2023-07-25,456,94
2023-07-26,458,94
2023-07-27,436,88
2023-07-28,436,88
2023-07-31,452,88
2023-08-01,452,88
2023-08-02,452,88
2023-08-03,452,88
2023-08-04,452,88
2023-08-07,452,88
2023-08-08,452,88
2023-08-09,452,88
2023-08-10,452,88
2023-08-11,452,88
2023-08-14,454,90
2023-08-15,466,90
2023-08-16,466,90
2023-08-17,474,98
2023-08-18,474,98
2023-08-21,474,98
2023-08-22,488,98
2023-08-23,488,98
2023-08-24,466,92
2023-08-25,468,92
2023-08-28,468,92
2023-08-29,470,92
2023-08-30,474,94
2023-08-31,478,94
2023-09-01,478,94
2023-09-04,478,94
2023-09-05,480,94
2023-09-06,480,94
2023-09-07,480,94
2023-09-08,480,94
2023-09-11,480,94
2023-09-12,480,94
2023-09-13,480,94
2023-09-14,480,94
2023-09-15,480,94
2023-09-18,480,94
2023-09-19,480,94
2023-09-20,480,94
2023-09-21,480,94
2023-09-22,488,94
2023-09-25,488,94
2023-09-26,488,94
2023-09-27,488,94
2023-09-28,442,86
2023-10-09,442,86
2023-10-10,442,86
2023-10-11,448,86
2023-10-12,448,86
2023-10-13,448,86
2023-10-16,448,86
2023-10-17,448,86
2023-10-18,448,86
2023-10-19,448,86
2023-10-20,478,86
2023-10-23,478,86
2023-10-24,494,94
2023-10-25,494,94
2023-10-26,466,90
2023-10-27,466,90
2023-10-30,470,92
2023-10-31,474,92
2023-11-01,474,92
2023-11-02,474,92
2023-11-03,474,92
2023-11-06,474,92
2023-11-07,478,92
2023-11-08,478,92
2023-11-09,478,92
2023-11-10,478,92
2023-11-13,478,92
2023-11-14,478,92
2023-11-15,482,96
2023-11-16,482,96
2023-11-17,482,96
2023-11-20,482,96
2023-11-21,482,96
2023-11-22,482,96
2023-11-23,462,92
2023-11-24,464,92
2023-11-27,536,92
2023-11-28,544,92
2023-11-29,544,92
2023-11-30,544,92
2023-12-01,544,92
2023-12-04,548,92
2023-12-05,556,92
2023-12-06,568,94
2023-12-07,568,94
2023-12-08,568,94
2023-12-11,568,94
2023-12-12,568,94
2023-12-13,568,94
2023-12-14,576,94
2023-12-15,576,94
2023-12-18,576,94
2023-12-19,576,94
2023-12-20,576,94
2023-12-21,584,94
2023-12-22,584,94
2023-12-25,584,94
2023-12-26,584,94
2023-12-27,600,94
2023-12-28,520,84
2023-12-29,528,84
2024-01-02,528,84
2024-01-03,528,84
2024-01-04,528,84
2024-01-05,528,84
2024-01-08,528,84
2024-01-09,552,92
2024-01-10,552,92
