entry_year,mechanism,trades,stress_mean,total_return
2021,BROAD_PARTICIPATION_THRUST_Q70,11,0.0027477059447182425,0.029037464636063826
2022,BROAD_PARTICIPATION_THRUST_Q70,29,-0.006922349883975516,-0.19062310639348046
2023,BROAD_PARTICIPATION_THRUST_Q70,34,-0.005413269905039101,-0.17354833303685457
2024,BROAD_PARTICIPATION_THRUST_Q70,27,-0.0007415670954397143,-0.026227374426576855
2025,BROAD_PARTICIPATION_THRUST_Q70,32,0.011399950864632642,0.42118494424545116
2026,BROAD_PARTICIPATION_THRUST_Q70,15,-0.0022842793895218186,-0.05274023887499757
2021,BROAD_WASHOUT_Q70,14,-0.006910573652484843,-0.09615925182255702
2022,BROAD_WASHOUT_Q70,41,-0.0013184878288964442,-0.06533445089080292
2023,BROAD_WASHOUT_Q70,39,-6.179296364245e-05,-0.009316186152544037
2024,BROAD_WASHOUT_Q70,39,0.0018747442544760822,0.044292362946872554
2025,BROAD_WASHOUT_Q70,38,0.007180285350731271,0.279321864170464
2026,BROAD_WASHOUT_Q70,27,0.002107854179149859,0.03442243787533861
