mechanism,family,quantile,raw_events,independent_events,rolling_60_median,rolling_60_p10,rolling_60_minimum,rolling_60_maximum,density_pass
COMPONENT_DELEVERAGING_Q50,COMPONENT_DELEVERAGING,0.5,250,153,7.0,6.0,3.0,12.0,True
COMPONENT_LEVERAGE_BUILD_Q50,COMPONENT_LEVERAGE_BUILD,0.5,253,150,7.0,5.0,3.0,12.0,True
JOINT_LEVERAGE_BUILD_Q50,JOINT_LEVERAGE_BUILD,0.5,239,146,7.0,5.0,3.0,12.0,True
JOINT_DELEVERAGING_Q50,JOINT_DELEVERAGING,0.5,234,144,7.0,5.0,3.0,12.0,True
COMPONENT_DELEVERAGING_Q60,COMPONENT_DELEVERAGING,0.6,205,132,6.0,5.0,2.0,11.0,False
COMPONENT_LEVERAGE_BUILD_Q60,COMPONENT_LEVERAGE_BUILD,0.6,178,119,6.0,3.0,1.0,11.0,False
JOINT_DELEVERAGING_Q60,JOINT_DELEVERAGING,0.6,154,109,5.0,3.0,2.0,9.0,False
COMPONENT_DELEVERAGING_Q70,COMPONENT_DELEVERAGING,0.7,153,106,5.0,3.0,2.0,9.0,False
JOINT_LEVERAGE_BUILD_Q60,JOINT_LEVERAGE_BUILD,0.6,133,98,5.0,3.0,0.0,10.0,False
COMPONENT_LEVERAGE_BUILD_Q70,COMPONENT_LEVERAGE_BUILD,0.7,134,96,5.0,2.0,0.0,11.0,False
JOINT_LEVERAGE_BUILD_Q70,JOINT_LEVERAGE_BUILD,0.7,74,61,3.0,1.0,0.0,7.0,False
JOINT_DELEVERAGING_Q70,JOINT_DELEVERAGING,0.7,76,61,3.0,1.0,0.0,7.0,False
