source,sample_date,rows_before_deduplication,rows_within_requested_date,core_field_coverage,api_calls,maximum_terminal_chunk_rows,unsplittable_saturated_chunks
同花顺,2021-03-15,1014,1014,1.0,7,344,0
同花顺,2021-09-15,1348,1348,1.0,11,327,0
同花顺,2022-03-15,1668,1668,1.0,15,279,0
同花顺,2022-09-15,1842,1842,1.0,15,328,0
同花顺,2023-03-15,1766,1766,1.0,13,348,0
同花顺,2023-09-15,931,931,1.0,7,316,0
同花顺,2024-03-15,1471,1471,1.0,15,279,0
同花顺,2024-09-18,341,341,1.0,1,341,0
同花顺,2025-03-17,396,396,1.0,3,256,0
同花顺,2025-09-15,1554,1554,1.0,15,316,0
同花顺,2026-03-16,2483,2483,1.0,23,320,0
同花顺,2026-08-17,696,696,1.0,5,269,0
新浪财经,2021-03-15,111,111,1.0,1,111,0
新浪财经,2021-09-15,80,80,1.0,1,80,0
新浪财经,2022-03-15,91,91,1.0,1,91,0
新浪财经,2022-09-15,46,46,1.0,1,46,0
新浪财经,2023-03-15,42,42,1.0,1,42,0
新浪财经,2023-09-15,28,28,1.0,1,28,0
新浪财经,2024-03-15,42,42,1.0,1,42,0
新浪财经,2024-09-18,33,33,1.0,1,33,0
新浪财经,2025-03-17,363,363,1.0,3,221,0
新浪财经,2025-09-15,432,432,1.0,3,266,0
新浪财经,2026-03-16,586,586,1.0,5,221,0
新浪财经,2026-08-17,603,603,1.0,5,221,0
凤凰财经,2021-03-15,99,99,1.0,1,99,0
凤凰财经,2021-09-15,59,59,1.0,1,59,0
凤凰财经,2022-03-15,32,32,1.0,1,32,0
凤凰财经,2022-09-15,45,45,1.0,1,45,0
凤凰财经,2023-03-15,32,32,1.0,1,32,0
凤凰财经,2023-09-15,0,0,0.0,1,0,0
凤凰财经,2024-03-15,0,0,0.0,1,0,0
凤凰财经,2024-09-18,35,35,1.0,1,35,0
凤凰财经,2025-03-17,40,40,1.0,1,40,0
凤凰财经,2025-09-15,28,28,1.0,1,28,0
凤凰财经,2026-03-16,50,50,1.0,1,50,0
凤凰财经,2026-08-17,29,29,1.0,1,29,0
