con_code,symbol,name,fullname,industry,market,max_weight,observed_sessions
688002.SH,688002,睿创微纳,烟台睿创微纳技术股份有限公司,通信设备,科创板,5.178,465
688005.SH,688005,容百科技,宁波容百新能源科技股份有限公司,电气设备,科创板,4.966,824
688008.SH,688008,澜起科技,澜起科技股份有限公司,半导体,科创板,9.404,1354
688009.SH,688009,中国通号,中国铁路通信信号股份有限公司,运输设备,科创板,3.364,1354
688012.SH,688012,中微公司,中微半导体设备(上海)股份有限公司,半导体,科创板,8.467,1354
688036.SH,688036,传音控股,深圳传音控股股份有限公司,通信设备,科创板,7.431,1354
688041.SH,688041,海光信息,海光信息技术股份有限公司,半导体,科创板,10.455,889
688063.SH,688063,派能科技,上海派能能源科技股份有限公司,电气设备,科创板,3.923,726
688072.SH,688072,拓荆科技,拓荆科技股份有限公司,半导体,科创板,4.691,707
688099.SH,688099,晶晨股份,晶晨半导体(上海)股份有限公司,半导体,科创板,4.195,1354
688111.SH,688111,金山办公,北京金山办公软件股份有限公司,软件服务,科创板,9.189,1354
688116.SH,688116,天奈科技,江苏天奈科技股份有限公司,化工原料,科创板,4.234,583
688120.SH,688120,华海清科,华海清科股份有限公司,半导体,科创板,3.626,707
688122.SH,688122,西部超导,西部超导材料科技股份有限公司,小金属,科创板,3.821,1354
688126.SH,688126,沪硅产业,上海硅产业集团股份有限公司,半导体,科创板,3.161,1354
688169.SH,688169,石头科技,北京石头世纪科技股份有限公司,家用电器,科创板,5.906,1354
688180.SH,688180,君实生物,上海君实生物医药科技股份有限公司,生物制药,科创板,5.173,1210
688185.SH,688185,康希诺,康希诺生物股份公司,生物制药,科创板,3.439,426
688223.SH,688223,晶科能源,晶科能源股份有限公司,电气设备,科创板,3.118,1014
688256.SH,688256,寒武纪,中科寒武纪科技股份有限公司,半导体,科创板,15.396,1316
688271.SH,688271,联影医疗,上海联影医疗科技股份有限公司,医疗保健,科创板,6.339,889
688347.SH,688347,华虹宏力,华虹宏力半导体有限公司,半导体,科创板,3.622,46
688361.SH,688361,中科飞测,深圳中科飞测科技股份有限公司,半导体,科创板,3.106,106
688388.SH,688388,嘉元科技,广东嘉元科技股份有限公司,电气设备,科创板,3.944,465
688390.SH,688390,固德威,固德威技术股份有限公司,电气设备,科创板,3.177,665
688396.SH,688396,华润微,华润微电子有限公司,半导体,科创板,4.882,1354
688498.SH,688498,源杰科技,陕西源杰半导体科技股份有限公司,半导体,科创板,5.287,46
688521.SH,688521,芯原股份,芯原微电子(上海)股份有限公司,半导体,科创板,4.765,1256
688525.SH,688525,佰维存储,深圳佰维存储科技股份有限公司,半导体,科创板,4.93,530
688599.SH,688599,天合光能,天合光能股份有限公司,电气设备,科创板,9.943,1316
688777.SH,688777,中控技术,中控技术股份有限公司,专用机械,科创板,3.69,1192
688981.SH,688981,中芯国际,中芯国际集成电路制造有限公司,半导体,科创板,12.873,1354
