ts_code,end_date,ann_date,first_source,eligible_session,point_in_time_member,has_performance_value
688002.SH,2020-12-31,2021-01-28,forecast,2021-02-01,True,True
688002.SH,2021-03-31,2021-04-28,fina_indicator,2021-04-29,True,True
688002.SH,2021-06-30,2021-08-25,fina_indicator,2021-08-26,True,True
688002.SH,2021-09-30,2021-10-28,fina_indicator,2021-10-29,True,True
688002.SH,2021-12-31,2022-02-26,express,2022-02-28,True,True
688002.SH,2022-03-31,2022-04-30,fina_indicator,2022-05-05,True,True
688002.SH,2022-06-30,2022-08-05,fina_indicator,2022-08-08,True,True
688002.SH,2022-09-30,2022-10-31,fina_indicator,2022-11-01,True,True
688002.SH,2022-12-31,2023-02-28,express,2023-03-01,False,True
688002.SH,2023-03-31,2023-04-28,fina_indicator,2023-05-04,False,True
688002.SH,2023-06-30,2023-08-08,fina_indicator,2023-08-09,False,True
688002.SH,2023-09-30,2023-10-24,fina_indicator,2023-10-25,False,True
688002.SH,2023-12-31,2024-01-22,forecast,2024-01-23,False,True
688002.SH,2024-03-31,2024-04-09,forecast,2024-04-10,False,True
688002.SH,2024-06-30,2024-07-27,forecast,2024-07-29,False,True
688002.SH,2024-09-30,2024-10-25,fina_indicator,2024-10-28,False,True
688002.SH,2024-12-31,2025-02-22,express,2025-02-24,False,True
688002.SH,2025-03-31,2025-04-25,fina_indicator,2025-04-28,False,True
688002.SH,2025-06-30,2025-08-29,fina_indicator,2025-09-01,False,True
688002.SH,2025-09-30,2025-10-28,fina_indicator,2025-10-29,False,True
688002.SH,2025-12-31,2026-01-23,forecast,2026-01-26,False,True
688002.SH,2026-03-31,2026-04-28,fina_indicator,2026-04-29,False,True
688002.SH,2026-06-30,2026-07-21,forecast,2026-07-22,False,True
688005.SH,2020-12-31,2021-01-30,forecast,2021-02-01,True,True
688005.SH,2021-03-31,2021-03-09,forecast,2021-03-10,True,True
688005.SH,2021-06-30,2021-07-28,forecast,2021-07-29,True,True
