eligible_session,disclosures,positive_weight,negative_weight,net_breadth,direction
2022-01-05,1,3.294,0.0,3.294,1
2022-01-14,1,0.0,2.94,-2.94,-1
2022-01-17,1,0.0,2.037,-2.037,-1
2022-01-19,1,0.0,3.405,-3.405,-1
2022-01-20,1,0.0,6.919,-6.919,-1
2022-01-21,1,2.152,0.0,2.152,1
2022-01-24,2,0.0,5.116,-5.116,-1
2022-01-27,1,2.03,0.0,2.03,1
2022-02-07,4,4.586,4.234,0.3520000000000003,1
2022-02-11,1,3.882,0.0,3.882,1
2022-02-14,1,10.282,0.0,10.282,1
2022-02-28,7,17.537,0.0,17.537,1
2022-03-01,1,1.485,0.0,1.485,1
2022-03-30,2,0.0,2.695,-2.695,-1
2022-04-08,1,6.63,0.0,6.63,1
2022-04-11,2,0.0,8.525,-8.525,-1
2022-04-18,1,1.65,0.0,1.65,1
2022-04-25,2,0.0,3.983,-3.983,-1
2022-04-27,2,0.763,2.064,-1.3010000000000002,-1
2022-04-28,1,0.0,3.129,-3.129,-1
2022-04-29,2,1.387,3.906,-2.519,-1
2022-05-05,9,5.758,23.483,-17.725,-1
2022-05-16,1,9.874,0.0,9.874,1
2022-07-07,1,0.0,4.7,-4.7,-1
2022-07-14,1,0.0,3.789,-3.789,-1
2022-07-18,1,0.0,3.428,-3.428,-1
2022-07-20,1,1.334,0.0,1.334,1
2022-07-25,3,7.7,5.075,2.625,1
2022-08-08,1,0.0,1.124,-1.124,-1
2022-08-11,1,2.87,0.0,2.87,1
2022-08-15,1,1.351,0.0,1.351,1
2022-08-18,1,0.0,1.444,-1.444,-1
2022-08-19,1,0.0,2.431,-2.431,-1
2022-08-22,2,0.0,6.0280000000000005,-6.0280000000000005,-1
2022-08-25,2,0.0,5.452999999999999,-5.452999999999999,-1
2022-08-29,2,3.35,8.591,-5.241,-1
2022-08-30,1,0.0,1.233,-1.233,-1
2022-08-31,3,1.255,4.022,-2.7670000000000003,-1
2022-09-01,1,0.0,2.137,-2.137,-1
2022-10-17,2,8.803,2.866,5.937000000000001,1
2022-10-21,2,5.304,0.0,5.304,1
2022-10-24,7,10.271,7.564,2.7070000000000007,1
2022-10-27,2,0.0,4.233,-4.233,-1
2022-10-28,3,1.591,7.884,-6.293,-1
2022-10-31,4,2.209,8.14,-5.931000000000001,-1
2022-11-01,3,0.0,5.68,-5.68,-1
2022-11-14,1,0.0,9.512,-9.512,-1
2022-12-29,1,0.0,2.467,-2.467,-1
2023-01-11,1,7.729,0.0,7.729,1
2023-01-13,1,0.0,3.277,-3.277,-1
2023-01-18,1,0.0,0.938,-0.938,-1
2023-01-20,1,1.226,0.0,1.226,1
2023-01-30,3,4.442,2.669,1.7730000000000001,1
2023-02-01,5,1.316,12.71,-11.394,-1
2023-02-13,1,8.665,0.0,8.665,1
2023-02-27,6,18.918,0.0,18.918,1
2023-03-01,4,6.279,1.431,4.848,1
2023-03-14,1,7.245,0.0,7.245,1
2023-04-12,1,3.599,0.0,3.599,1
2023-04-21,3,8.696,3.68,5.016,1
2023-04-24,2,0.0,4.247,-4.247,-1
2023-04-25,1,2.082,0.0,2.082,1
2023-04-27,2,2.139,1.609,0.5299999999999998,1
2023-04-28,2,2.132,2.045,0.08700000000000019,1
2023-05-04,10,18.035,15.466,2.569000000000001,1
2023-05-15,1,0.0,11.967,-11.967,-1
2023-07-12,2,2.894,2.401,0.4930000000000003,1
2023-07-17,2,9.367,0.0,9.367,1
2023-07-27,1,4.527,0.0,4.527,1
2023-07-28,1,4.621,0.0,4.621,1
2023-07-31,1,0.0,1.667,-1.667,-1
2023-08-04,1,0.0,1.745,-1.745,-1
2023-08-14,1,2.921,0.0,2.921,1
2023-08-21,1,0.0,0.831,-0.831,-1
2023-08-24,1,7.6,0.0,7.6,1
2023-08-25,1,0.0,4.671,-4.671,-1
2023-08-28,4,1.578,13.024,-11.446,-1
2023-08-31,1,1.737,0.0,1.737,1
2023-09-01,5,7.374,5.470000000000001,1.903999999999999,1
2023-09-11,1,0.0,1.676,-1.676,-1
2023-09-28,2,4.922,1.434,3.4879999999999995,1
