entry_date,exit_date,holding_sessions
2021-12-09,2021-12-14,4
2022-01-04,2022-01-05,2
2022-01-18,2022-01-20,3
2022-02-18,2022-02-22,3
2022-02-23,2022-02-28,4
2022-03-01,2022-03-02,2
2022-03-11,2022-03-15,3
2022-03-17,2022-03-18,2
2022-03-21,2022-03-22,2
2022-03-30,2022-04-06,4
2022-05-05,2022-05-09,3
2022-05-10,2022-05-12,3
2022-05-20,2022-05-24,3
2022-05-31,2022-06-01,2
2022-06-02,2022-06-09,5
2022-10-17,2022-10-19,3
2022-10-24,2022-10-25,2
2022-10-26,2022-10-27,2
2022-10-28,2022-11-01,3
2023-01-16,2023-01-18,3
2023-01-19,2023-01-20,2
2023-06-29,2023-07-06,6
2023-07-17,2023-07-18,2
2023-07-27,2023-08-07,8
2023-08-28,2023-08-30,3
2023-09-25,2023-09-26,2
2023-10-09,2023-10-11,3
2023-10-12,2023-10-16,3
2023-10-26,2023-11-02,6
2023-11-06,2023-11-07,2
2023-11-13,2023-11-16,4
2023-11-27,2023-11-30,4
2023-12-08,2023-12-11,2
2023-12-28,2023-12-29,2
2024-01-02,2024-01-03,2
2024-01-11,2024-01-12,2
2024-01-25,2024-01-29,3
2024-02-06,2024-02-19,4
2024-02-26,2024-02-27,2
2024-02-28,2024-03-01,3
2024-03-11,2024-03-12,2
2024-04-17,2024-04-18,2
2024-04-29,2024-05-07,4
2024-07-31,2024-08-02,3
2024-09-24,2024-09-25,2
2024-09-26,2024-10-10,6
2024-10-22,2024-10-23,2
2024-12-06,2024-12-09,2
2024-12-10,2024-12-11,2
2025-04-10,2025-04-14,3
2025-05-06,2025-05-08,3
2025-08-15,2025-08-19,3
2025-09-24,2025-09-29,4
2025-10-09,2025-10-10,2
2025-10-27,2025-10-30,4
2025-12-19,2025-12-22,2
2025-12-24,2025-12-29,4
2026-01-05,2026-01-08,4
2026-01-09,2026-01-13,3
2026-03-26,2026-03-30,3
2026-04-08,2026-04-13,4
2026-04-14,2026-04-15,2
2026-04-17,2026-04-22,4
2026-04-28,2026-04-30,3
2026-07-22,2026-07-24,3
2026-08-04,2026-08-05,2
2026-08-06,2026-08-10,3
2026-08-17,2026-08-18,2
2026-08-27,2026-08-31,3
