signal_id,frequency,namespace,name,coarse_family,opportunity_states,opportunity_state_count,best_rolling_60_median,best_rolling_60_p10,maximum_year_share
SIG-30M-CB5BD470E25B32F0,30m,adtm,adtm_up_dw_line_V230603,OTHER_TECHNICAL,看多|看空,2,7.0,5.0,0.2125
SIG-30M-8496D83608BCE4DC,30m,byi,byi_fx_num_V230628,OTHER_TECHNICAL,向上|向下,2,16.0,13.0,0.2014134275618374
SIG-30M-88366CEFFFE7FEE2,30m,coo,coo_cci_V230323,OTHER_TECHNICAL,空头,1,7.0,4.0,0.2339181286549707
SIG-30M-C485339CC0995A79,30m,coo,coo_kdj_V230322,OTHER_TECHNICAL,多头,1,7.0,4.0,0.1986754966887417
SIG-30M-F4D660C3603EB1FE,30m,ntmdk,ntmdk_V230824,OTHER_TECHNICAL,看多|看空,2,15.0,13.0,0.1831831831831832
SIG-30M-F66D4BEF6AEF637A,30m,xl,xl_bar_position_V240328,OTHER_TECHNICAL,相对低点|相对高点,2,12.0,10.0,0.2043795620437956
SIG-30M-BF09ECD9ABCE55A0,30m,xl,xl_bar_trend_V240330,OTHER_TECHNICAL,看多|看空,2,11.0,9.0,0.1848739495798319
SIG-30M-6FD7E2EE42E77B3A,30m,xl,xl_bar_trend_V240331,OTHER_TECHNICAL,做空,1,8.0,4.0,0.2222222222222222
SIG-30M-CC8A74C77A1634F3,30m,xl,xl_bar_trend_V240623,OTHER_TECHNICAL,做空,1,8.0,4.0,0.2443181818181818
SIG-30M-757887E0D0A362BB,30m,zdy,zdy_macd_V230519,OTHER_TECHNICAL,多头连续缩柱|空头连续缩柱,2,9.0,7.0,0.1989795918367347
SIG-30M-E2C296C19B5DA4F1,30m,zdy,zdy_macd_dif_V230516,OTHER_TECHNICAL,看多|看空,2,15.0,13.0,0.1863905325443787
SIG-30M-EDA4CA09BFFD9B6B,30m,zdy,zdy_macd_dif_iqr_V230521,OTHER_TECHNICAL,看多|看空,2,13.0,11.0,0.1938775510204081
SIG-30M-0556412A129AF090,30m,cxt,cxt_bi_base_V230228,STRUCTURE,向上|向下,2,17.0,14.0,0.1837837837837838
SIG-30M-EAAE838107E13DCC,30m,cxt,cxt_bi_end_V230222,STRUCTURE,新低|新高,2,9.0,5.0,0.2110552763819095
SIG-30M-434D1F82B1DFDC23,30m,cxt,cxt_bi_end_V230312,STRUCTURE,看多,1,8.0,4.0,0.2105263157894736
SIG-30M-945C914C75D7CF9F,30m,cxt,cxt_bi_end_V230324,STRUCTURE,看多,1,7.0,5.0,0.2156862745098039
SIG-30M-B0420C9CADFCFB03,30m,cxt,cxt_bi_end_V230618,STRUCTURE,看多|看空,2,11.0,8.0,0.192
SIG-30M-8794C6C4D68E5FB6,30m,cxt,cxt_bi_status_V230101,STRUCTURE,向上|向下,2,13.0,11.0,0.2006472491909385
SIG-30M-CD672B8912E30577,30m,cxt,cxt_bi_status_V230102,STRUCTURE,向上|向下,2,10.0,7.0,0.2139737991266375
SIG-30M-7FAE8A62E8BD6292,30m,cxt,cxt_bi_trend_V230913,STRUCTURE,上升趋势|观望,2,12.0,10.0,0.2119205298013245
SIG-30M-F2AEB6424AC435E2,30m,cxt,cxt_decision_V240526,STRUCTURE,开多|开空,2,9.0,5.0,0.2192513368983957
SIG-30M-4280E17AC005EE54,30m,cxt,cxt_decision_V240612,STRUCTURE,开多|开空,2,12.0,9.0,0.2076923076923077
SIG-30M-F0D83E53E4EF7922,30m,cxt,cxt_fx_power_V221107,STRUCTURE,中底|中顶|弱顶,3,10.0,8.0,0.2105263157894736
SIG-30M-DBD1A139C1B2920B,30m,cxt,cxt_overlap_V240526,STRUCTURE,顶重合0次|顶重合1次,2,10.0,7.0,0.2027027027027027
SIG-30M-CD4798FB6B5A708F,30m,cxt,cxt_range_oscillation_V230620,STRUCTURE,2笔震荡,1,7.0,4.0,0.1907894736842105
SIG-30M-0517713D25F3ACB8,30m,cxt,cxt_second_bs_V230320,STRUCTURE,二买|二卖,2,7.0,4.0,0.2101910828025477
