kind,id,name,information_family,status,provider,version
factor,F-PROJECT-BREADTH-BALANCE,成分涨跌宽度,MARKET_BREADTH,READY,tushare+project,1
factor,F-PROJECT-BREADTH-THRUST-5,五日宽度推动,MARKET_BREADTH,READY,project,1
factor,F-PROJECT-EARNINGS-ACCELERATION-BREADTH,重要成分盈利加速度宽度,FUNDAMENTAL_EXPECTATION,DISCOVERED,tushare+experiment,1
factor,F-PROJECT-ER60,60日效率比,TREND_REGIME,READY,project,1
factor,F-PROJECT-ETF-NAV-PREMIUM,ETF净值折溢价,POSITION_VALUATION,DISCOVERED,tushare+experiment,1
factor,F-PROJECT-ETF-SHARE-CHANGE,ETF份额变化,FUND_FLOW,DISCOVERED,tushare+experiment,1
factor,F-PROJECT-FIRST-HOUR-ACTIVITY,首小时异常活跃度,VOLUME_LIQUIDITY,READY,project,1
factor,F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY,首小时路径效率,MARKET_MICROSTRUCTURE,READY,project,1
factor,F-PROJECT-FIRST-HOUR-RETURN,首小时收益,TREND_MOMENTUM,READY,project,1
factor,F-PROJECT-FIRST-HOUR-VWAP-DEVIATION,首小时VWAP偏离,POSITION_VALUATION,READY,project,1
factor,F-PROJECT-MONEYFLOW-BREADTH,成分资金流宽度,FUND_FLOW,READY,tushare+project,1
factor,F-PROJECT-SIGNED-VOLUME-IMBALANCE,首小时有向成交量失衡,MARKET_MICROSTRUCTURE,READY,project,1
factor,F-PROJECT-STRUCTURED-NEWS-EVENT,结构化新闻事件,EVENT_CATALYST,READY,tushare+maas+project,1
signal,SIG-CZSC-adtm_up_dw_line_V230603,adtm_up_dw_line_V230603,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-amv_up_dw_line_V230603,amv_up_dw_line_V230603,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-asi_up_dw_line_V230603,asi_up_dw_line_V230603,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_accelerate_V221110,bar_accelerate_V221110,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_accelerate_V221118,bar_accelerate_V221118,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_accelerate_V240428,bar_accelerate_V240428,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_amount_acc_V230214,bar_amount_acc_V230214,VOLUME_LIQUIDITY,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_big_solid_V230215,bar_big_solid_V230215,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_bpm_V230227,bar_bpm_V230227,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_break_V240428,bar_break_V240428,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_channel_V230508,bar_channel_V230508,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_classify_V240606,bar_classify_V240606,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_classify_V240607,bar_classify_V240607,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_decision_V240608,bar_decision_V240608,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_decision_V240616,bar_decision_V240616,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_dual_thrust_V230403,bar_dual_thrust_V230403,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_eight_V230702,bar_eight_V230702,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_end_V221211,bar_end_V221211,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_fake_break_V230204,bar_fake_break_V230204,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_fang_liang_break_V221216,bar_fang_liang_break_V221216,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_limit_down_V230525,bar_limit_down_V230525,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_mean_amount_V221112,bar_mean_amount_V221112,VOLUME_LIQUIDITY,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_operate_span_V221111,bar_operate_span_V221111,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_plr_V240427,bar_plr_V240427,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_polyfit_V240428,bar_polyfit_V240428,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_r_breaker_V230326,bar_r_breaker_V230326,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_reversal_V230227,bar_reversal_V230227,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_section_momentum_V221112,bar_section_momentum_V221112,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_shuang_fei_V230507,bar_shuang_fei_V230507,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_single_V230214,bar_single_V230214,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_single_V230506,bar_single_V230506,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_td9_V240616,bar_td9_V240616,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_time_V230327,bar_time_V230327,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_tnr_V230629,bar_tnr_V230629,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_tnr_V230630,bar_tnr_V230630,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_trend_V240209,bar_trend_V240209,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_triple_V230506,bar_triple_V230506,OTHER_TECHNICAL,DISCOVERED,czsc,1
