signal_id,catalog_signal_id,name,frequency,information_family,catalog_status,eligible_states,state_count,independent_transitions,maximum_year_share,s001_reference_function
SIG-DAILY-1313927EA70B1078,SIG-CZSC-bar_weekday_V230328,bar_weekday_V230328,daily,CALENDAR_SEASONALITY,DISCOVERED,周一|周三|周二|周五|周四,5,235,0.2139737991266375,False
SIG-DAILY-D88BF77F03113E20,SIG-CZSC-bar_accelerate_V221110,bar_accelerate_V221110,daily,MARKET_STRUCTURE,DISCOVERED,上涨,1,16,0.4375,False
SIG-DAILY-5157A67B0374E5E1,SIG-CZSC-bar_accelerate_V240428,bar_accelerate_V240428,daily,MARKET_STRUCTURE,DISCOVERED,上涨,1,17,0.2941176470588235,False
SIG-DAILY-74DEE1860741E180,SIG-CZSC-bar_big_solid_V230215,bar_big_solid_V230215,daily,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,57,0.2807017543859649,False
SIG-DAILY-C3BC9064C37E8971,SIG-CZSC-bar_bpm_V230227,bar_bpm_V230227,daily,MARKET_STRUCTURE,DISCOVERED,弱势|强势|超弱|超强,4,75,0.3703703703703703,False
SIG-DAILY-247FD66A0E9C84D8,SIG-CZSC-bar_break_V240428,bar_break_V240428,daily,MARKET_STRUCTURE,DISCOVERED,收盘新低|收盘新高,2,68,0.3333333333333333,False
SIG-DAILY-409D09AE04A8C202,SIG-CZSC-bar_channel_V230508,bar_channel_V230508,daily,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,22,0.4,False
SIG-DAILY-F1F52982223BC17A,SIG-CZSC-bar_classify_V240606,bar_classify_V240606,daily,MARKET_STRUCTURE,DISCOVERED,中间|低位|高位,3,289,0.24,False
SIG-DAILY-D9968D7042FA472C,SIG-CZSC-bar_classify_V240607,bar_classify_V240607,daily,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,190,0.2295081967213114,False
SIG-DAILY-4F2BB5A583CC60CD,SIG-CZSC-bar_decision_V240608,bar_decision_V240608,daily,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,48,0.375,False
SIG-DAILY-84D7CC184B86F4DD,SIG-CZSC-bar_decision_V240616,bar_decision_V240616,daily,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,15,0.5,False
SIG-DAILY-89B642C83E605825,SIG-CZSC-bar_dual_thrust_V230403,bar_dual_thrust_V230403,daily,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,217,0.2396313364055299,False
SIG-DAILY-CB4DEAA43588BD30,SIG-CZSC-bar_eight_V230702,bar_eight_V230702,daily,MARKET_STRUCTURE,DISCOVERED,双中枢上涨|双中枢下跌|弱平衡市|强平衡市|转折平衡市,5,134,0.3243243243243243,False
