signal_id,catalog_signal_id,name,frequency,information_family,catalog_status,opportunity_states,opportunity_state_count,rolling_60_median,rolling_60_p10,independent_transitions,maximum_year_share,s001_reference_function
SIG-30M-719684AE3B754EB0,SIG-CZSC-bar_weekday_V230328,bar_weekday_V230328,30m,CALENDAR_SEASONALITY,DISCOVERED,周一|周三|周二|周五|周四,5,12.0,12.0,274,0.1845018450184501,False
SIG-30M-770956D737EC6834,SIG-CZSC-bar_big_solid_V230215,bar_big_solid_V230215,30m,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,12.0,9.0,273,0.2058823529411764,False
SIG-30M-D5D7A8AC665E6603,SIG-CZSC-bar_bpm_V230227,bar_bpm_V230227,30m,MARKET_STRUCTURE,DISCOVERED,弱势|强势,2,10.0,8.0,218,0.1797235023041474,False
SIG-30M-A9E943E431C115D2,SIG-CZSC-bar_classify_V240606,bar_classify_V240606,30m,MARKET_STRUCTURE,DISCOVERED,中间|低位|高位,3,14.0,11.0,321,0.2039215686274509,False
SIG-30M-4D26215BA9B6CE1A,SIG-CZSC-bar_classify_V240607,bar_classify_V240607,30m,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,10.0,7.0,240,0.2216748768472906,False
SIG-30M-A4E0E0C62CBC2773,SIG-CZSC-bar_dual_thrust_V230403,bar_dual_thrust_V230403,30m,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,9.0,6.0,201,0.2150537634408602,False
SIG-30M-60939B2E4DA16C0D,SIG-CZSC-bar_eight_V230702,bar_eight_V230702,30m,MARKET_STRUCTURE,DISCOVERED,弱平衡市|强平衡市|转折平衡市,3,13.0,11.0,305,0.2193308550185873,False
SIG-30M-7ED6D047D7193E5A,SIG-CZSC-bar_plr_V240427,bar_plr_V240427,30m,MARKET_STRUCTURE,DISCOVERED,不满足,1,8.0,6.0,193,0.2020725388601036,False
SIG-30M-0D20B698553AEE56,SIG-CZSC-bar_polyfit_V240428,bar_polyfit_V240428,30m,MARKET_STRUCTURE,DISCOVERED,减速上涨|减速下跌|加速上涨|加速下跌,4,13.0,10.0,290,0.2094861660079051,False
SIG-30M-D9D10E2B1B6B6E74,SIG-CZSC-bar_single_V230214,bar_single_V230214,30m,MARKET_STRUCTURE,DISCOVERED,阳线|阴线,2,15.0,12.0,345,0.2034883720930232,False
SIG-30M-503B24C255FFAADB,SIG-CZSC-bar_single_V230506,bar_single_V230506,30m,MARKET_STRUCTURE,DISCOVERED,第2层|第3层|第4层,3,14.0,11.0,311,0.2166666666666666,False
SIG-30M-87BBC4E47781EFF4,SIG-CZSC-bar_zdt_V230331,bar_zdt_V230331,30m,MARKET_STRUCTURE,DISCOVERED,涨停,1,8.0,5.0,181,0.2154696132596685,False
SIG-30M-8496D83608BCE4DC,SIG-CZSC-byi_fx_num_V230628,byi_fx_num_V230628,30m,MARKET_STRUCTURE,DISCOVERED,向上|向下,2,16.0,13.0,349,0.2014134275618374,False
SIG-30M-0556412A129AF090,SIG-CZSC-cxt_bi_base_V230228,cxt_bi_base_V230228,30m,MARKET_STRUCTURE,READY,向上|向下,2,17.0,14.0,370,0.1837837837837838,False
SIG-30M-EAAE838107E13DCC,SIG-CZSC-cxt_bi_end_V230222,cxt_bi_end_V230222,30m,MARKET_STRUCTURE,DISCOVERED,新低|新高,2,9.0,5.0,199,0.2110552763819095,False
SIG-30M-434D1F82B1DFDC23,SIG-CZSC-cxt_bi_end_V230312,cxt_bi_end_V230312,30m,MARKET_STRUCTURE,DISCOVERED,看多,1,8.0,4.0,171,0.2105263157894736,False
SIG-30M-945C914C75D7CF9F,SIG-CZSC-cxt_bi_end_V230324,cxt_bi_end_V230324,30m,MARKET_STRUCTURE,DISCOVERED,看多,1,7.0,5.0,153,0.2156862745098039,False
SIG-30M-B0420C9CADFCFB03,SIG-CZSC-cxt_bi_end_V230618,cxt_bi_end_V230618,30m,MARKET_STRUCTURE,DISCOVERED,看多|看空,2,11.0,8.0,250,0.192,False
SIG-30M-8794C6C4D68E5FB6,SIG-CZSC-cxt_bi_status_V230101,cxt_bi_status_V230101,30m,MARKET_STRUCTURE,READY,向上|向下,2,13.0,11.0,309,0.2006472491909385,True
SIG-30M-CD672B8912E30577,SIG-CZSC-cxt_bi_status_V230102,cxt_bi_status_V230102,30m,MARKET_STRUCTURE,DISCOVERED,向上|向下,2,10.0,7.0,229,0.2139737991266375,False
SIG-30M-7FAE8A62E8BD6292,SIG-CZSC-cxt_bi_trend_V230913,cxt_bi_trend_V230913,30m,MARKET_STRUCTURE,DISCOVERED,上升趋势|观望,2,12.0,10.0,273,0.2119205298013245,False
SIG-30M-F2AEB6424AC435E2,SIG-CZSC-cxt_decision_V240526,cxt_decision_V240526,30m,MARKET_STRUCTURE,DISCOVERED,开多|开空,2,9.0,5.0,187,0.2192513368983957,False
SIG-30M-4280E17AC005EE54,SIG-CZSC-cxt_decision_V240612,cxt_decision_V240612,30m,MARKET_STRUCTURE,DISCOVERED,开多|开空,2,12.0,9.0,260,0.2076923076923077,False
SIG-30M-F0D83E53E4EF7922,SIG-CZSC-cxt_fx_power_V221107,cxt_fx_power_V221107,30m,MARKET_STRUCTURE,DISCOVERED,中底|中顶|弱顶,3,10.0,8.0,232,0.2105263157894736,False
SIG-30M-DBD1A139C1B2920B,SIG-CZSC-cxt_overlap_V240526,cxt_overlap_V240526,30m,MARKET_STRUCTURE,DISCOVERED,顶重合0次|顶重合1次,2,10.0,7.0,226,0.2027027027027027,False
SIG-30M-CD4798FB6B5A708F,SIG-CZSC-cxt_range_oscillation_V230620,cxt_range_oscillation_V230620,30m,MARKET_STRUCTURE,DISCOVERED,2笔震荡,1,7.0,4.0,152,0.1907894736842105,False
SIG-30M-0517713D25F3ACB8,SIG-CZSC-cxt_second_bs_V230320,cxt_second_bs_V230320,30m,MARKET_STRUCTURE,DISCOVERED,二买|二卖,2,7.0,4.0,164,0.2101910828025477,False
SIG-30M-0DF4ABB160CC5463,SIG-CZSC-cxt_ubi_end_V230816,cxt_ubi_end_V230816,30m,MARKET_STRUCTURE,DISCOVERED,新低,1,8.0,6.0,184,0.2228260869565217,False
SIG-30M-341F4E12849B6CEA,SIG-CZSC-jcc_fen_shou_xian_V20221113,jcc_fen_shou_xian_V20221113,30m,MARKET_STRUCTURE,DISCOVERED,满足,1,11.0,8.0,254,0.2007874015748031,False
SIG-30M-AEBAB3F5E7699053,SIG-CZSC-bar_window_ps_V230731,bar_window_ps_V230731,30m,POSITION_VALUATION,DISCOVERED,压力N2|压力N3|压力N4|压力N5,4,9.0,7.0,208,0.2181818181818181,False
SIG-30M-DA548B97A6FD0647,SIG-CZSC-pressure_support_V240530,pressure_support_V240530,30m,POSITION_VALUATION,DISCOVERED,压力位|支撑位,2,10.0,6.0,225,0.2436548223350254,False
SIG-30M-F66D4BEF6AEF637A,SIG-CZSC-xl_bar_position_V240328,xl_bar_position_V240328,30m,POSITION_VALUATION,DISCOVERED,相对低点|相对高点,2,12.0,10.0,276,0.2043795620437956,False
SIG-30M-CB5BD470E25B32F0,SIG-CZSC-adtm_up_dw_line_V230603,adtm_up_dw_line_V230603,30m,TREND_MOMENTUM,DISCOVERED,看多|看空,2,7.0,5.0,160,0.2125,False
SIG-30M-37DE76F11A7573E6,SIG-CZSC-bar_section_momentum_V221112,bar_section_momentum_V221112,30m,TREND_MOMENTUM,DISCOVERED,上涨|下跌,2,15.0,12.0,329,0.1884498480243161,False
SIG-30M-0BE44721879919A1,SIG-CZSC-cci_decision_V240620,cci_decision_V240620,30m,TREND_MOMENTUM,DISCOVERED,开多|开空,2,11.0,8.0,247,0.2267206477732793,False
SIG-30M-88366CEFFFE7FEE2,SIG-CZSC-coo_cci_V230323,coo_cci_V230323,30m,TREND_MOMENTUM,DISCOVERED,空头,1,7.0,4.0,171,0.2339181286549707,False
SIG-30M-C485339CC0995A79,SIG-CZSC-coo_kdj_V230322,coo_kdj_V230322,30m,TREND_MOMENTUM,DISCOVERED,多头,1,7.0,4.0,151,0.1986754966887417,False
SIG-30M-B2E77F23E0A17066,SIG-CZSC-dema_up_dw_line_V230605,dema_up_dw_line_V230605,30m,TREND_MOMENTUM,DISCOVERED,看多|看空,2,15.0,13.0,340,0.1852941176470588,False
SIG-30M-F4D660C3603EB1FE,SIG-CZSC-ntmdk_V230824,ntmdk_V230824,30m,TREND_MOMENTUM,DISCOVERED,看多|看空,2,15.0,13.0,333,0.1831831831831832,False
SIG-30M-1BCB885FB8958A9F,SIG-CZSC-tas_double_ma_V221203,tas_double_ma_V221203,30m,TREND_MOMENTUM,DISCOVERED,多头|空头,2,15.0,13.0,346,0.1884057971014492,False
SIG-30M-5DFFC57AC894B9C0,SIG-CZSC-tas_kdj_base_V221101,tas_kdj_base_V221101,30m,TREND_MOMENTUM,DISCOVERED,多头|空头,2,17.0,14.0,384,0.1932114882506527,False
SIG-30M-E5AE9A83EB877E10,SIG-CZSC-tas_ma_base_V221101,tas_ma_base_V221101,30m,TREND_MOMENTUM,READY,多头|空头,2,16.0,14.0,358,0.1876750700280112,False
SIG-30M-68FE774111288F07,SIG-CZSC-tas_ma_base_V230313,tas_ma_base_V230313,30m,TREND_MOMENTUM,DISCOVERED,看多|看空,2,15.0,13.0,336,0.1929260450160771,False
SIG-30M-5AB8F67776EBF508,SIG-CZSC-tas_ma_system_V230513,tas_ma_system_V230513,30m,TREND_MOMENTUM,DISCOVERED,多头排列|空头排列,2,11.0,9.0,255,0.2039215686274509,False
