l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,000670.SZ,盈方微,2015-07-01,2017-06-28,N
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,001309.SZ,德明利,2024-07-30,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,002049.SZ,紫光国微,2005-05-30,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002077.SZ,大港股份,2015-07-01,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,002079.SZ,苏州固锝,2006-10-26,2024-07-29,N
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,002119.SZ,康强电子,2007-03-02,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,002129.SZ,TCL中环,2007-04-18,2017-06-28,N
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002156.SZ,通富微电,2007-08-15,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,002180.SZ,奔图科技,2015-07-01,2023-03-16,N
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002185.SZ,华天科技,2007-11-19,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,002213.SZ,大为股份,2023-07-04,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,002371.SZ,北方华创,2010-01-25,2021-07-29,N
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,002371.SZ,北方华创,2021-07-30,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,002409.SZ,雅克科技,2020-06-08,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,002449.SZ,国星光电,2010-07-12,2011-01-07,N
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,002504.SZ,*ST弘高(退市),2010-01-08,2015-06-30,N
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,002506.SZ,协鑫集成,2010-11-08,2011-09-30,N
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,003026.SZ,中晶科技,2020-12-07,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,003043.SZ,华亚智能,2021-07-30,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,300046.SZ,台基股份,2010-01-05,2011-01-07,N
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300046.SZ,台基股份,2011-01-10,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300053.SZ,航宇微,2010-01-04,2022-07-28,N
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300053.SZ,航宇微,2024-07-30,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300077.SZ,国民技术,2010-01-22,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300102.SZ,乾照光电,2010-08-09,2011-01-07,N
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,300111.SZ,向日葵,2010-08-16,2011-09-30,N
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300162.SZ,雷曼光电,2011-01-04,2011-01-07,N
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300223.SZ,君正股份,2011-01-24,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300327.SZ,中颖电子,2012-01-04,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,300346.SZ,南大光电,2018-07-13,2021-07-29,N
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300373.SZ,扬杰科技,2014-01-08,,Y
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,300456.SZ,赛微电子,2020-07-30,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300458.SZ,全志科技,2015-01-06,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,300604.SZ,长川科技,2021-07-30,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300613.SZ,富瀚微,2017-02-08,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300623.SZ,捷捷微电,2017-02-24,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,300661.SZ,圣邦股份,2017-05-22,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,300666.SZ,江丰电子,2019-07-24,,Y
