information_family,frequency,state_count,signal_configurations,restored_states,active_ratio_median,transition_median,rolling_60_median_observed,rolling_60_p10_observed
CALENDAR_SEASONALITY,30m,6,2,1,0.19759825327510916,269.5,12.0,11.0
CALENDAR_SEASONALITY,daily,5,1,0,0.1703056768558952,234.0,12.0,0.0
MARKET_MICROSTRUCTURE,30m,4,2,4,0.0029112081513827997,4.0,0.0,0.0
MARKET_MICROSTRUCTURE,daily,4,2,4,0.00982532751091695,13.5,0.0,0.0
MARKET_MICROSTRUCTURE,weekly,3,2,3,0.0211062590975254,6.0,0.0,0.0
MARKET_STRUCTURE,30m,236,86,76,0.0458515283842794,49.5,2.0,0.0
MARKET_STRUCTURE,daily,217,91,80,0.0465793304221251,24.0,1.0,0.0
MARKET_STRUCTURE,weekly,172,83,104,0.06513828238719065,6.5,0.0,0.0
POSITION_RISK,weekly,1,1,0,0.4294032023289665,22.0,1.0,0.0
POSITION_VALUATION,30m,26,7,1,0.09534206695778741,89.5,4.0,2.0
POSITION_VALUATION,daily,26,7,4,0.0829694323144104,26.0,1.0,0.0
POSITION_VALUATION,weekly,23,7,19,0.0574963609898107,5.0,0.0,0.0
TREND_MOMENTUM,30m,207,80,43,0.074235807860262,69.0,3.0,1.0
TREND_MOMENTUM,daily,190,79,65,0.0800582241630276,23.0,1.0,0.0
TREND_MOMENTUM,weekly,163,69,117,0.0829694323144104,6.0,0.0,0.0
VOLATILITY_RISK,30m,47,12,5,0.093886462882096,109.0,5.0,3.0
VOLATILITY_RISK,daily,47,12,3,0.086608442503639,41.0,2.0,0.0
VOLATILITY_RISK,weekly,44,11,18,0.081513828238719,11.0,0.0,0.0
VOLUME_LIQUIDITY,30m,37,15,4,0.2489082969432314,109.0,5.0,2.0
VOLUME_LIQUIDITY,daily,34,14,8,0.25109170305676853,40.5,2.0,0.0
VOLUME_LIQUIDITY,weekly,33,14,16,0.2037845705967976,10.0,0.0,0.0
