information_family,frequency,signal_paths,restored_paths,identifiable_paths,positive_confirmation_ic,median_confirmation_ic,median_residual_ic
CALENDAR_SEASONALITY,30m,2,1,1,0,-0.05466031263390296,-0.05524796280303377
CALENDAR_SEASONALITY,daily,1,0,1,0,-0.052887698019868264,-0.053902930901360384
MARKET_MICROSTRUCTURE,30m,2,2,0,0,-0.052532549248045624,-0.05171433916428447
MARKET_MICROSTRUCTURE,daily,2,2,1,2,0.052865787488908675,0.05701004134501024
MARKET_MICROSTRUCTURE,weekly,2,2,1,0,-0.10062280781561911,-0.10635172555640719
MARKET_STRUCTURE,30m,86,29,67,46,0.008401122224998994,0.008441773827915906
MARKET_STRUCTURE,daily,91,43,70,45,0.0025640946120496595,0.001015499772931372
MARKET_STRUCTURE,weekly,83,60,54,41,0.010976975414948374,0.015922274297262128
POSITION_RISK,weekly,1,0,1,1,0.07887997151422857,0.08299075365722174
POSITION_VALUATION,30m,7,1,7,5,0.010035159824652026,0.023165529041977002
POSITION_VALUATION,daily,7,2,7,4,0.0024100496644731298,0.012320515361029365
POSITION_VALUATION,weekly,7,6,5,2,-0.05940383219579313,-0.06553318410036622
TREND_MOMENTUM,30m,80,14,73,46,0.010986562504800587,0.00881414751513839
TREND_MOMENTUM,daily,79,30,69,43,0.009889186851879343,0.013033401673560898
TREND_MOMENTUM,weekly,69,52,50,28,0.010814214538540014,0.010683875358136261
VOLATILITY_RISK,30m,12,3,11,9,0.014747481072265284,0.01403614784218134
VOLATILITY_RISK,daily,12,2,11,7,0.012302995550125529,0.016092746312954483
VOLATILITY_RISK,weekly,11,5,10,4,-0.013226530953131397,-0.01126326637097307
VOLUME_LIQUIDITY,30m,15,3,14,9,0.00368149995588826,0.005506565280568154
VOLUME_LIQUIDITY,daily,14,7,12,8,0.03729537473304212,0.03725605961241196
VOLUME_LIQUIDITY,weekly,14,9,12,5,-0.009140912112216414,-0.013126436123865406
