signal_id,catalog_signal_id,name,frequency,information_family,state_count,contains_restored_state,s001_reference_function,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,nonzero_score_sessions,preferred_sessions,avoided_sessions,preferred_mean_return,avoided_mean_return,preferred_minus_avoided,industry_score_correlation,state_changes,rolling_60_state_change_median,rolling_60_state_change_p10,frequency_policy,identifiable,bh_qvalue,evidence_label
SIG-WEEKLY-FA1D9F692D12767D,SIG-CZSC-cxt_bi_end_V230222,cxt_bi_end_V230222,weekly,MARKET_STRUCTURE,2,False,False,0.05881923230185472,0.062056534026232145,0.06617949461482513,0.003434204681944322,0.1012160824427083,3,"{'2024': 0.015065868516992266, '2025': 0.14629692471700714, '2026': 0.09947696353839516}",210,91,119,0.0025267264344110254,-0.004633614025497278,0.0071603404599083036,0.021853115944906028,68,3.0,0.0,REPORT_ONLY,True,0.6526356081411092,DIRECTIONALLY_STABLE
SIG-WEEKLY-DA427FB8D4D9BA5F,SIG-CZSC-tas_sar_base_V230425,tas_sar_base_V230425,weekly,TREND_MOMENTUM,2,False,False,0.013536038822645969,0.05476619580124595,0.061153033722263654,0.002844817778064841,0.10157743215371651,2,"{'2024': -0.037941856808972045, '2025': 0.20272598933566904, '2026': 0.025927865209871368}",192,93,99,0.006770291977342341,-0.0022321598745414445,0.009002451851883786,0.04861632792864919,39,2.0,0.0,REPORT_ONLY,True,0.6526356081411092,DIRECTIONALLY_STABLE
SIG-DAILY-6B75383875BA45E7,SIG-CZSC-cxt_bi_end_V230322,cxt_bi_end_V230322,daily,MARKET_STRUCTURE,2,False,False,0.06243276737441469,0.03516026826587911,0.03116387337524706,0.001700415910956452,0.1026156616574071,2,"{'2024': -0.0007309398942689251, '2025': 0.053166763649592205, '2026': 0.0440669140711218}",55,24,31,0.011646431466176577,-0.0005859181625174966,0.012232349628694074,-0.08816252996277173,135,6.0,0.0,REPORT_ONLY,True,0.6526356081411092,DIRECTIONALLY_STABLE
SIG-WEEKLY-DC8BE98CF28D49D6,SIG-CZSC-jcc_ping_tou_V221113,jcc_ping_tou_V221113,weekly,MARKET_STRUCTURE,2,False,False,0.07428004732313898,0.08486199697747081,0.0840220443941669,0.0031354615301092546,0.10550995089440912,2,"{'2024': 0.1738602239714923, '2025': -0.1394092803606582, '2026': 0.14729313420953727}",286,0,286,,-0.0025095559563582,,0.01686140896438944,150,7.0,0.0,REPORT_ONLY,True,0.662213770745173,DIRECTIONALLY_STABLE
SIG-DAILY-D603DAF0E99A8ECD,SIG-CZSC-tas_boll_power_V221112,tas_boll_power_V221112,daily,VOLATILITY_RISK,2,False,False,0.054605395957004046,0.04828711477475461,0.06414816797924242,0.003535548261717907,0.11026670211980649,2,"{'2024': -0.10980366897207128, '2025': 0.07745199010015208, '2026': 0.170419117083102}",643,324,319,0.007895175968479566,0.0008238656515282421,0.0070713103169513245,0.2212110624368371,128,5.0,0.0,REPORT_ONLY,True,0.6725057361436021,DIRECTIONALLY_STABLE
SIG-DAILY-EAEEDD3D4DC05204,SIG-CZSC-bar_vol_grow_V221112,bar_vol_grow_V221112,daily,VOLUME_LIQUIDITY,2,True,False,0.08411267424445681,0.042412189522723645,0.04769463245295704,0.010152713002632563,0.10938041833745354,3,"{'2024': 0.012806278001939786, '2025': 0.11653721987736307, '2026': 0.042870494480801026}",643,18,625,0.06421244933716008,0.0026640417096896124,0.06154840762747047,0.0400760628268064,37,0.0,0.0,REPORT_ONLY,True,0.6725057361436021,DIRECTIONALLY_STABLE
SIG-WEEKLY-E8C60E6492DC734D,SIG-CZSC-cxt_bi_status_V230101,cxt_bi_status_V230101,weekly,MARKET_STRUCTURE,2,False,True,0.09054048546179849,0.03435819239229051,0.0464710232339823,0.0039530660768351015,0.11137935671979993,2,"{'2024': 0.10086598275558205, '2025': -0.07955405429836213, '2026': 0.2231757241426178}",643,0,643,,0.0043870142404741665,,0.013786079443336095,29,1.0,0.0,REPORT_ONLY,True,0.6725057361436021,DIRECTIONALLY_STABLE
SIG-DAILY-CFF1D58CE19AE5D5,SIG-CZSC-cxt_bi_trend_V230824,cxt_bi_trend_V230824,daily,MARKET_STRUCTURE,3,False,False,0.05720042619854177,0.048692902754723336,0.05257804998784951,0.004013865100823741,0.11430846728100275,3,"{'2024': 0.017843835853417908, '2025': 0.14111371531001396, '2026': 0.19175179498072953}",643,192,451,0.009455527112640362,0.0022292437937870063,0.007226283318853356,-0.009292543531115704,105,2.0,0.0,REPORT_ONLY,True,0.6815642361629789,DIRECTIONALLY_STABLE
SIG-DAILY-8325A805EAD2D1B4,SIG-CZSC-vol_double_ma_V230214,vol_double_ma_V230214,daily,VOLUME_LIQUIDITY,2,False,False,0.12780403299085386,0.04217073728325421,0.041198642956959255,0.0037765016905675322,0.11744945416916208,2,"{'2024': -0.013923061813580767, '2025': 0.04844285332889877, '2026': 0.05617435586732217}",643,279,364,0.00870059837955891,0.0010807231009009703,0.00761987527865794,0.024276493268163186,126,5.0,0.0,REPORT_ONLY,True,0.683212068764516,DIRECTIONALLY_STABLE
SIG-30M-A59D8C6CAD069B60,SIG-CZSC-tas_second_bs_V230303,tas_second_bs_V230303,30m,TREND_MOMENTUM,2,False,False,0.06464209770154636,0.08591124971261231,0.08836765743749062,0.0022260700329701905,0.14559889017169336,2,"{'2024': 0.215295709002901, '2025': 0.08560906509494519, '2026': -0.06342706051913154}",53,0,53,,-0.004784017030115295,,0.07509456015948607,165,6.0,2.0,REPORT_ONLY,True,0.6873389112853853,DIRECTIONALLY_STABLE
