cluster_id,signal_id,representative_signal_id,is_representative
1,SIG-30M-D49839A5E3B29F88,SIG-30M-D49839A5E3B29F88,True
2,SIG-30M-8480CDE42C1CAD7A,SIG-30M-8480CDE42C1CAD7A,True
3,SIG-30M-EEF2AFD62AD7392B,SIG-30M-EEF2AFD62AD7392B,True
4,SIG-30M-757887E0D0A362BB,SIG-30M-757887E0D0A362BB,True
5,SIG-30M-68FE774111288F07,SIG-30M-E5AE9A83EB877E10,False
5,SIG-30M-E5AE9A83EB877E10,SIG-30M-E5AE9A83EB877E10,True
6,SIG-30M-B2E77F23E0A17066,SIG-30M-B2E77F23E0A17066,True
7,SIG-30M-5E1BA4E10F41F424,SIG-30M-5E1BA4E10F41F424,True
8,SIG-30M-125AD1DB9C4B97E1,SIG-30M-125AD1DB9C4B97E1,True
9,SIG-30M-5AB8F67776EBF508,SIG-30M-BF09ECD9ABCE55A0,False
9,SIG-30M-BF09ECD9ABCE55A0,SIG-30M-BF09ECD9ABCE55A0,True
10,SIG-30M-84778856428C7D9C,SIG-30M-84778856428C7D9C,True
11,SIG-30M-BD9747FC2C4418A3,SIG-30M-BD9747FC2C4418A3,True
12,SIG-30M-4151A9C88C781447,SIG-30M-4151A9C88C781447,True
13,SIG-30M-5DFFC57AC894B9C0,SIG-30M-5DFFC57AC894B9C0,True
14,SIG-30M-0D20B698553AEE56,SIG-30M-0D20B698553AEE56,True
15,SIG-30M-EDA4CA09BFFD9B6B,SIG-30M-FCF161C964C5C292,False
15,SIG-30M-FCF161C964C5C292,SIG-30M-FCF161C964C5C292,True
16,SIG-30M-35AC1C7D00F6AF7D,SIG-30M-35AC1C7D00F6AF7D,True
17,SIG-30M-0DF4ABB160CC5463,SIG-30M-0DF4ABB160CC5463,True
18,SIG-30M-4D26215BA9B6CE1A,SIG-30M-4D26215BA9B6CE1A,True
19,SIG-30M-945C914C75D7CF9F,SIG-30M-945C914C75D7CF9F,True
20,SIG-30M-B67DC0E97C5F10D0,SIG-30M-B67DC0E97C5F10D0,True
21,SIG-30M-C0DC7BD559CCDF89,SIG-30M-C0DC7BD559CCDF89,True
22,SIG-30M-9B9F9DEF26EE705D,SIG-30M-9B9F9DEF26EE705D,True
23,SIG-30M-AB6ADC510F2D5223,SIG-30M-AB6ADC510F2D5223,True
24,SIG-30M-6021767C93A7D80C,SIG-30M-6021767C93A7D80C,True
