definition_id,kind,name,information_family,provider,catalog_status,availability,causality,applicability,materialization_status,evaluation_route,source_experiment,observation_count,generated_configurations,failed_configurations,disposition_reason
F-PROJECT-BREADTH-BALANCE,factor,成分涨跌宽度,MARKET_BREADTH,tushare+project,READY,成分日线发布后，下一交易日开盘前使用,使用当日有效历史成分及已发布日线，按历史指数权重聚合,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1353,0,0,validated historical point-in-time material exists
F-PROJECT-BREADTH-THRUST-5,factor,五日宽度推动,MARKET_BREADTH,project,READY,成分日线发布后，下一交易日开盘前使用,仅使用当前及之前已发布的历史权重宽度,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1349,0,0,validated historical point-in-time material exists
F-PROJECT-EARNINGS-ACCELERATION-BREADTH,factor,重要成分盈利加速度宽度,FUNDAMENTAL_EXPECTATION,tushare+experiment,DISCOVERED,公告披露后,按披露时间映射到下一可交易时点,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,205,0,0,validated historical point-in-time material exists
F-PROJECT-ER60,factor,60日效率比,TREND_REGIME,project,READY,前一交易日收盘后，当前交易日开盘前可用,标记在交易日T的数值只使用T-1及更早的已完成日线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1347,0,0,validated historical point-in-time material exists
F-PROJECT-ETF-NAV-PREMIUM,factor,ETF净值折溢价,POSITION_VALUATION,tushare+experiment,DISCOVERED,T+1约09:00后（待持续到达监测）,T日折溢价只允许在T+1数据发布后使用,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1372,0,0,validated historical point-in-time material exists
F-PROJECT-ETF-SHARE-CHANGE,factor,ETF份额变化,FUND_FLOW,tushare+experiment,DISCOVERED,T+1约09:00后（待持续到达监测）,同日交易只能使用前一交易日已发布份额,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1372,0,0,validated historical point-in-time material exists
F-PROJECT-EXTERNAL-INDUSTRY-MONEYFLOW,factor,指数外半导体行业资金流,FUND_FLOW,tushare+experiment,DISCOVERED,T+1数据源发布后,按历史行业成员重建，决策只使用已发布的前一交易日数据,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX64,1374,0,0,validated historical point-in-time material exists
F-PROJECT-FIRST-HOUR-ACTIVITY,factor,首小时异常活跃度,VOLUME_LIQUIDITY,project,READY,首小时结束后,基准仅由更早交易日拟合,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1388,0,0,validated historical point-in-time material exists
F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY,factor,首小时路径效率,MARKET_MICROSTRUCTURE,project,READY,首小时结束后,仅使用当日已完成分钟线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1408,0,0,validated historical point-in-time material exists
F-PROJECT-FIRST-HOUR-RETURN,factor,首小时收益,TREND_MOMENTUM,project,READY,首小时结束后,仅使用当日已完成分钟线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1408,0,0,validated historical point-in-time material exists
