path_id,component_id,catalog_id,kind,information_family,horizon_sessions,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_observations,bottom_observations,top_minus_bottom_return,identifiable,frequency,orientation,horizon_bh_qvalue,global_bh_qvalue,evidence_label
SIG-30M-E5AE9A83EB877E10:H1,SIG-30M-E5AE9A83EB877E10,SIG-CZSC-tas_ma_base_V221101,CATEGORICAL_SIGNAL,TREND_MOMENTUM,1,698,646,0.06645131585355268,0.07662108811718525,0.1956610694782347,0.0010813316936054073,0.13491006873122335,3,"{'2024': 0.103232696578695, '2025': 0.04922437592402735, '2026': 0.08251710512693719}",320,326,0.002162756674934641,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7903016696261662,0.7459694761859587,DIRECTIONALLY_STABLE
SIG-30M-C79F1E10561B4F22:H1,SIG-30M-C79F1E10561B4F22,SIG-CZSC-tas_ma_base_V221203,CATEGORICAL_SIGNAL,TREND_MOMENTUM,1,698,646,0.06645131585355268,0.07662108811718525,0.1956610694782347,0.0010813316936054073,0.13491006873122335,3,"{'2024': 0.103232696578695, '2025': 0.04922437592402735, '2026': 0.08251710512693719}",320,326,0.002162756674934641,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7903016696261662,0.7459694761859587,DIRECTIONALLY_STABLE
SIG-30M-AB6ADC510F2D5223:H1,SIG-30M-AB6ADC510F2D5223,SIG-CZSC-emv_up_dw_line_V230605,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,1,698,646,0.041309676446302936,0.07807864871521972,0.1797935238319422,0.0011605571621039641,0.11707890230577361,3,"{'2024': 0.09038447026729136, '2025': 0.05349151308749955, '2026': 0.11466817846405067}",352,294,0.002330526561902662,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7903016696261662,0.7459694761859587,DIRECTIONALLY_STABLE
SIG-WEEKLY-6754E361663BD6D4:H5,SIG-WEEKLY-6754E361663BD6D4,SIG-CZSC-bar_reversal_V230227,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,5,514,642,0.026337941021644395,0.1273101088308057,0.1453798562645985,0.004194128682675574,0.14383484917878786,2,"{'2024': 0.239679557051096, '2025': 0.19677242241260287, '2026': -0.03703190652625601}",115,527,0.011399827960050974,True,weekly,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7910916704833332,0.7459694761859587,DIRECTIONALLY_STABLE
SIG-WEEKLY-248A4ABE25BFBDAB:H5,SIG-WEEKLY-248A4ABE25BFBDAB,SIG-CZSC-xl_bar_basis_V240412,CATEGORICAL_SIGNAL,MARKET_MICROSTRUCTURE,5,514,642,0.04153543895829624,0.1379960877758883,0.1308009391171682,0.005170116652668865,0.11234276204266014,3,"{'2024': 0.1888229929312008, '2025': 0.09765893150414155, '2026': 0.07950578000068248}",24,618,0.013826663199813918,True,weekly,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7742003961194798,0.7459694761859587,DIRECTIONALLY_STABLE
SIG-WEEKLY-FC7559B360845336:H5,SIG-WEEKLY-FC7559B360845336,SIG-CZSC-zdy_macd_V230519,CATEGORICAL_SIGNAL,TREND_MOMENTUM,5,514,642,0.13274054883879138,0.12552115715766882,0.12679818038788387,0.0042762144614661764,0.13125273399615045,2,"{'2024': 0.18539717998150476, '2025': -0.056513733939388806, '2026': 0.2991138906311107}",172,470,0.006520323959114548,True,weekly,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7742003961194798,0.7459694761859587,DIRECTIONALLY_STABLE
SIG-DAILY-DBF9D00D67C06199:H5,SIG-DAILY-DBF9D00D67C06199,SIG-CZSC-tas_macd_change_V221105,CATEGORICAL_SIGNAL,TREND_MOMENTUM,5,510,642,0.1850220362773018,0.10973452825569906,0.1183496366213757,0.0042668635447795904,0.11952076109805526,2,"{'2024': 0.14124690479087976, '2025': 0.19013699660114214, '2026': -0.05192921093287707}",172,163,0.016999718296768454,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7742003961194798,0.7459694761859587,DIRECTIONALLY_STABLE
SIG-DAILY-1F968C5F746D5148:H3,SIG-DAILY-1F968C5F746D5148,SIG-CZSC-bar_single_V230214,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,3,510,644,0.034867365287528346,0.025794702161577938,0.11649373893414658,0.0013728897636402374,0.14181023098984563,3,"{'2024': 0.06705161642378356, '2025': 0.00668837635101725, '2026': 0.043029967634083496}",0,644,,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6426894482715693,0.7459694761859587,DIRECTIONALLY_STABLE
SIG-DAILY-54F0F5048C383A79:H5,SIG-DAILY-54F0F5048C383A79,SIG-CZSC-cxt_fx_power_V221107,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,5,510,642,0.12350282433875642,0.1050637348737216,0.10446735565874206,0.0037050365871425187,0.10327348855075508,2,"{'2024': 0.12087103390091496, '2025': -0.07904031819711528, '2026': 0.3177795229247984}",220,218,0.013051762930588195,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7742003961194798,0.7459694761859587,DIRECTIONALLY_STABLE
SIG-30M-AB6ADC510F2D5223:H3,SIG-30M-AB6ADC510F2D5223,SIG-CZSC-emv_up_dw_line_V230605,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,3,698,644,0.021683341517027985,0.05315455081371035,0.10100028552510582,0.001761350986162436,0.10485886014991913,3,"{'2024': 0.09128386541835512, '2025': 0.07296860709156643, '2026': 0.054263617072569256}",351,293,0.0035370761170769806,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6426894482715693,0.7459694761859587,DIRECTIONALLY_STABLE
