component_id,kind,information_family,oof_ic,positive_holdout_years,annual_ic_json,selected
SIG-30M-719684AE3B754EB0,CATEGORICAL_SIGNAL,CALENDAR_SEASONALITY,0.0588961970267348,3,"{""2021"": 0.07695468694109564, ""2022"": 0.027680225857931447, ""2023"": 0.04744472480273592}",True
F-PROJECT-SELL-SIDE-REVISION-BREADTH,CONTINUOUS_FACTOR,FUNDAMENTAL_EXPECTATION,0.0162617621730054,2,"{""2021"": -0.05799627299387452, ""2022"": 0.09287846841404582, ""2023"": 0.0007292992822641397}",True
SIG-PROJECT-MONEYFLOW-BREADTH,CATEGORICAL_SIGNAL,FUND_FLOW,0.001911071942444,3,"{""2021"": 0.10454976169241988, ""2022"": 0.05753869692888769, ""2023"": 0.0022884199153695305}",True
SIG-PROJECT-BREADTH-THRUST,CATEGORICAL_SIGNAL,MARKET_BREADTH,0.0450168088268431,2,"{""2021"": 0.10726573661729223, ""2022"": -0.00767370919044782, ""2023"": 0.055587425606660794}",True
SIG-DAILY-70BFAEFAB8A5E458,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.1132270427528712,2,"{""2021"": null, ""2022"": 0.1708982316242415, ""2023"": 0.06218405709472126}",True
SIG-30M-D9D10E2B1B6B6E74,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.1059440473285112,3,"{""2021"": 0.06685994947504224, ""2022"": 0.0943889818271348, ""2023"": 0.124567406830203}",True
SIG-DAILY-2BBBD5D7C58927D2,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.0930904560065307,2,"{""2021"": null, ""2022"": 0.10598768181033165, ""2023"": 0.11008640871666357}",True
SIG-WEEKLY-B677AD0B9C8CFFA8,CATEGORICAL_SIGNAL,POSITION_VALUATION,0.0781393598740926,2,"{""2021"": null, ""2022"": 0.0538299558899457, ""2023"": 0.07701385855334347}",True
SIG-DAILY-A88766EFB61C335D,CATEGORICAL_SIGNAL,POSITION_VALUATION,0.0459173507273062,2,"{""2021"": null, ""2022"": 0.044031036290988305, ""2023"": 0.03653911351799077}",True
SIG-DAILY-081655C8E882532B,CATEGORICAL_SIGNAL,POSITION_VALUATION,0.0382429559386173,2,"{""2021"": null, ""2022"": 0.037500214454739014, ""2023"": 0.018207973408569025}",True
SIG-WEEKLY-0EFA0405369EFF27,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.1087981367134483,2,"{""2021"": null, ""2022"": 0.13288716467427786, ""2023"": 0.08321966255783145}",True
SIG-30M-B2E77F23E0A17066,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.1066937189208444,2,"{""2021"": -0.013782136451502584, ""2022"": 0.1454422505991506, ""2023"": 0.08585499201778832}",True
SIG-DAILY-4F3293FD88027674,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.1053036968630939,2,"{""2021"": null, ""2022"": 0.07853893286507709, ""2023"": 0.12492391512508777}",True
SIG-PROJECT-ER60-REGIME,CATEGORICAL_SIGNAL,TREND_REGIME,0.0493540040617501,3,"{""2021"": 0.13740690480163742, ""2022"": 0.053416601584317484, ""2023"": 0.009727869542110598}",True
F-PROJECT-ER60,CONTINUOUS_FACTOR,TREND_REGIME,0.035755049365219,2,"{""2021"": 0.10691389144684907, ""2022"": 0.024719591334812448, ""2023"": -0.009215268952352286}",True
SIG-30M-2EBFCBE9F804598E,CATEGORICAL_SIGNAL,VOLATILITY_RISK,0.0915673475197895,3,"{""2021"": 0.011878073505617433, ""2022"": 0.11392882134409209, ""2023"": 0.1258642017311731}",True
SIG-DAILY-F690AF77D8F29635,CATEGORICAL_SIGNAL,VOLATILITY_RISK,0.0401187012330877,2,"{""2021"": null, ""2022"": 0.004083682427398626, ""2023"": 0.0811814571509459}",True
SIG-DAILY-F2817749A8EA4BAC,CATEGORICAL_SIGNAL,VOLATILITY_RISK,0.0117899615763994,2,"{""2021"": null, ""2022"": 0.06798271192256744, ""2023"": 0.011644026223454885}",True
SIG-30M-B80E708745996504,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,0.0827230761997984,3,"{""2021"": 0.07966631465869527, ""2022"": 0.09296102477207623, ""2023"": 0.019973528110751655}",True
SIG-30M-A24EFFFEB61F4F70,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,0.0827068076556248,3,"{""2021"": 0.06945378898931967, ""2022"": 0.0641342321851629, ""2023"": 0.03033288484328559}",True
SIG-WEEKLY-F57139F6C8592FF8,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,0.0746845919255242,2,"{""2021"": null, ""2022"": 0.05540975821695993, ""2023"": 0.08288542128127802}",True
