feature,hypothesis_id,information_family,availability,provider
risk_shibor_on_change_1d,H01-RISK-APPETITE,INTEREST_RATE,T 12:00,tushare.shibor
risk_shibor_on_change_5d,H01-RISK-APPETITE,INTEREST_RATE,T 12:00,tushare.shibor
risk_shibor_1w_change_1d,H01-RISK-APPETITE,INTEREST_RATE,T 12:00,tushare.shibor
risk_shibor_1w_change_5d,H01-RISK-APPETITE,INTEREST_RATE,T 12:00,tushare.shibor
risk_shibor_3m_change_1d,H01-RISK-APPETITE,INTEREST_RATE,T 12:00,tushare.shibor
risk_shibor_3m_change_5d,H01-RISK-APPETITE,INTEREST_RATE,T 12:00,tushare.shibor
risk_shibor_slope_3m_on,H01-RISK-APPETITE,INTEREST_RATE,T 12:00,tushare.shibor
risk_sse_return_1d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,T close+,tushare.index_daily
risk_sse_return_5d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,T close+,tushare.index_daily
risk_sse_turnover_z20,H01-RISK-APPETITE,MARKET_RISK_APPETITE,T close+,tushare.index_dailybasic
risk_csi500_return_1d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,T close+,tushare.index_daily
risk_csi500_return_5d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,T close+,tushare.index_daily
risk_csi500_turnover_z20,H01-RISK-APPETITE,MARKET_RISK_APPETITE,T close+,tushare.index_dailybasic
risk_chinext_return_1d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,T close+,tushare.index_daily
risk_chinext_return_5d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,T close+,tushare.index_daily
risk_chinext_turnover_z20,H01-RISK-APPETITE,MARKET_RISK_APPETITE,T close+,tushare.index_dailybasic
risk_global_ixic_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,before T open,tushare.global/us_daily
risk_global_spx_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,before T open,tushare.global/us_daily
risk_global_semis_mean_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,before T open,tushare.global/us_daily
risk_global_semis_positive_breadth,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,before T open,tushare.global/us_daily
expectation_revision_breadth_20,H02-EARNINGS-EXPECTATION,FUNDAMENTAL_EXPECTATION,available_session close,tushare.report_rc
expectation_revision_count_20,H02-EARNINGS-EXPECTATION,FUNDAMENTAL_EXPECTATION,available_session close,tushare.report_rc
