,micro_share_change_5d_lag1,tsfresh__log_volume_change__mean__lb20,tsfresh__log_volume_change__sum_values__lb20,price_intraday_range,risk_shibor_on_change_5d,risk_global_spx_return,risk_global_ixic_return,risk_chinext_turnover_z20,risk_global_semis_positive_breadth,risk_global_semis_mean_return,price_close_vwap_deviation
micro_share_change_5d_lag1,1.0,0.001989592620664995,0.001989592620664995,0.1025745356587347,0.1369726392088922,0.02689372660410993,0.0003159290456726447,0.08597038544154283,0.001156137138731788,0.0019911447669029173,0.04266093314264322
tsfresh__log_volume_change__mean__lb20,0.001989592620664995,1.0,1.0,0.30556880295420624,0.05422921051471714,0.03890641220421505,0.03699471140649583,0.3626521727620324,0.027546614038281153,0.0172381556134107,0.0021443115420558346
tsfresh__log_volume_change__sum_values__lb20,0.001989592620664995,1.0,1.0,0.30556880295420624,0.05422921051471714,0.03890641220421505,0.03699471140649583,0.3626521727620324,0.027546614038281153,0.0172381556134107,0.0021443115420558346
price_intraday_range,0.1025745356587347,0.30556880295420624,0.30556880295420624,1.0,0.01301161357032024,0.10026596563945354,0.11851618207740909,0.2103210113157473,0.1164576785973495,0.09692893913102624,0.014279033625016
risk_shibor_on_change_5d,0.1369726392088922,0.05422921051471714,0.05422921051471714,0.01301161357032024,1.0,0.05953798094828711,0.0648897952034017,0.019424267035663467,0.05478401818807556,0.03397455719137967,0.018636213754070447
risk_global_spx_return,0.02689372660410993,0.03890641220421505,0.03890641220421505,0.10026596563945354,0.05953798094828711,1.0,0.9457162444842119,0.07349512323467819,0.7157746705724045,0.7440700261418837,0.0656875320393316
risk_global_ixic_return,0.0003159290456726447,0.03699471140649583,0.03699471140649583,0.11851618207740909,0.0648897952034017,0.9457162444842119,1.0,0.0668680281374692,0.7850976765916527,0.824380197077601,0.09223432993055478
risk_chinext_turnover_z20,0.08597038544154283,0.3626521727620324,0.3626521727620324,0.2103210113157473,0.019424267035663467,0.07349512323467819,0.0668680281374692,1.0,0.08611954893801207,0.10256196391205467,0.09301873653006948
risk_global_semis_positive_breadth,0.001156137138731788,0.027546614038281153,0.027546614038281153,0.1164576785973495,0.05478401818807556,0.7157746705724045,0.7850976765916527,0.08611954893801207,1.0,0.9134176647121088,0.03736487034481526
risk_global_semis_mean_return,0.0019911447669029173,0.0172381556134107,0.0172381556134107,0.09692893913102624,0.03397455719137967,0.7440700261418837,0.824380197077601,0.10256196391205467,0.9134176647121088,1.0,0.050612602643210755
price_close_vwap_deviation,0.04266093314264322,0.0021443115420558346,0.0021443115420558346,0.014279033625016,0.018636213754070447,0.0656875320393316,0.09223432993055478,0.09301873653006948,0.03736487034481526,0.050612602643210755,1.0
