period,input,observations,spearman_ic
DISCOVERY,micro_share_change_5d_lag1,702,0.06587383748227423
DISCOVERY,tsfresh__log_volume_change__mean__lb20,688,0.0492014192337304
DISCOVERY,price_close_vwap_deviation,708,0.03811045117377947
DISCOVERY,risk_global_spx_return,708,0.059646095437179344
DISCOVERY,risk_chinext_turnover_z20,689,0.12306101998059936
DISCOVERY,risk_shibor_on_change_5d,703,0.029746522345133183
DISCOVERY,price_intraday_range,708,0.03832054065964108
DISCOVERY,combined_score,688,0.11964421447522995
CONFIRMATION,micro_share_change_5d_lag1,643,0.07097990773317885
CONFIRMATION,tsfresh__log_volume_change__mean__lb20,643,0.04547462588422313
CONFIRMATION,price_close_vwap_deviation,643,0.074972508926008
CONFIRMATION,risk_global_spx_return,643,0.09164232363535856
CONFIRMATION,risk_chinext_turnover_z20,643,0.09361697427543232
CONFIRMATION,risk_shibor_on_change_5d,643,0.009998823109284315
CONFIRMATION,price_intraday_range,643,0.029972129933704652
CONFIRMATION,combined_score,643,0.15135481861859534
YEAR_2021,micro_share_change_5d_lag1,218,0.06164884764952593
YEAR_2021,tsfresh__log_volume_change__mean__lb20,204,0.10600406528200948
YEAR_2021,price_close_vwap_deviation,224,0.09022479725859346
YEAR_2021,risk_global_spx_return,224,0.00948911967661856
YEAR_2021,risk_chinext_turnover_z20,205,0.04104627430277822
YEAR_2021,risk_shibor_on_change_5d,219,0.13283969475679028
YEAR_2021,price_intraday_range,224,-0.001308457165644798
YEAR_2021,combined_score,204,0.07538432670075837
YEAR_2022,micro_share_change_5d_lag1,242,0.04679857756453969
YEAR_2022,tsfresh__log_volume_change__mean__lb20,242,0.0795140191563019
YEAR_2022,price_close_vwap_deviation,242,0.003884453697887767
YEAR_2022,risk_global_spx_return,242,0.08733040050971028
YEAR_2022,risk_chinext_turnover_z20,242,0.16682677188398906
YEAR_2022,risk_shibor_on_change_5d,242,-0.024861773787581833
YEAR_2022,price_intraday_range,242,0.12987224679336423
YEAR_2022,combined_score,242,0.1527234285941692
YEAR_2023,micro_share_change_5d_lag1,242,0.03891319612058633
YEAR_2023,tsfresh__log_volume_change__mean__lb20,242,-0.0337632657332372
YEAR_2023,price_close_vwap_deviation,242,0.03246988991725291
YEAR_2023,risk_global_spx_return,242,0.03917522020925579
YEAR_2023,risk_chinext_turnover_z20,242,0.11983144445782003
YEAR_2023,risk_shibor_on_change_5d,242,-0.014213569993197749
YEAR_2023,price_intraday_range,242,-0.004223679748009816
YEAR_2023,combined_score,242,0.07229229871928561
YEAR_2024,micro_share_change_5d_lag1,242,-0.09994857997702583
YEAR_2024,tsfresh__log_volume_change__mean__lb20,242,-0.08294170749307701
YEAR_2024,price_close_vwap_deviation,242,0.047773589442139525
YEAR_2024,risk_global_spx_return,242,0.10799578237784553
YEAR_2024,risk_chinext_turnover_z20,242,-0.1072732650169105
YEAR_2024,risk_shibor_on_change_5d,242,0.13621535050066141
YEAR_2024,price_intraday_range,242,0.06370479135827876
YEAR_2024,combined_score,242,0.011860946322838127
YEAR_2025,micro_share_change_5d_lag1,243,0.18851807944934157
YEAR_2025,tsfresh__log_volume_change__mean__lb20,243,0.20590671150383444
YEAR_2025,price_close_vwap_deviation,243,0.1391684883753075
YEAR_2025,risk_global_spx_return,243,0.04541124599140779
YEAR_2025,risk_chinext_turnover_z20,243,0.09587732445683719
YEAR_2025,risk_shibor_on_change_5d,243,0.0031243420394933
YEAR_2025,price_intraday_range,243,0.1411079567669794
YEAR_2025,combined_score,243,0.2188005252911098
YEAR_2026,micro_share_change_5d_lag1,158,0.180058151144242
YEAR_2026,tsfresh__log_volume_change__mean__lb20,158,0.03378642551332721
YEAR_2026,price_close_vwap_deviation,158,0.08721290249645737
YEAR_2026,risk_global_spx_return,158,0.13056144638495878
YEAR_2026,risk_chinext_turnover_z20,158,0.3016980071633962
YEAR_2026,risk_shibor_on_change_5d,158,-0.13341274390692276
YEAR_2026,price_intraday_range,158,-0.08638039555863408
YEAR_2026,combined_score,158,0.25825005818738317
