anchor,start,trough,recovery,maximum_drawdown,calendar_days_to_trough,calendar_days_to_recovery
EX12_PLATFORM_MEDOID_REPRICED_10BP,2021-08-10,2024-01-31,2024-09-30,-0.22110369813443342,904,1147.0
EX12_PLATFORM_MEDOID_REPRICED_10BP,2026-07-01,2026-08-03,,-0.18334093154445108,33,
EX12_PLATFORM_MEDOID_REPRICED_10BP,2024-10-09,2024-10-16,2024-11-11,-0.14425795147005083,7,33.0
EX12_PLATFORM_MEDOID_REPRICED_10BP,2025-08-29,2025-09-04,2025-09-17,-0.10762651461154671,6,19.0
EX12_PLATFORM_MEDOID_REPRICED_10BP,2025-02-27,2025-08-01,2025-08-20,-0.08675041943684603,155,174.0
EX14_UNIQUE_FEASIBLE_10BP,2023-11-16,2024-01-31,2024-09-30,-0.19518435759061392,76,319.0
EX14_UNIQUE_FEASIBLE_10BP,2021-11-23,2022-04-26,2023-04-07,-0.19317157754146286,154,500.0
EX14_UNIQUE_FEASIBLE_10BP,2026-07-01,2026-08-03,,-0.1833409315444512,33,
EX14_UNIQUE_FEASIBLE_10BP,2024-10-09,2024-10-16,2024-11-11,-0.14425795147005072,7,33.0
EX14_UNIQUE_FEASIBLE_10BP,2025-08-29,2025-09-04,2025-09-17,-0.10762651461154671,6,19.0
